all_genes	early_late_both	ref
CCR2	E	Friedman et al., 2018
CCR5	E	Friedman et al., 2018
MLXIPL	E	Friedman et al., 2018
NR1H4	E	Friedman et al., 2018
DPP4	E	Friedman et al., 2018
FABP1	E	Friedman et al., 2018
FGF19	E	Friedman et al., 2018
FGF21	E	Friedman et al., 2018
GLP1R	E	Friedman et al., 2018
HSD17B13	E	Friedman et al., 2018
IL6	E	Friedman et al., 2018
IL18	E	Friedman et al., 2018
IL1B	E	Friedman et al., 2018
LOXL2	L	Friedman et al., 2018
PNPLA3	E	Friedman et al., 2018
SCD	E	Friedman et al., 2018
SIRT1	E	Friedman et al., 2018
SREBF1	E	Friedman et al., 2018
TGFB1	E	Friedman et al., 2018
GPBAR1	E	Friedman et al., 2018
MAP3K5	E	Friedman et al., 2018
SERPINH1	L	Friedman et al., 2018
SLC5A2	E	Friedman et al., 2018
AKR1D1	L	Graupera et al., 2022
CCL2	L	Graupera et al., 2022
CCL20	L	Graupera et al., 2022
CXCL5	L	Graupera et al., 2022
CXCL6	L	Graupera et al., 2022
DGAT2	L	Graupera et al., 2022
F13B	L	Graupera et al., 2022
GSTA1	L	Graupera et al., 2022
ITGA2	L	Graupera et al., 2022
KRT18	L	Graupera et al., 2022
LCN2	L	Graupera et al., 2022
SPINK1	L	Graupera et al., 2022
HM13	L	Graupera et al., 2022
ACACA	E	Hendriks et al., 2023
DGAT2	E	Hendriks et al., 2023
FADS2	E	Hendriks et al., 2023
ACACB	E	Hendriks et al., 2023
FASN	E	Hendriks et al., 2023
PCSK9	E	Hendriks et al., 2023
PNPLA3	E	Hendriks et al., 2023
ACACA	E	Kimura et al., 2022
ACLY	E	Kimura et al., 2022
ALDH2	E	Kimura et al., 2022
ASCL1	E	Kimura et al., 2022
ATP5F1E	E	Kimura et al., 2022
ATP5MC1	E	Kimura et al., 2022
ATP5MC3	E	Kimura et al., 2022
ATP5ME	E	Kimura et al., 2022
ATP5MF	E	Kimura et al., 2022
ATP5PD	E	Kimura et al., 2022
ATP5PF	E	Kimura et al., 2022
CFHR4	E	Kimura et al., 2022
CYP1A1	E	Kimura et al., 2022
CYP2C9	E	Kimura et al., 2022
DGAT2	E	Kimura et al., 2022
ENO3	E	Kimura et al., 2022
FASN	E	Kimura et al., 2022
GCKR	E	Kimura et al., 2022
HBA1	E	Kimura et al., 2022
PBX4	E	Kimura et al., 2022
HBB	E	Kimura et al., 2022
IGFBP1	E	Kimura et al., 2022
LEPR	E	Kimura et al., 2022
MT1H	E	Kimura et al., 2022
NFIL3	E	Kimura et al., 2022
P4HA1	E	Kimura et al., 2022
PARVB	E	Kimura et al., 2022
PLA2G2A	E	Kimura et al., 2022
PNPLA3	E	Kimura et al., 2022
TNF	E	Kimura et al., 2022
PPARA	E	Kimura et al., 2022
SH2B3	E	Kimura et al., 2022
SOCS2	E	Kimura et al., 2022
SREBF1	E	Kimura et al., 2022
SREBF2	E	Kimura et al., 2022
STAT3	E	Kimura et al., 2022
TM6SF2	E	Kimura et al., 2022
MBOAT7	E	Kimura et al., 2022
MBOAT2	E	Kimura et al., 2022
PEMT	E	Kimura et al., 2022
NCAN	E	Kimura et al., 2022
