external_gene_name	description	uniprotswissprot	uniprot_gn_symbol
MT-ND1	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 [Source:HGNC Symbol;Acc:HGNC:7455]	P03886	MT-ND1
MT-ND1	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 [Source:HGNC Symbol;Acc:HGNC:7455]	P03886	ND1
MT-ND2	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 [Source:HGNC Symbol;Acc:HGNC:7456]	P03891	MT-ND2
MT-ND2	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 [Source:HGNC Symbol;Acc:HGNC:7456]	P03891	ND2
MT-CO1	mitochondrially encoded cytochrome c oxidase I [Source:HGNC Symbol;Acc:HGNC:7419]	P00395	MT-CO1
MT-CO1	mitochondrially encoded cytochrome c oxidase I [Source:HGNC Symbol;Acc:HGNC:7419]	P00395	COX1
MT-CO2	mitochondrially encoded cytochrome c oxidase II [Source:HGNC Symbol;Acc:HGNC:7421]	P00403	COX2
MT-CO2	mitochondrially encoded cytochrome c oxidase II [Source:HGNC Symbol;Acc:HGNC:7421]	P00403	MT-CO2
MT-ATP8	mitochondrially encoded ATP synthase membrane subunit 8 [Source:HGNC Symbol;Acc:HGNC:7415]	P03928	MT-ATP8
MT-ATP8	mitochondrially encoded ATP synthase membrane subunit 8 [Source:HGNC Symbol;Acc:HGNC:7415]	P03928	ATP8
MT-ATP6	mitochondrially encoded ATP synthase membrane subunit 6 [Source:HGNC Symbol;Acc:HGNC:7414]	P00846	MT-ATP6
MT-ATP6	mitochondrially encoded ATP synthase membrane subunit 6 [Source:HGNC Symbol;Acc:HGNC:7414]	P00846	ATP6
MT-CO3	mitochondrially encoded cytochrome c oxidase III [Source:HGNC Symbol;Acc:HGNC:7422]	P00414	COX3
MT-CO3	mitochondrially encoded cytochrome c oxidase III [Source:HGNC Symbol;Acc:HGNC:7422]	P00414	MT-CO3
MT-ND3	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 [Source:HGNC Symbol;Acc:HGNC:7458]	P03897	MT-ND3
MT-ND3	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 [Source:HGNC Symbol;Acc:HGNC:7458]	P03897	ND3
MT-ND4L	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L [Source:HGNC Symbol;Acc:HGNC:7460]	P03901	MT-ND4L
MT-ND4L	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L [Source:HGNC Symbol;Acc:HGNC:7460]	P03901	ND4L
MT-ND4	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 [Source:HGNC Symbol;Acc:HGNC:7459]	P03905	MT-ND4
MT-ND4	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 [Source:HGNC Symbol;Acc:HGNC:7459]	P03905	ND4
MT-ND5	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 [Source:HGNC Symbol;Acc:HGNC:7461]	P03915	MT-ND5
MT-ND5	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 [Source:HGNC Symbol;Acc:HGNC:7461]	P03915	ND5
MT-ND6	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 [Source:HGNC Symbol;Acc:HGNC:7462]	P03923	MT-ND6
MT-ND6	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 [Source:HGNC Symbol;Acc:HGNC:7462]	P03923	ND6
MT-CYB	mitochondrially encoded cytochrome b [Source:HGNC Symbol;Acc:HGNC:7427]	P00156	MT-CYB
MT-CYB	mitochondrially encoded cytochrome b [Source:HGNC Symbol;Acc:HGNC:7427]	P00156	CYB
			
SNTG2	syntrophin gamma 2 [Source:HGNC Symbol;Acc:HGNC:13741]		SNTG2
KIR3DL2	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6339]		KIR3DL2
PCMTD2	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:15882]	Q9NV79	PCMTD2
INTS3	integrator complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:26153]	Q68E01	INTS3
PCMTD2	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:15882]		PCMTD2
KIR3DL1	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6338]		KIR3DL1
KIR3DL3	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:16312]		KIR3DL3
KIR2DL3	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:6331]		KIR2DL3
KIR3DP1	killer cell immunoglobulin like receptor, three Ig domains pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:16343]		KIR3DP1
PTCHD3	patched domain containing 3 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:24776]		PTCHD3
KIR2DS2	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6334]	P43631	KIR2DS2
PTCHD3	patched domain containing 3 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:24776]	Q3KNS1	PTCHD3
KIR2DS2	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6334]		KIR2DS2
OPRL1	opioid related nociceptin receptor 1 [Source:HGNC Symbol;Acc:HGNC:8155]		OPRL1
NPBWR2	neuropeptides B and W receptor 2 [Source:HGNC Symbol;Acc:HGNC:4530]	P48146	NPBWR2
INTS3	integrator complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:26153]		INTS3
KIR2DL4	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4 [Source:HGNC Symbol;Acc:HGNC:6332]		KIR2DL4
KIR2DL3	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:6331]	P43628	KIR2DL3
KIR2DL4	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4 [Source:HGNC Symbol;Acc:HGNC:6332]	Q99706	KIR2DL4
PPIAL4F	peptidylprolyl isomerase A like 4F [Source:HGNC Symbol;Acc:HGNC:33999]		PPIAL4F
KIR2DS4	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4 [Source:HGNC Symbol;Acc:HGNC:6336]	P43632	KIR2DS4
KIR2DS4	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4 [Source:HGNC Symbol;Acc:HGNC:6336]		KIR2DS4
KIR3DS1	killer cell immunoglobulin like receptor, three Ig domains and short cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6340]		KIR3DS1
KIR2DS5	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 5 [Source:HGNC Symbol;Acc:HGNC:6337]	Q14953	KIR2DS5
NCR1	natural cytotoxicity triggering receptor 1 [Source:HGNC Symbol;Acc:HGNC:6731]		NCR1
KIR2DL2	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6330]		KIR2DL2
HS3ST6	heparan sulfate-glucosamine 3-sulfotransferase 6 [Source:HGNC Symbol;Acc:HGNC:14178]	Q96QI5	HS3ST6
GATAD2B	GATA zinc finger domain containing 2B [Source:HGNC Symbol;Acc:HGNC:30778]	Q8WXI9	GATAD2B
FCAR	Fc alpha receptor [Source:HGNC Symbol;Acc:HGNC:3608]	P24071	FCAR
KIR2DL2	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6330]	P43627	KIR2DL2
KIR2DL1	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6329]		KIR2DL1
KIR2DL5A	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5A [Source:HGNC Symbol;Acc:HGNC:16345]	Q8N109	KIR2DL5A
KIR2DL5A	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5A [Source:HGNC Symbol;Acc:HGNC:16345]	Q8N109	KIR2DL5
SBNO2	strawberry notch homolog 2 [Source:HGNC Symbol;Acc:HGNC:29158]	Q9Y2G9	SBNO2
SBNO2	strawberry notch homolog 2 [Source:HGNC Symbol;Acc:HGNC:29158]		SBNO2
KIR2DS3	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:6335]	Q14952	KIR2DS3
MYT1	myelin transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:7622]		MYT1
ADI1	acireductone dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:30576]		ADI1
MYT1	myelin transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:7622]	Q01538	MYT1
OR9G4	olfactory receptor family 9 subfamily G member 4 [Source:HGNC Symbol;Acc:HGNC:15322]	Q8NGQ1	OR9G4
SLC27A3	solute carrier family 27 member 3 [Source:HGNC Symbol;Acc:HGNC:10997]		SLC27A3
OR5G3	olfactory receptor family 5 subfamily G member 3 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:15287]		
SLC27A3	solute carrier family 27 member 3 [Source:HGNC Symbol;Acc:HGNC:10997]	Q5K4L6	SLC27A3
OR9G1	olfactory receptor family 9 subfamily G member 1 [Source:HGNC Symbol;Acc:HGNC:15319]		OR9G1
	novel transcript		
OR9G9	olfactory receptor family 9 subfamily G member 9 [Source:HGNC Symbol;Acc:HGNC:31940]		OR9G1
TRAPPC12	trafficking protein particle complex subunit 12 [Source:HGNC Symbol;Acc:HGNC:24284]		TRAPPC12
KIR2DS5	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 5 [Source:HGNC Symbol;Acc:HGNC:6337]		KIR2DS5
KIR2DL5B	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5B [Source:HGNC Symbol;Acc:HGNC:16346]		KIR2DL5B
KIR3DL1	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6338]	P43629	KIR3DL1
KIR2DS1	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6333]	Q14954	KIR2DS1
