	ensembl_gene_id	external_gene_name
1	ENSG00000210049	MT-TF
2	ENSG00000211459	MT-RNR1
3	ENSG00000210077	MT-TV
4	ENSG00000210082	MT-RNR2
5	ENSG00000209082	MT-TL1
6	ENSG00000198888	MT-ND1
7	ENSG00000210100	MT-TI
8	ENSG00000210107	MT-TQ
9	ENSG00000210112	MT-TM
10	ENSG00000198763	MT-ND2
11	ENSG00000210117	MT-TW
12	ENSG00000210127	MT-TA
13	ENSG00000210135	MT-TN
14	ENSG00000210140	MT-TC
15	ENSG00000210144	MT-TY
16	ENSG00000198804	MT-CO1
17	ENSG00000210151	MT-TS1
18	ENSG00000210154	MT-TD
19	ENSG00000198712	MT-CO2
20	ENSG00000210156	MT-TK
21	ENSG00000228253	MT-ATP8
22	ENSG00000198899	MT-ATP6
23	ENSG00000198938	MT-CO3
24	ENSG00000210164	MT-TG
25	ENSG00000198840	MT-ND3
26	ENSG00000210174	MT-TR
27	ENSG00000212907	MT-ND4L
28	ENSG00000198886	MT-ND4
29	ENSG00000210176	MT-TH
30	ENSG00000210184	MT-TS2
31	ENSG00000210191	MT-TL2
32	ENSG00000198786	MT-ND5
33	ENSG00000198695	MT-ND6
34	ENSG00000210194	MT-TE
35	ENSG00000198727	MT-CYB
36	ENSG00000210195	MT-TT
37	ENSG00000210196	MT-TP
38	ENSG00000278457	5S_rRNA
39	ENSG00000275151	
40	ENSG00000271254	
41	ENSG00000280663	PCMTD2
42	ENSG00000262826	INTS3
43	ENSG00000278704	
44	ENSG00000273947	KIR2DL3
45	ENSG00000278294	5_8S_rRNA
46	ENSG00000279969	
47	ENSG00000276779	KIR2DL4
48	ENSG00000274882	LINC02109
49	ENSG00000273735	KIR3DL2
50	ENSG00000275717	KIR3DL1
51	ENSG00000276379	KIR3DL1
52	ENSG00000276433	KIR3DL3
53	ENSG00000277995	
54	ENSG00000275442	LILRP2
55	ENSG00000274692	KIR2DL1
56	ENSG00000277484	KIR2DL3
57	ENSG00000276970	
58	ENSG00000275062	KIR3DL3
59	ENSG00000277921	LILRP1
60	ENSG00000277554	KIR2DL3
61	ENSG00000277272	KIR3DL1
62	ENSG00000277044	OPRL1
63	ENSG00000278074	KIR2DL4
64	ENSG00000277339	NPBWR2
