gene_symbol	entrez_id
1	MT-TF	NA
2	MT-RNR1	NA
3	MT-TV	NA
4	MT-RNR2	NA
5	MT-TL1	NA
6	MT-ND1	4535
7	MT-TI	NA
8	MT-TQ	NA
9	MT-TM	NA
10	MT-ND2	4536
11	MT-TW	NA
12	MT-TA	NA
13	MT-TN	NA
14	MT-TC	NA
15	MT-TY	NA
16	MT-CO1	4512
17	MT-TS1	113219467
18	MT-TD	NA
19	MT-CO2	4513
20	MT-TK	NA
21	MT-ATP8	4509
22	MT-ATP6	4508
23	MT-CO3	4514
24	MT-TG	NA
25	MT-ND3	4537
26	MT-TR	NA
27	MT-ND4L	4539
28	MT-ND4	4538
29	MT-TH	NA
30	MT-TS2	NA
31	MT-TL2	NA
32	MT-ND5	4540
33	MT-ND6	4541
34	MT-TE	NA
35	MT-CYB	4519
36	MT-TT	NA
37	MT-TP	NA
38	5S_rRNA	NA
39		NA
40		102724250
41	5_8S_rRNA	124907156
42	5_8S_rRNA	124907485
43	5_8S_rRNA	124908250
44	LINC01115	339822
45	LINC02109	NA
46	SNTG2	54221
47	INTS3	65123
48	KIR3DL2	3812
49	PCMTD2	55251
50	KIR3DL3	115653
51	KIR3DL1	3811
52	SBNO2	22904
53	KIR2DL3	3804
54	PTCHD3	374308
55	LILRP2	79166
56	KIR3DP1	NA
57	KIR2DL4	3805
58	KIR2DL4	124900568
59	KIR2DS2	100132285
60	KIR2DS2	124900573
61	KIR2DS2	124900575
62	LILRP1	NA
63	OPRL1	4987
64	ODAD2P1	NA
65	FAM210CP	NA
66	TRIAP1P1	NA
67	U6	NA
68	FCAR	2204
69	NPBWR2	2832
70	KIR3DS1	3813
71	MYT1	4661
72	PPIAL4F	728945
73	KIR2DS4	3809
74	KIR2DL1	3802
75	GEMIN2P1	NA
76	U1	124904616
77	GATAD2B	57459
78	RNVU1-26	124904624
79	NCR1	9437
80	RNVU1-2A	6063
81	KIR2DS5	3810
82	KIR2DL2	3803
83	LINC00254	64735
84	HS3ST6	64711
85	KIR2DL5A	57292
86	KIR2DL5A	124900569
87	MEIOB	254528
88	SLC27A3	11000
89	LINC02124	105371048
90	LINC01839	NA
91	KIR2DS3	3808
92	LINC02054	105374250
93	ADI1	55256
94	TRAPPC12	51112
95	OR9G4	283189
96	OR5G3	NA
97	OR9G3P	NA
98	OR5G1P	NA
99	OR5G4P	NA
100	OR9G2P	NA
101	OR9G1	390174
102	U6	124905334
103	OR9G9	504191
104	KIR2DP1	NA
105	LINC02735	101927120
106	OR5G5P	NA
107	Y_RNA	NA
108	Metazoa_SRP	NA
109	KIR2DL5B	553128
110	KIR2DL5B	124900574
111	RNA5-8SN5	100008587
112	RNA5-8SN5	124900510
113	RNA5-8SN5	124907114
114	RNA5-8SN5	124907115
115	RNA5-8SN5	124907116
116	RNA5-8SN5	124907117
117	RNA5-8SN5	124907118
118	RNA5-8SN5	124907119
119	RNA5-8SN5	124907120
120	RNA5-8SN5	124907121
121	RNA5-8SN5	124907122
122	RNA5-8SN5	124907123
123	RNA5-8SN5	124907124
124	RNA5-8SN5	124907125
125	RNA5-8SN5	124907126
126	RNA5-8SN5	124907127
127	RNA5-8SN5	124907128
128	RNA5-8SN5	124907129
129	RNA5-8SN5	124907130
130	RNA5-8SN5	124907131
131	RNA5-8SN5	124907132
132	RNA5-8SN5	124907133
133	RNA5-8SN5	124907134
134	RNA5-8SN5	124907135
135	RNA5-8SN5	124907136
136	RNA5-8SN5	124907137
137	RNA5-8SN5	124907138
138	RNA5-8SN5	124907139
139	RNA5-8SN5	124907140
140	RNA5-8SN5	124907141
141	RNA5-8SN5	124907142
142	RNA5-8SN5	124907143
143	RNA5-8SN5	124907144
144	RNA5-8SN5	124907145
145	RNA5-8SN5	124907146
146	RNA5-8SN5	124907147
147	RNA5-8SN5	124907148
148	RNA5-8SN5	124907149
149	RNA5-8SN5	124907150
150	RNA5-8SN5	124907151
151	RNA5-8SN5	124907152
152	RNA5-8SN5	124907153
153	RNA5-8SN5	124907154
154	RNA5-8SN5	124907155
155	RNA5-8SN5	124907160
156	RNA5-8SN5	124907172
157	RNA5-8SN5	124907183
158	RNA5-8SN5	124907194
159	RNA5-8SN5	124907205
160	RNA5-8SN5	124907216
161	RNA5-8SN5	124907227
162	RNA5-8SN5	124907238
163	RNA5-8SN5	124907248
164	RNA5-8SN5	124907258
165	RNA5-8SN5	124907269
166	RNA5-8SN5	124907280
167	RNA5-8SN5	124907291
168	RNA5-8SN5	124907302
169	RNA5-8SN5	124907313
170	RNA5-8SN5	124907324
171	RNA5-8SN5	124907327
172	RNA5-8SN5	124907328
173	RNA5-8SN5	124907329
174	RNA5-8SN5	124907330
175	RNA5-8SN5	124907331
176	RNA5-8SN5	124907332
177	RNA5-8SN5	124907333
178	RNA5-8SN5	124907334
179	RNA5-8SN5	124907335
180	RNA5-8SN5	124907336
181	RNA5-8SN5	124907337
182	RNA5-8SN5	124907338
183	RNA5-8SN5	124907339
184	RNA5-8SN5	124907340
185	RNA5-8SN5	124907341
186	RNA5-8SN5	124907342
187	RNA5-8SN5	124907343
188	RNA5-8SN5	124907439
189	RNA5-8SN5	124907440
190	RNA5-8SN5	124907450
191	RNA5-8SN5	124907458
192	RNA5-8SN5	124907467
193	RNA5-8SN5	124907475
194	RNA5-8SN5	124907476
195	RNA5-8SN5	124907477
196	RNA5-8SN5	124907478
197	RNA5-8SN5	124907479
198	RNA5-8SN5	124907480
199	RNA5-8SN5	124907481
200	RNA5-8SN5	124907482
201	RNA5-8SN5	124907483
202	RNA5-8SN5	124907484
203	RNA5-8SN5	124907572
204	RNA5-8SN5	124907573
205	RNA5-8SN5	124907574
206	RNA5-8SN5	124907575
207	RNA5-8SN5	124907576
208	RNA5-8SN5	124907577
209	RNA5-8SN5	124907578
210	RNA5-8SN5	124907579
211	RNA5-8SN5	124907580
212	RNA5-8SN5	124907581
213	RNA5-8SN5	124907584
214	RNA5-8SN5	124907585
215	RNA5-8SN5	124907586
216	RNA5-8SN5	124907587
217	RNA5-8SN5	124907588
218	RNA5-8SN5	124907589
219	RNA5-8SN5	124907590
220	RNA5-8SN5	124907591
221	RNA5-8SN5	124907592
222	RNA5-8SN5	124907593
223	RNA5-8SN5	124907594
224	RNA5-8SN5	124907595
225	RNA5-8SN5	124907596
