	term_id	term	signalling_ancestor	first_level_ancestor
0	R-HSA-9716542	Signaling by Rho GTPases, Miro GTPases and RHOBTB3 R-HSA-9716542		Signal Transduction R-HSA-162582
1	R-HSA-194315	Signaling by Rho GTPases R-HSA-194315		Signal Transduction R-HSA-162582
2	R-HSA-372790	Signaling by GPCR R-HSA-372790		Signal Transduction R-HSA-162582
3	R-HSA-388396	GPCR downstream signalling R-HSA-388396		Signal Transduction R-HSA-162582
4	R-HSA-9006934	Signaling by Receptor Tyrosine Kinases R-HSA-9006934		Signal Transduction R-HSA-162582
5	R-HSA-500792	GPCR ligand binding R-HSA-500792		Signal Transduction R-HSA-162582
6	R-HSA-9012999	RHO GTPase cycle R-HSA-9012999		Signal Transduction R-HSA-162582
7	R-HSA-195721	Signaling by WNT R-HSA-195721		Signal Transduction R-HSA-162582
8	R-HSA-373076	Class A/1 (Rhodopsin-like receptors) R-HSA-373076		Signal Transduction R-HSA-162582
9	R-HSA-5683057	MAPK family signaling cascades R-HSA-5683057		Signal Transduction R-HSA-162582
10	R-HSA-195258	RHO GTPase Effectors R-HSA-195258		Signal Transduction R-HSA-162582
11	R-HSA-418594	G alpha (i) signalling events R-HSA-418594		Signal Transduction R-HSA-162582
12	R-HSA-9006925	Intracellular signaling by second messengers R-HSA-9006925		Signal Transduction R-HSA-162582
13	R-HSA-9006931	Signaling by Nuclear Receptors R-HSA-9006931		Signal Transduction R-HSA-162582
14	R-HSA-5684996	MAPK1/MAPK3 signaling R-HSA-5684996		Signal Transduction R-HSA-162582
15	R-HSA-5673001	RAF/MAP kinase cascade R-HSA-5673001		Signal Transduction R-HSA-162582
16	R-HSA-1257604	PIP3 activates AKT signaling R-HSA-1257604		Signal Transduction R-HSA-162582
17	R-HSA-157118	Signaling by NOTCH R-HSA-157118		Signal Transduction R-HSA-162582
18	R-HSA-201681	TCF dependent signaling in response to WNT R-HSA-201681		Signal Transduction R-HSA-162582
19	R-HSA-8939211	ESR-mediated signaling R-HSA-8939211		Signal Transduction R-HSA-162582
20	R-HSA-416476	G alpha (q) signalling events R-HSA-416476		Signal Transduction R-HSA-162582
21	R-HSA-375276	Peptide ligand-binding receptors R-HSA-375276		Signal Transduction R-HSA-162582
22	R-HSA-9013149	RAC1 GTPase cycle R-HSA-9013149		Signal Transduction R-HSA-162582
23	R-HSA-418555	G alpha (s) signalling events R-HSA-418555		Signal Transduction R-HSA-162582
24	R-HSA-9013148	CDC42 GTPase cycle R-HSA-9013148		Signal Transduction R-HSA-162582
25	R-HSA-73887	Death Receptor Signaling R-HSA-73887		Signal Transduction R-HSA-162582
26	R-HSA-5358351	Signaling by Hedgehog R-HSA-5358351		Signal Transduction R-HSA-162582
27	R-HSA-8980692	RHOA GTPase cycle R-HSA-8980692		Signal Transduction R-HSA-162582
28	R-HSA-9018519	Estrogen-dependent gene expression R-HSA-9018519		Signal Transduction R-HSA-162582
29	R-HSA-3858494	Beta-catenin independent WNT signaling R-HSA-3858494		Signal Transduction R-HSA-162582
30	R-HSA-5663220	RHO GTPases Activate Formins R-HSA-5663220		Signal Transduction R-HSA-162582
31	R-HSA-6807070	PTEN Regulation R-HSA-6807070		Signal Transduction R-HSA-162582
32	R-HSA-166520	Signaling by NTRKs R-HSA-166520		Signal Transduction R-HSA-162582
33	R-HSA-9006936	Signaling by TGFB family members R-HSA-9006936		Signal Transduction R-HSA-162582
34	R-HSA-1912422	Pre-NOTCH Expression and Processing R-HSA-1912422		Signal Transduction R-HSA-162582
35	R-HSA-187037	Signaling by NTRK1 (TRKA) R-HSA-187037		Signal Transduction R-HSA-162582
36	R-HSA-199418	Negative regulation of the PI3K/AKT network R-HSA-199418		Signal Transduction R-HSA-162582
37	R-HSA-5610787	Hedgehog 'off' state R-HSA-5610787		Signal Transduction R-HSA-162582
38	R-HSA-194138	Signaling by VEGF R-HSA-194138		Signal Transduction R-HSA-162582
39	R-HSA-6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling R-HSA-6811558		Signal Transduction R-HSA-162582
40	R-HSA-1912408	Pre-NOTCH Transcription and Translation R-HSA-1912408		Signal Transduction R-HSA-162582
41	R-HSA-193704	p75 NTR receptor-mediated signalling R-HSA-193704		Signal Transduction R-HSA-162582
42	R-HSA-4420097	VEGFA-VEGFR2 Pathway R-HSA-4420097		Signal Transduction R-HSA-162582
43	R-HSA-9013423	RAC3 GTPase cycle R-HSA-9013423		Signal Transduction R-HSA-162582
44	R-HSA-170834	Signaling by TGF-beta Receptor Complex R-HSA-170834		Signal Transduction R-HSA-162582
45	R-HSA-373080	Class B/2 (Secretin family receptors) R-HSA-373080		Signal Transduction R-HSA-162582
46	R-HSA-5687128	MAPK6/MAPK4 signaling R-HSA-5687128		Signal Transduction R-HSA-162582
47	R-HSA-5625740	RHO GTPases activate PKNs R-HSA-5625740		Signal Transduction R-HSA-162582
48	R-HSA-4086400	PCP/CE pathway R-HSA-4086400		Signal Transduction R-HSA-162582
49	R-HSA-201722	Formation of the beta-catenin:TCF transactivating complex R-HSA-201722		Signal Transduction R-HSA-162582
50	R-HSA-111885	Opioid Signalling R-HSA-111885		Signal Transduction R-HSA-162582
51	R-HSA-190236	Signaling by FGFR R-HSA-190236		Signal Transduction R-HSA-162582
52	R-HSA-9013404	RAC2 GTPase cycle R-HSA-9013404		Signal Transduction R-HSA-162582
53	R-HSA-5632684	Hedgehog 'on' state R-HSA-5632684		Signal Transduction R-HSA-162582
54	R-HSA-195253	Degradation of beta-catenin by the destruction complex R-HSA-195253		Signal Transduction R-HSA-162582
55	R-HSA-9013694	Signaling by NOTCH4 R-HSA-9013694		Signal Transduction R-HSA-162582
