"","PC1","PC2"
"Sample 71",42.7558274255895,3.89961943340053
"Sample 72",36.7046951438227,-2.18374394852175
"Sample 63",34.3164765823152,7.13600325272108
"Sample 67",32.0158925128215,2.26338066673443
"Sample 37",31.5674448182729,-2.72009107714428
"Sample 73",27.9077812797876,-14.9845723541388
"D703_D503",27.4510955305905,11.9092696455359
"Sample 77",26.437544250547,-4.17569578335898
"D711_D503",26.1813458270156,11.5526573206797
"Sample 39",24.8128999789211,10.6973094231779
"Sample 20",24.7172635449984,-0.816050637761153
"D701_D502",23.8260512898082,3.35957853854933
"D706_D506",23.7834366556223,-2.99295300912583
"D704_D502",23.6559408560795,5.49418710679214
"Sample 33",22.8243059895804,3.47096985479257
"Sample 46",22.1340272817459,-2.94229875016901
"Sample 49",22.0147875327828,-0.239475296530349
"D707_D503",21.0963446000645,18.8123949303104
"Sample 69",20.2047974872174,-9.73485493774317
"Sample 50",20.0827908318554,7.42704367224486
"D701_D505",19.3713633766967,1.71395000563671
"D701_D506",18.000493073501,7.32875745527936
"D708_D501",17.157104632745,-5.57812737115478
"Sample 60",17.0000425647436,-0.669548021584932
"D708_D504",16.6194940662958,11.8709920899224
"Sample 66",16.1721703548044,-11.0746815743595
"Sample 23",15.7647238257052,7.02068214658367
"Sample 11",15.6836883789681,-33.156928305133
"D711_D505",15.3968038700146,5.84275005114991
"Sample 40",13.6643558511314,1.9860905354173
"Sample 78",13.5625653562278,-19.773622750619
"Sample 10",13.5198827266541,7.27610021101136
"Sample 38",13.5030842566003,11.4269400821531
"D708_D503",12.1389994821582,18.9056541496544
"Sample 31",11.8677928159341,1.65257321958665
"Sample 59",11.4817676359055,0.184993378849946
"Sample 76",11.2516122292264,-8.78154344486205
"Sample 15",10.6327336412488,4.73918211297069
"D703_D502",9.99579220225045,-10.4225239309196
"Sample 42",9.47842932148337,4.12563704481475
"D712_D502",8.94130052591665,-5.6647681602623
"Sample 32",8.87081436771346,10.0172363142143
"D702_D505",8.51775863336698,4.082887045786
"Sample 57",7.83681131391349,-4.00802092712921
"D706_D502",7.55603179100226,4.31138483478919
"D711_D502",6.57012034880904,-4.80635692659771
"Sample 51",6.41794797489525,2.24684977427971
"Sample 75",6.19573023002664,-7.76297960040456
"Sample 56",5.64678073857155,6.27068866704767
"Sample 24",5.42172552138718,-7.51191789459797
"Sample 21",4.15986022092562,3.3806449242265
"Sample 36",4.06489507773258,6.75694000890361
"Sample 48",3.41463858182342,-0.376593035420251
"Sample 58",3.37328233042102,6.12591576054963
"Sample 68",3.22029076284302,-14.8102819581761
"Sample 64",2.83006021171916,-2.83582367529801
"D704_D503",2.62849425527413,2.230739070666
"D709_D501",2.45768580980744,7.33002261275473
"D706_D504",2.33371055902125,1.99792501679592
"Sample 61",2.07310391477855,-10.5218977201652
"D703_D505",1.88193029644021,7.06629888369011
"D702_D501",1.83382817150435,3.78004767637974
"D705_D502",1.8033552137982,0.133524041548459
"D712_D504",1.74118110795272,11.6729008550774
"Sample 22",1.61154151070332,-3.41119895552403
"Sample 35",1.42294813830631,-23.0897275839856
"Sample 43",0.880040265673958,-69.4430946976038
"Sample 41",0.321531355586954,-47.910211982304
"D708_D505",0.0489061885232476,-8.79201779607152
"Sample 44",-0.0512682794751011,7.6595426146663
"Sample 52",-0.238604057443815,-3.81718207964408
"Sample 28",-0.537636751296173,-5.17457573467216
"D710_D502",-0.561004936183694,17.7772227301568
"D708_D506",-0.670434471527667,-2.16706247188753
"D704_D505",-1.73640639083984,-2.55446959877385
"D704_D506",-2.03512146948805,7.67436478826249
"Sample 2",-2.20607255020933,1.65741042214583
"Sample 74",-2.61067932246668,3.16003200970771
"Sample 55",-2.70111268061676,14.261217451733
"D712_D505",-3.05485493220141,4.73841542779421
"Sample 16",-3.08129832889215,13.9978717114769
"D702_D503",-3.53141635636905,-2.66695228022901
"D711_D506",-3.76871023581177,-3.30851580164585
"Sample 62",-3.93647932132247,14.4542788153499
"Sample 34",-3.96152341761255,12.2462979897006
"Sample 70",-3.97544467621135,2.64775445707751
"D702_D506",-4.37968554979681,2.58284779982963
"Sample 19",-4.51095726529875,12.3903327718366
"D705_D506",-5.14962976762476,-0.578852161622845
"Sample 27",-5.21352197451325,-11.161627114287
"D702_D504",-6.83335362095365,1.71996541537489
"Sample 18",-6.97403392139219,7.10115780335442
"D712_D506",-7.04038866058962,0.018485010193785
"D710_D503",-8.35678160246671,0.552219577246752
"D707_D505",-8.55225894140377,10.4098330053613
"Sample 4",-8.61040105787813,-1.42451497334112
"D709_D504",-9.00726323946473,-1.19547586685852
"Sample 9",-9.13493674317282,-5.38280447429297
"D707_D506",-9.43556723583115,9.68614142127158
"D706_D505",-9.61165206470613,-6.77750815580467
"D703_D506",-10.2815000121461,-6.98809869291238
"Sample 53",-10.5945546071422,-5.654287690159
"Sample 45",-10.6946226932244,8.16881390643053
"Sample 12",-10.9611512683548,6.0890158064167
"D706_D501",-10.9960123688371,-11.4935260820778
"Sample 54",-11.8692754247939,-15.6617649861794
"D703_D504",-12.0563234079831,1.97103408413705
"D705_D504",-13.0000939474711,6.01151741925395
"D711_D501",-13.4460580682256,-1.66246445799544
"Sample 17",-13.6279175625816,-10.3509732571708
"Sample 25",-14.0785547487075,-14.2480750156323
"Sample 47",-14.2600777117963,38.6393509163964
"D701_D503",-14.9050266724855,11.1881170175896
"Sample 13",-15.0877699083868,38.5362837596
"Sample 26",-15.6831439006325,0.932097868656892
"D707_D502",-16.4170236156122,-18.1378233659158
"Sample 6",-16.7532152895501,21.5284417508556
"D705_D503",-17.2736881724111,14.5388152731715
"Sample 14",-17.3829545497805,-2.2175567354485
"D704_D504",-18.02899517064,-3.66964583424824
"D709_D506",-19.7432597657694,-2.37399760590569
"D710_D504",-21.8868146685097,2.27660429429608
