"ensembl_gene_id","Mild_vs_Control_log2FoldChange","Mild_vs_Control_pvalue","Mild_vs_Control_padj","Moderate_vs_Mild_log2FoldChange","Moderate_vs_Mild_pvalue","Moderate_vs_Mild_padj","Severe_vs_Moderate_log2FoldChange","Severe_vs_Moderate_pvalue","Severe_vs_Moderate_padj","external_gene_name"
"1","ENSG00000000003",0.0324325193638545,0.800012092272628,0.917144170204198,0.0145534380722992,0.751622956964085,0.910738813195035,0.0532258222265033,0.216061565776035,0.458206336241503,"TSPAN6"
"2","ENSG00000000005",0,1,1,-0.218687172520932,0.399084196412952,0.70905739533627,0.538728623797519,0.0494671462803129,0.198859869321909,"TNMD"
"3","ENSG00000000419",0.232826964459735,0.0431593723062004,0.217938994275003,0.0559605824992595,0.201880118406258,0.527049104230651,0.0394087642934304,0.463897333357808,0.688037664340575,"DPM1"
"4","ENSG00000000457",-0.0252447003467417,0.655652573231644,0.846168039658646,-0.110887267956664,0.000183479234947681,0.0172450451335555,-0.0103493628937581,0.77052059284807,0.885931994056891,"SCYL3"
"5","ENSG00000000460",-0.0999732195223936,0.532660334427749,0.773471930083284,-0.158607658734057,0.0483816017230456,0.273351246796585,-0.131536307674544,0.102781409423782,0.30220694706234,"C1orf112"
"6","ENSG00000000938",0.322056571951158,0.231249314801406,0.523471657607528,0.241482541903647,0.0148612578926733,0.155383415345685,0.0782610809790431,0.405312994536626,0.638658838073618,"FGR"
"7","ENSG00000000971",0.121552216778934,0.225451552869008,0.517005236924145,-0.064596055469538,0.15507021675114,0.47161896701264,-0.0472201396492567,0.304459307238802,0.548269089146179,"CFH"
"8","ENSG00000001036",-0.0555176878627716,0.53304575750428,0.773792038960276,0.122088366856247,0.00395430873369682,0.0798059897389356,0.120484982938123,0.0249688935133413,0.135503797471754,"FUCA2"
"9","ENSG00000001084",-0.284357980838107,0.0188104061755954,0.137716564162003,0.0184224655613225,0.710081477327929,0.891998113182532,-0.159846686359053,0.0013256140312596,0.0238634270483142,"GCLC"
"10","ENSG00000001167",-0.0928651620562765,0.346744584736246,0.636171352099842,0.0648787349525839,0.126168900423225,0.427672768590962,-0.0105811335710159,0.812331377879087,0.907614655943931,"NFYA"
"11","ENSG00000001460",0.0194941159367256,0.873411555588809,0.94999833539394,-0.00562681184216389,0.926829082055964,0.975086557830029,0.115488808072835,0.125108723977082,0.337181303416661,"STPG1"
"12","ENSG00000001461",0.0359798073367995,0.733936255963615,0.887219966682493,0.0183837002493471,0.632680507415801,0.853077821219901,-0.0541946180400865,0.249099232920092,0.493848768591594,"NIPAL3"
"13","ENSG00000001497",0.0834537337656844,0.391545524786973,0.672488743157152,-0.0533485499659015,0.131965642520469,0.43827686839029,-0.123670196646089,0.000911941982408461,0.0193018112129993,"LAS1L"
"14","ENSG00000001561",0.758086018114462,0.00111084714645309,0.0277638829195214,0.0431169553106441,0.552452788611312,0.811300781786242,-0.0684536368336963,0.328309198470389,0.572796227677287,"ENPP4"
"15","ENSG00000001617",0.442256884430786,0.0516210116195986,0.241665283612539,-0.0599349493802972,0.496837284754648,0.777932207283964,-0.138152076427862,0.117366569848276,0.325592562120934,"SEMA3F"
"16","ENSG00000001626",0.074411621074643,0.632428354939662,0.833043476772228,0.160741269238989,0.105415690291397,0.392508635279655,0.668424653196744,1.85154706811233e-05,0.00144853275767928,"CFTR"
"17","ENSG00000001629",-0.103576316657508,0.328862424500634,0.61970944255012,0.0627284161587627,0.0885823889945396,0.361960635350418,0.000639677571279396,0.983960289407574,0.992616483807038,"ANKIB1"
"18","ENSG00000001630",0.723460391875742,0.0367962139048054,0.200347957752329,0.269664114831261,0.14722141780241,0.460645509308191,0.420008699158451,0.0277909989016628,0.14335083754124,"CYP51A1"
"19","ENSG00000001631",-0.0432109107455731,0.660569345536676,0.847429300623915,0.00385991935306381,0.914396894577869,0.970921180225282,-0.0871208115941817,0.0226885628986364,0.12772425018459,"KRIT1"
"20","ENSG00000002016",-0.298108535076256,0.0133482831567706,0.111887124054113,-0.0687567260271775,0.186171618863528,0.510462241638129,-0.143618279969077,0.0176108795141552,0.110967762448621,"RAD52"
"21","ENSG00000002330",0.00716313577202621,0.959868905269325,0.983525434450444,-0.0417061832737037,0.448320712019,0.744034587578967,0.189363216515708,0.0191493053667792,0.116200677945131,"BAD"
"22","ENSG00000002549",0.0904405886651396,0.483293694186277,0.739581034295482,-0.00285481628885014,0.957242397060844,0.984071542874433,-0.0489576892811811,0.341431869681034,0.583707991647081,"LAP3"
"23","ENSG00000002586",-0.0124753551749506,0.861273446776748,0.945678447752017,-0.0328986209413858,0.307751847337578,0.637998426595653,0.112523526133184,0.0176915194324267,0.111182964841474,"CD99"
"24","ENSG00000002587",0.201979504688572,0.320796733651887,0.612129992800071,0.204906186959745,0.141031888809636,0.451864921298141,0.230745947302454,0.146890927413724,0.367833798897387,"HS3ST1"
