nes_Mild_vs_Control	fdr_Mild_vs_Control	nes_Moderate_vs_Mild	fdr_Moderate_vs_Mild	nes_Severe_vs_Moderate	fdr_Severe_vs_Moderate
ABL1	1.72692222754992	0.433685728587727	1.95072873439492	0.216753967283517	1.96679419133608	0.198590921674585
ADNP	1	1	1	1	1	1
ADNP2	1	1	1	1	1	1
AEBP1	1	1	1	1	1	1
AEBP2	1	1	1	1	1	1
AHR	0.905668237770859	0.762305589782113	3.83666674973746	0.00257003064329476	1.59234247788017	0.324366592134231
AHRR	1	1	1	1	1	1
AIP	1	1	1	1	1	1
AIRE	0.560101392859047	0.910126468434611	0.28150742971752	0.887532312038653	0.450244791502907	0.811664744236617
AKNA	1	1	1	1	1	1
ALX1	1	1	1	1	1	1
ALX3	1	1	1	1	1	1
ALX4	1	1	1	1	1	1
ANKRD1	1	1	1	1	1	1
AP1	4.00137819762274	0.00330330452817187	5.53732449129741	1.77212400266144e-06	5.64806306887374	1.46649168710153e-06
APBB1	1	1	1	1	1	1
APEX1	-0.384268806334166	0.931681136093589	1.5294925450537	0.362110231804858	1.53613042097793	0.342096146835063
AR	-0.414366801809226	0.926766352502805	1.94314699305887	0.21741360202088	1.21520531603313	0.479038609992406
ARHGAP35	1	1	1	1	1	1
ARID1A	0.461357539921423	0.926766352502805	-1.08335430577294	0.532055624396146	-1.55968950702111	0.333487163827708
ARID1B	1	1	1	1	1	1
ARID3A	1	1	1	1	1	1
ARID3B	1	1	1	1	1	1
ARID4A	-1.408883087179	0.619377302393651	-0.382686879119435	0.847561398596996	-0.800325317493961	0.665864820603556
ARID4B	1	1	1	1	1	1
ARID5A	1	1	1	1	1	1
ARID5B	1	1	1	1	1	1
ARNT	1.21093020063319	0.688229811176503	1.38264050420247	0.418917216007793	1.07372959531231	0.529544469675329
ARNT2	1	1	1	1	1	1
ARX	0.698273160854113	0.835369198818686	-0.718884780601784	0.695477713005515	0.0097235666738003	0.997427771481993
ASCL1	-0.18651686424329	0.967142630640593	2.704824484365	0.0512109889077394	2.98033150798646	0.0336357301883336
ASCL2	1	1	1	1	1	1
ASCL4	1	1	1	1	1	1
ASH1L	1	1	1	1	1	1
ASXL1	1	1	1	1	1	1
ATF1	0.882529531256364	0.762305589782113	1.1022510352533	0.527004802126804	1.28187079280986	0.452837842427964
ATF2	1.75223799091643	0.418235269033806	3.61920650396091	0.004871656451439	4.32987327009171	0.000430428086301693
ATF3	0.0279116567520661	0.994976572721755	0.846282934838171	0.654157463622386	2.1260221840933	0.157422817137925
ATF4	1.15147545282398	0.688229811176503	1.25103610102882	0.460990885968876	0.992966340835741	0.574717728170452
ATF5	-0.286808290091978	0.957975387322644	1.09361286816187	0.528231922486113	0.224065172932361	0.91818511274254
ATF6	3.1033856054934	0.0581009185132606	0.978542344509744	0.60045763090388	0.175065272431023	0.927779145670201
ATF6B	1	1	1	1	1	1
ATF7	-0.654246349986582	0.865420880805371	-0.501365194561756	0.802478224044331	1.30751300555486	0.4444727341266
ATOH1	1	1	1	1	1	1
ATOH7	1	1	1	1	1	1
ATOH8	1	1	1	1	1	1
ATRX	1	1	1	1	1	1
BACH1	1.04953524483753	0.712599467416434	2.40125771936722	0.0942750186892581	1.38916241880711	0.40982759731767
BACH2	1	1	1	1	1	1
BARHL2	1	1	1	1	1	1
BARX1	-0.698747625844096	0.835369198818686	1.3289040483677	0.434830104021682	2.87331633900168	0.0390616664566693
BARX2	-0.255577307846996	0.957975387322644	2.91794577277473	0.0332178131010994	2.44412403068236	0.0941380922045008
BATF	-0.662620477167567	0.858856296934347	0.913486993697268	0.638089885907175	1.25686173735226	0.464665138211995
BATF2	1	1	1	1	1	1
BATF3	1	1	1	1	1	1
BBX	1	1	1	1	1	1
BCL11A	0.528865341373792	0.913556089736149	0.0827858164641148	0.960656806827194	2.65188939909827	0.0591231687743615
BCL11B	-1.15991005332074	0.688229811176503	-0.590523143246006	0.76179861223128	-0.461435287402395	0.808410038825527
BCL3	0.796048710266136	0.804903355899697	1.77618441460034	0.267977654240582	2.2636803949843	0.128565963301618
BCL6	1.282918798808	0.657847677221154	-0.51894187587225	0.794691594732903	1.15846265701043	0.497663069709838
BCL6B	1	1	1	1	1	1
BCLAF1	-1.16715530565434	0.688229811176503	0.63542033151852	0.734256699907699	-0.385355204554722	0.844948015920688
BCOR	1	1	1	1	1	1
BHLHA15	2.36788650655144	0.200243025166132	-0.0568850867042996	0.968802102323053	1.07640839944467	0.529544469675329
BHLHE22	1	1	1	1	1	1
BHLHE23	1	1	1	1	1	1
BHLHE40	-0.454556900145281	0.926766352502805	1.27923741243503	0.451175382664296	0.279852909741573	0.882007129061185
BHLHE41	-0.677980916998622	0.849767007235735	1.40089494148443	0.409861888543792	0.324926460089382	0.864392220466565
BMAL1	0.177875198196837	0.967142630640593	-0.651034519280809	0.729289674248418	-1.60625764563222	0.320212252074403
BMAL2	-1.28943369497879	0.657847677221154	-0.45482603734607	0.821972039221043	0.543633218202697	0.780445656711889
BPTF	1	1	1	1	1	1
BRCA1	0.302431463191029	0.957975387322644	0.738980706079144	0.687298075374949	1.0722979963134	0.529544469675329
BRD4	0.0408071526340696	0.991506999335119	-0.288531330506272	0.887532312038653	0.508170080549566	0.794138309757447
BRD7	1	1	1	1	1	1
BSX	1	1	1	1	1	1
BTAF1	1	1	1	1	1	1
BTG2	-1.19737388318277	0.688229811176503	-1.07706093243641	0.534205286092497	-0.604580647188296	0.757833312144612
CAMTA1	1	1	1	1	1	1
CARF	1	1	1	1	1	1
CASZ1	1	1	1	1	1	1
CBFA2T3	1	1	1	1	1	1
CBFB	1	1	1	1	1	1
CC2D1A	1	1	1	1	1	1
CC2D1B	1	1	1	1	1	1
CCDC62	1	1	1	1	1	1
CCND1	1	1	1	1	1	1
CDC5L	1	1	1	1	1	1
CDX1	1.48927011325304	0.562229848655292	1.8643329777396	0.243651988982828	0.0917250807027629	0.962556111821478
CDX2	1.33552941270167	0.653670407273468	1.41037551972407	0.409861888543792	0.469979287067426	0.805994275350228
CDX4	1	1	1	1	1	1
CEBPA	-1.1925063468578	0.688229811176503	-0.714700351426245	0.695477713005515	-1.06601646020345	0.53310370350121
CEBPB	2.49113952648572	0.168749642747585	2.9996658047731	0.0273595154025506	1.80772626840245	0.25163295586769
CEBPD	1.14040055657316	0.688229811176503	3.77085652015999	0.00312903630688104	2.92047760419663	0.0353787363920742
CEBPE	-0.253911190901169	0.957975387322644	0.928625166813065	0.630740269918895	0.989753200587327	0.575740183110247
CEBPG	2.12700126018034	0.275476108391128	1.76452747895034	0.271515963506089	2.01206985365398	0.182218965617774
CEBPZ	0.747220959744676	0.816497619937636	2.81148600665913	0.0411320978557605	2.25653622687534	0.128565963301618
CGGBP1	1	1	1	1	1	1
CHD4	1	1	1	1	1	1
CIC	1	1	1	1	1	1
CIITA	2.2579813161288	0.23419182412014	1.825018109745	0.250596844409149	-0.476305629323075	0.803813824659533
CITED2	1	1	1	1	1	1
CLOCK	-0.991123929662208	0.736500811450878	-0.099657733475214	0.950260223651096	-0.183235173047391	0.927779145670201
CNOT4	1	1	1	1	1	1
CNOT7	1	1	1	1	1	1
COPS5	1	1	1	1	1	1
CREB1	2.41993837032909	0.19057128671985	2.87662877815763	0.0346155344947634	2.84621215459743	0.0406328677794861
CREB3	1.99077768956154	0.316364051949288	4.70537185522077	0.000104438498937989	2.04694014785188	0.172522836747225
CREB3L1	1	1	1	1	1	1
CREB3L2	1	1	1	1	1	1
CREB3L3	1	1	1	1	1	1
CREB3L4	1	1	1	1	1	1
CREB5	-0.139416941309509	0.973829306570502	-0.216963590605997	0.913683162352635	0.579442844700121	0.765192362659693
CREBBP	0.184005144964543	0.967142630640593	0.300757823448099	0.887532312038653	0.668540194443641	0.732206944537618
CREBL2	1	1	1	1	1	1
CREBRF	1	1	1	1	1	1
CREBZF	-0.448992976354409	0.926766352502805	0.0652021410159934	0.964732863466759	-0.738125350980871	0.699139177584087
CREG1	1	1	1	1	1	1
CREM	-0.614616149632383	0.889960159928574	-1.34471385444619	0.42788418725045	-0.701119831679203	0.716767844612009
CRX	-3.05930620706547	0.0640038022103659	-2.90603214703802	0.0334668942782824	-2.25610046939997	0.128565963301618
CTBP1	1	1	1	1	1	1
CTBP2	-1.01513780862877	0.727207973198947	-1.19839154477317	0.48952642361999	-2.3937414169789	0.101293879904031
CTCF	1.32870923836894	0.653670407273468	0.0776473619534592	0.960656806827194	0.739270912422047	0.699139177584087
CTCFL	-1.47552615111342	0.569162320035656	-1.40259808450365	0.409861888543792	0.197010672991508	0.926768380101693
CTNNB1	0.986039561342592	0.736500811450878	2.77445230215161	0.0443125917099715	4.43422236339737	0.000280620047673035
CUX1	2.16866147966681	0.259291690683231	2.00704590331935	0.194118311795183	1.05029493141799	0.541006525315778
CUX2	1	1	1	1	1	1
CXXC1	-0.255882713272255	0.957975387322644	1.15192508223117	0.50306301881367	0.145669326261324	0.935278197621014
DACH1	-0.00176243429972364	0.999136142470438	-0.546263653844098	0.784833677714653	-0.918071971686925	0.606748812834563
DACH2	1	1	1	1	1	1
DAXX	1	1	1	1	1	1
DBP	-1.93382569778325	0.340651581420071	-0.42292629414479	0.834291171696622	0.433212268233673	0.821827630562357
DBX1	1	1	1	1	1	1
DDIT3	1.41221173000273	0.619377302393651	2.65486576251405	0.0558282501339958	1.43503393169458	0.386226001419558
DDX5	1	1	1	1	1	1
DEAF1	0.608400365219541	0.889960159928574	0.216535307698043	0.913683162352635	-0.00220329047580531	0.999139217446786
DLX1	1	1	1	1	1	1
DLX2	-0.92887889859791	0.760256162665743	0.197721812188146	0.91940531258389	1.08688983976737	0.524191251853384
DLX3	-0.114119502938553	0.976937796820143	1.74569408294169	0.27576245117379	-0.523432463566061	0.789495480516371
DLX4	-0.0830571468218196	0.980814251074411	0.843408658218891	0.654157463622386	0.793050610492875	0.667253177260982
DLX5	0.548688982999576	0.910126468434611	2.20139383029202	0.1332300472201	2.95161533780302	0.0337776293648668
DLX6	1	1	1	1	1	1
DMAP1	1	1	1	1	1	1
DMBX1	1	1	1	1	1	1
DMRT1	1	1	1	1	1	1
DMRT3	1	1	1	1	1	1
DMRTA1	1	1	1	1	1	1
DMRTA2	1	1	1	1	1	1
DMTF1	1.29322176680017	0.657847677221154	0.835214284696164	0.654157463622386	1.67784932054456	0.296034346236172
DNAJC1	1	1	1	1	1	1
DNAJC2	1	1	1	1	1	1
DNMT1	1.75821573768663	0.416661802566305	1.69245942417497	0.300300015871909	3.84357365158966	0.00269094128543022
DNMT3A	0.130514042793686	0.973829306570502	-0.49656647981442	0.803255050036821	-0.398148863108001	0.84057026191183
DNMT3B	0.082806874191628	0.980814251074411	-1.58685727092961	0.338548920214622	0.439526074839371	0.819315670160774
DNMT3L	1	1	1	1	1	1
DOT1L	1.66892409502428	0.473669272791792	2.05128255542333	0.182820125186066	1.63130134250168	0.313920819570918
DPF3	1	1	1	1	1	1
DR1	1	1	1	1	1	1
DRAP1	1	1	1	1	1	1
DRGX	1	1	1	1	1	1
DTX1	1	1	1	1	1	1
DUX4	1	1	1	1	1	1
E2F1	1.99324992678788	0.316364051949288	4.59395529024254	0.000154466877991221	3.28886981716973	0.0152703523537922
E2F2	0.416046183966	0.926766352502805	1.68394844897739	0.303968980658494	0.599255833366884	0.757833312144612
E2F3	0.109267960937217	0.976937796820143	1.28025846116833	0.451175382664296	0.478648148688682	0.803464822227296
E2F4	0.276921088636086	0.957975387322644	3.13254617422326	0.0192293202309742	1.76320910089628	0.259499432245333
