nes_SW2	fdr_SW2	nes_SW3	fdr_SW3	nes_SW4	fdr_SW4	nes_SW5	fdr_SW5	nes_SW6	fdr_SW6	nes_SW7	fdr_SW7	nes_SW8	fdr_SW8	nes_SW9	fdr_SW9	nes_SW10	fdr_SW10	nes_SW11	fdr_SW11	nes_SW12	fdr_SW12	nes_SW13	fdr_SW13
ABL1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ADNP	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ADNP2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AEBP1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AEBP2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AHR	3.34169608311135	0.0152658328258147	1.1474966548511	0.609155099855035	-1.98178745118253	0.327072764573232	-1.01270136134279	0.960987351416466	2.76535075587098	0.208492598806637	-1.16752297171682	0.983396149753082	1.34396443997366	0.411477086759856	-2.16660867878621	0.147960780381277	0.434234992189187	0.961900310396585	3.55865085413252	0.01366803785634	-0.852120924627135	0.768943676306267	0.883721884958952	0.666691404522392
AHRR	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AIP	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AIRE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AKNA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ALX1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ALX3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ALX4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ANKRD1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AP1	3.87993048116111	0.0038311652173798	-0.94751557781963	0.650133626736242	-2.32335848509016	0.293105932936349	1.18344177182431	0.960987351416466	0.856860486763706	0.7705480187388	0.704716868981548	0.983396149753082	4.65076110761066	0.000181891731848063	1.63710226150507	0.306219217973956	1.23989593634391	0.812701932468276	1.61580139932783	0.346447174784176	1.42237523426247	0.655419552305651	2.60250921752373	0.0778090856411501
APBB1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
APEX1	-0.87133454660801	0.629744274730925	-1.18379379184701	0.609155099855035	-1.50032608075406	0.494089954073255	0.605924654233157	0.960987351416466	-1.06883047909573	0.721059009146174	0.822152811374936	0.983396149753082	1.48131640022821	0.347384358935107	1.97573651139846	0.183121387520371	-1.37998397429803	0.731678960298792	0.525572401137552	0.844946359231674	2.16986920283109	0.550307193098517	-0.766151126554752	0.680796293054043
AR	3.42440940843708	0.0139742212381096	0.101945779809129	0.953471399447919	-2.05689057986993	0.32345501892701	0.388236341047742	0.960987351416466	1.86060824065195	0.417485153974224	-0.298825135238006	0.983396149753082	3.0551714059225	0.0329900165231374	-0.841704140830219	0.68209137652188	1.47102003633898	0.719646937731498	-1.37763391360088	0.446139708854263	-0.97816066010516	0.750899847557547	2.56938122619947	0.0778090856411501
ARHGAP35	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ARID1A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ARID1B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ARID3A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ARID3B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ARID4A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ARID4B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ARID5A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ARID5B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ARNT	2.21726840739179	0.146326154792906	1.85644483609374	0.348645984411371	0.39891276763717	0.875589835238301	-1.16186400786398	0.960987351416466	1.72778234562413	0.461396179752782	-0.96973601455792	0.983396149753082	1.62859431150973	0.287946385359608	-0.613343509555638	0.78048069580747	0.587434112973256	0.928186981309246	0.162733722952778	0.933819600176313	-0.637941836888155	0.84302106926578	1.47609862411494	0.407370443889547
ARNT2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ARX	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ASCL1	-0.64604494558819	0.722114694624177	-2.81859222658712	0.11360984469908	1.28052782902669	0.537550049371916	1.37657055255016	0.960987351416466	-0.730807827901442	0.817489281287074	0.536243312890649	0.983396149753082	0.902999529552755	0.604639593607018	4.16228003805317	0.00115531388295406	0.149841593547066	0.987283550252357	0.993699362415613	0.602166641676359	2.53260058411744	0.393437725083231	0.837614166079519	0.669264066742268
ASCL2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ASCL4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ASH1L	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ASXL1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ATF1	2.01450978718386	0.169654884892551	1.46304684495532	0.50233607720274	-1.03350569531084	0.631436261509202	-0.36586464781234	0.960987351416466	0.0830296131319943	0.969242265227846	0.195895713790913	0.983396149753082	0.63866078241467	0.767130658144325	0.630651506512353	0.78048069580747	1.1590608322374	0.812701932468276	0.217799864569807	0.926810809884879	-0.0433086331923605	0.987907963095337	0.920237754218347	0.644579314547706
