term	term_id	odds_ratio	overlap	p.value	adj.p.value	log10pvalue	genes
AKT phosphorylates targets in the nucleus R-HSA-198693	R-HSA-198693	44.8375021581722	2/10	0.00139583918324127	0.0282790625368117	1.54853499168695	FOXO3;CREB1
ATF4 activates genes in response to endoplasmic reticulum  stress R-HSA-380994	R-HSA-380994	22.7968698818851	3/27	0.00046772766173784	0.0115730242651049	1.93655313629284	DDIT3;CEBPG;CEBPB
Activation of NOXA and translocation to mitochondria R-HSA-111448	R-HSA-111448	119.707646222063	2/5	0.00031594533828243	0.00846988815961181	2.0721223242601	E2F1;TP53
Activation of PUMA and translocation to mitochondria R-HSA-139915	R-HSA-139915	51.3459512062711	2/9	0.00112078397736902	0.023796485407499	1.62348718079396	E2F1;TP53
Activation of gene expression by SREBF (SREBP) R-HSA-2426168	R-HSA-2426168	14.0267029246448	3/42	0.00172739299038931	0.0339592666406906	1.46904169703057	SREBF2;PPARA;SP1
Activation of the AP-1 family of transcription factors R-HSA-450341	R-HSA-450341	44.8375021581722	2/10	0.00139583918324127	0.0282790625368117	1.54853499168695	FOS;JUN
Adipogenesis R-HSA-9843745	R-HSA-9843745	17.9044953167626	9/110	1.04380535892502e-08	2.770259422587e-06	5.55747955926677	MTA1;NFKB1;SMAD4;CEBPB;SREBF2;PPARA;SMAD1;RELA;CEBPA
Binding of TCF/LEF:CTNNB1 to target gene promoters R-HSA-4411364	R-HSA-4411364	59.7715582755773	2/8	0.000874932650395669	0.0190333709356566	1.72048428848089	LEF1;TCF7L2
C-type lectin receptors (CLRs) R-HSA-5621481	R-HSA-5621481	6.92360007403247	5/140	0.00118231311057043	0.0247075511453065	1.60717029696067	RELB;NFKB1;NFATC2;NFKB2;RELA
CD209 (DC-SIGN) signaling R-HSA-5621575	R-HSA-5621575	30.4116434050227	3/21	0.00021792623819147	0.00636286071986953	2.19634758316864	RELB;NFKB1;RELA
CLEC7A (Dectin-1) signaling R-HSA-5607764	R-HSA-5607764	9.87114753803849	5/100	0.000254137440430247	0.00717532730746676	2.14415828350204	RELB;NFKB1;NFATC2;NFKB2;RELA
CLEC7A/inflammasome pathway R-HSA-5660668	R-HSA-5660668	89.4596666996445	2/6	0.00047217623138758	0.0115730242651049	1.93655313629284	RELA;NFKB1
Cardiogenesis R-HSA-9733709	R-HSA-9733709	54.7204312818811	6/27	7.24822837502126e-09	2.13742201192294e-06	5.67010972240537	SMAD4;LEF1;SMAD1;SRF;NKX2-5;GATA4
Cell recruitment (pro-inflammatory response) R-HSA-9664424	R-HSA-9664424	23.7820799111923	3/26	0.000417450247734476	0.010452009032899	1.98080022361592	NFKB1;NFKB2;RELA
Cellular Senescence R-HSA-2559583	R-HSA-2559583	12.2450372400542	11/197	1.204392763474e-08	2.80966027347341e-06	5.55134618908972	NFKB1;HMGA1;STAT3;SP1;CEBPB;JUN;FOS;TP53;E2F1;ETS1;RELA
Cellular response to chemical stress R-HSA-9711123	R-HSA-9711123	5.45067932152489	6/214	0.00133026094894468	0.0273683144069704	1.56275194962291	NFKB1;STAT3;SP1;PPARA;NFE2L2;RELA
Cellular responses to stimuli R-HSA-8953897	R-HSA-8953897	5.79665881613788	20/832	1.69372243193842e-08	3.45779948797274e-06	5.46120019434486	PGR;HMGA1;CEBPG;CEBPB;FOS;CREB1;TP53;E2F1;ETS1;NFKB1;HIF1A;STAT3;JUN;DDIT3;AR;SP1;NR3C1;NFE2L2;PPARA;RELA
Cellular responses to stress R-HSA-2262752	R-HSA-2262752	5.90591455378454	20/818	1.27038143487871e-08	2.80966027347341e-06	5.55134618908972	PGR;HMGA1;CEBPG;CEBPB;FOS;CREB1;TP53;E2F1;ETS1;NFKB1;HIF1A;STAT3;JUN;DDIT3;AR;SP1;NR3C1;NFE2L2;PPARA;RELA
Circadian Clock R-HSA-400253	R-HSA-400253	11.2079594111268	4/70	0.000662479474090489	0.0156983975378228	1.80414467727229	NR3C1;PPARA;HIF1A;CREB1
Cytokine Signaling in Immune system R-HSA-1280215	R-HSA-1280215	4.8708949145186	17/789	1.24013673817821e-06	8.43928949519223e-05	4.07369411514048	SMAD7;FOS;CREB1;TP53;NFKB1;HIF1A;SMAD3;STAT3;FOXO3;JUN;RELB;IRF1;MEF2A;TWIST1;NFKB2;YBX1;RELA
DEx/H-box helicases activate type I IFN and inflammatory cytokines production  R-HSA-3134963	R-HSA-3134963	136.262662219942	3/7	6.07140015455493e-06	0.000322269920203776	3.4917802284596	RELA;NFKB1;NFKB2
Deactivation of the beta-catenin transactivating complex R-HSA-3769402	R-HSA-3769402	14.0267029246448	3/42	0.00172739299038931	0.0339592666406906	1.46904169703057	LEF1;TCF7L2;SOX9
Defective Intrinsic Pathway for Apoptosis R-HSA-9734009	R-HSA-9734009	24.8604981453141	3/25	0.000370786379757021	0.00955404904733139	2.01981253352255	JUN;FOXO3;TP53
Deubiquitination R-HSA-5688426	R-HSA-5688426	5.33918757846999	8/299	0.000277808046459612	0.00776107952951379	2.11007786622853	AR;HIF1A;SMAD3;SMAD4;SMAD7;SMAD1;ESR1;TP53
Developmental Biology R-HSA-1266738	R-HSA-1266738	6.60179295908701	31/1422	2.8983255875555e-12	1.92303902734307e-09	8.71601190183133	CEBPB;SMAD1;CREB1;SMAD4;TCF3;FOXO3;JUN;LEF1;SRF;GATA4;NKX2-5;RELA;GATA2;HNF1A;CDX2;PPARA;HNF4A;NFKB1;STAT3;TCF7L2;TFAP2A;SREBF2;MEF2A;MYB;SOX9;TP53;E2F1;SMAD3;MTA1;SPI1;CEBPA
Disease R-HSA-1643685	R-HSA-1643685	2.81133510143917	23/1881	0.00016120210257324	0.00491759057734918	2.30824763204296	HMGA1;CEBPB;CREB1;SMAD4;FOXO3;JUN;SP1;NFE2L2;NFKB2;RELA;NR3C1;ESR2;NFKB1;STAT3;TCF7L2;TWIST1;DNMT1;TP53;E2F1;SMAD3;MTA1;FOXM1;ESR1
Diseases associated with the TLR signaling cascade R-HSA-5602358	R-HSA-5602358	18.8694243562575	3/32	0.000777201260115414	0.0174804419012399	1.75744759270595	NFKB1;NFKB2;RELA
Diseases of Immune System R-HSA-5260271	R-HSA-5260271	18.8694243562575	3/32	0.000777201260115414	0.0174804419012399	1.75744759270595	NFKB1;NFKB2;RELA
Diseases of signal transduction by growth factor receptors and second messengers R-HSA-5663202	R-HSA-5663202	6.7461750935558	14/459	2.17234934178197e-07	1.92180505102978e-05	4.71629066950624	CEBPB;DNMT1;CREB1;TP53;SMAD3;SMAD4;STAT3;FOXO3;JUN;TCF7L2;FOXM1;ESR1;TWIST1;ESR2
Downregulation of SMAD2/3:SMAD4 transcriptional activity R-HSA-2173795	R-HSA-2173795	19.5454994117062	3/31	0.000707202588721686	0.0163210058301509	1.78725308007826	SMAD4;SMAD7;SMAD3
Downstream signaling events of B Cell Receptor (BCR) R-HSA-1168372	R-HSA-1168372	9.60097828628768	4/81	0.00114720535377899	0.0241641508645194	1.61682846149481	REL;NFKB1;NFATC2;RELA
ESR-mediated signaling R-HSA-8939211	R-HSA-8939211	10.8799845727361	11/220	3.78139153260519e-08	7.1684379482387e-06	5.14457546976706	PGR;SRF;ESR2;FOXO3;MYB;SP1;USF2;JUN;FOS;ESR1;CREB1
Estrogen-dependent gene expression R-HSA-9018519	R-HSA-9018519	9.52969040353505	7/149	2.06816965212902e-05	0.000930325806228885	3.03136493201801	PGR;MYB;SP1;USF2;JUN;FOS;ESR1
Estrogen-dependent nuclear events downstream of ESR-membrane signaling R-HSA-9634638	R-HSA-9634638	37.0562550811706	4/24	9.34086344409846e-06	0.000459086140382172	3.33810581820414	FOS;SRF;FOXO3;CREB1
Extra-nuclear estrogen signaling R-HSA-9009391	R-HSA-9009391	16.6250284351267	6/75	3.98539837856626e-06	0.000235049939926997	3.62883985547074	FOS;SRF;ESR1;FOXO3;CREB1;ESR2
FOXO-mediated transcription R-HSA-9614085	R-HSA-9614085	15.4182442438197	5/66	3.49981604784627e-05	0.00136595761632118	2.86456277597177	DDIT3;SMAD4;NR3C1;FOXO3;SMAD3
FOXO-mediated transcription of cell cycle genes R-HSA-9617828	R-HSA-9617828	39.0842351571539	3/17	0.000113249065654243	0.00353603553231013	2.4514833795728	FOXO3;SMAD4;SMAD3
FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes R-HSA-9615017	R-HSA-9615017	28.5273672536705	4/30	2.3480825574304e-05	0.00103605045383897	2.98461909469666	SMAD4;NR3C1;FOXO3;SMAD3
Factors involved in megakaryocyte development and platelet production R-HSA-983231	R-HSA-983231	5.65062342061307	5/170	0.00277508777465217	0.0488886975108722	1.31079153302408	IRF1;MYB;GATA2;GATA4;TP53
Formation of axial mesoderm R-HSA-9796292	R-HSA-9796292	29.9388696737952	2/14	0.00278153478679039	0.0488886975108722	1.31079153302408	LEF1;SMAD3
Formation of definitive endoderm R-HSA-9823730	R-HSA-9823730	56.9912128065634	4/17	2.15572157607932e-06	0.00013002920597533	3.8859590894675	GATA4;SMAD4;TCF7L2;SMAD3
Gastrulation R-HSA-9758941	R-HSA-9758941	11.1116038686826	7/129	8.05931257173744e-06	0.000403573878592286	3.39407695133095	LEF1;SMAD3;SMAD4;MYB;TCF7L2;GATA4;TFAP2A
Gene expression (Transcription) R-HSA-74160	R-HSA-74160	11.3314110771624	41/1559	2.41348331076221e-20	3.20269235338145e-17	16.4944847771169	CEBPB;SMAD1;CREB1;MAF;SMAD4;TCF3;FOXO3;JUN;DDIT3;LEF1;SP1;SRF;GATA4;NFATC2;YBX1;NKX2-5;RELA;SMAD7;NR1I3;GATA2;AR;NR3C1;ESR2;PPARA;HNF4A;FOS;NFKB1;TCF7L2;TFAP2A;TWIST1;PGR;MYB;DNMT1;SOX9;TP53;E2F1;SMAD3;MTA1;SPI1;ESR1;E2F4
Generic Transcription Pathway R-HSA-212436	R-HSA-212436	12.7068905851859	39/1260	1.24509145142772e-21	3.30447271208917e-18	17.4808978301267	CEBPB;SMAD1;CREB1;MAF;SMAD4;TCF3;FOXO3;JUN;DDIT3;LEF1;SP1;SRF;GATA4;NFATC2;YBX1;NKX2-5;RELA;SMAD7;NR1I3;GATA2;AR;NR3C1;ESR2;PPARA;HNF4A;FOS;NFKB1;TCF7L2;TFAP2A;TWIST1;PGR;MYB;SOX9;TP53;E2F1;SMAD3;SPI1;ESR1;E2F4
Germ layer formation at gastrulation R-HSA-9754189	R-HSA-9754189	39.0842351571539	3/17	0.000113249065654243	0.00353603553231013	2.4514833795728	SMAD4;LEF1;SMAD3
Heme signaling R-HSA-9707616	R-HSA-9707616	11.8835914110526	3/49	0.00269484640654351	0.0488886975108722	1.31079153302408	PPARA;NFE2L2;CREB1
IkBA variant leads to EDA-ID R-HSA-5603029	R-HSA-5603029	136.262662219942	3/7	6.07140015455493e-06	0.000322269920203776	3.4917802284596	RELA;NFKB1;NFKB2
Incretin synthesis, secretion, and inactivation R-HSA-400508	R-HSA-400508	26.0424647046912	3/24	0.000327620732324509	0.00869505423589247	2.06072770471643	CDX2;TCF7L2;GATA4
Inflammasomes R-HSA-622312	R-HSA-622312	30.4116434050227	3/21	0.00021792623819147	0.00636286071986953	2.19634758316864	NFKB1;NFKB2;RELA
Interleukin-1 family signaling R-HSA-446652	R-HSA-446652	7.80783716898976	6/152	0.000218168924456717	0.00636286071986953	2.19634758316864	NFKB1;SMAD3;STAT3;TP53;NFKB2;RELA
Interleukin-1 processing R-HSA-448706	R-HSA-448706	90.9625417772696	3/9	1.44530059889305e-05	0.000684969248118242	3.16432892583947	RELA;NFKB1;NFKB2
Interleukin-17 signaling R-HSA-448424	R-HSA-448424	14.2471570822975	5/71	4.98849503915792e-05	0.00181362545670207	2.74145239692452	JUN;MEF2A;FOS;NFKB1;CREB1
Interleukin-4 and Interleukin-13 signaling R-HSA-6785807	R-HSA-6785807	10.8921752194702	6/111	3.82090491905061e-05	0.00144866880788005	2.83903089082319	HIF1A;STAT3;FOXO3;FOS;TP53;TWIST1
