term	term_id	variable	odds_ratio	overlap	p.value	adj.p.value	log10pvalue	genes
Activation of HOX genes during differentiation R-HSA-5619507	R-HSA-5619507	Fibrosis	7.29344420452854	9/122	1.07165107814675e-05	0.000377323703643606	3.42328591136867	CTCF;SUZ12;PBX1;JUN;EGR2;YY1;RARA;MAFB;EZH2
Activation of anterior HOX genes in hindbrain development during early embryogenesis R-HSA-5617472	R-HSA-5617472	Fibrosis	7.29344420452854	9/122	1.07165107814675e-05	0.000377323703643606	3.42328591136867	CTCF;SUZ12;PBX1;JUN;EGR2;YY1;RARA;MAFB;EZH2
Activation of the AP-1 family of transcription factors R-HSA-450341	R-HSA-450341	Fibrosis	59.0105788239717	4/10	3.30251702145194e-06	0.000153769827630411	3.81312887246126	FOS;JUN;ATF2;MAPK14
Adipogenesis R-HSA-9843745	R-HSA-9843745	Fibrosis	7.13045370753653	8/110	3.73397633821399e-05	0.00108900804413406	2.96296891224594	NFKB1;SMAD4;KLF4;CEBPD;KLF5;EGR2;PPARG;RELA
Binding of TCF/LEF:CTNNB1 to target gene promoters R-HSA-4411364	R-HSA-4411364	Fibrosis	88.6719814503922	4/8	1.12068020566611e-06	7.3505094324888e-05	4.13368256077269	CTNNB1;MYC;LEF1;TCF7L2
CD209 (DC-SIGN) signaling R-HSA-5621575	R-HSA-5621575	Fibrosis	14.6553658103987	3/21	0.00169077424629595	0.0287648387799324	1.54113805574875	RELB;NFKB1;RELA
CLEC7A/inflammasome pathway R-HSA-5660668	R-HSA-5660668	Fibrosis	43.6080026249824	2/6	0.00190395939597626	0.0311920261538333	1.50595641367347	RELA;NFKB1
Cardiogenesis R-HSA-9733709	R-HSA-9733709	Fibrosis	25.7045401518035	6/27	4.95251393724824e-07	3.75542056841624e-05	4.42534141942824	SMAD4;MYOCD;CTNNB1;LEF1;SRF;GATA6
Cellular Senescence R-HSA-2559583	R-HSA-2559583	Fibrosis	6.64928874163485	13/197	3.95372101932337e-07	3.08622811331889e-05	4.51057197694613	NFKB1;HMGA1;STAT3;SP1;MAPK14;SUZ12;JUN;FOS;TP53;ETS1;RELA;ETS2;EZH2
Cellular response to chemical stress R-HSA-9711123	R-HSA-9711123	Fibrosis	3.98721072959914	9/214	0.000793422799242393	0.0154834125675685	1.81013331394201	SIN3A;NFKB1;STAT3;MYC;SP1;NOTCH1;NFE2L2;BRCA1;RELA
Cellular responses to stimuli R-HSA-8953897	R-HSA-8953897	Fibrosis	3.55155671930483	28/832	1.80052501048249e-07	1.44805859933955e-05	4.83921386296286	SIN3A;PGR;HMGA1;NOTCH1;FOS;CREB1;TP53;NFYA;ETS1;NFKB1;HIF1A;NFYB;CRTC1;STAT3;JUN;ATF2;BRCA1;EZH2;AR;MYC;ATF3;SP1;NFE2L2;MAPK14;SUZ12;CRTC3;RELA;ETS2
Cellular responses to stress R-HSA-2262752	R-HSA-2262752	Fibrosis	3.61939291318835	28/818	1.26460028355283e-07	1.04882786017163e-05	4.97929578493534	SIN3A;PGR;HMGA1;NOTCH1;FOS;CREB1;TP53;NFYA;ETS1;NFKB1;HIF1A;NFYB;CRTC1;STAT3;JUN;ATF2;BRCA1;EZH2;AR;MYC;ATF3;SP1;NFE2L2;MAPK14;SUZ12;CRTC3;RELA;ETS2
Circadian Clock R-HSA-400253	R-HSA-400253	Fibrosis	8.41121608016809	6/70	0.000146545312495039	0.00359169419477668	2.44470064727609	ATF2;CRTC1;BHLHE40;HIF1A;CRTC3;CREB1
Cytokine Signaling in Immune system R-HSA-1280215	R-HSA-1280215	Fibrosis	4.50897089514445	32/789	1.85115197873255e-10	2.72942075086455e-08	7.56392951097952	BCL6;STAT1;ZEB1;SMAD7;EGR1;CEBPD;FOS;CREB1;TP53;PML;NANOG;NFKB1;HIF1A;SMAD3;STAT3;JUN;POU2F1;ATF2;JUNB;RELB;SMARCA4;MYC;IRF6;SOX2;MEF2A;TWIST1;MAPK14;STAT5B;GATA3;IRF2;MUC1;RELA
DEx/H-box helicases activate type I IFN and inflammatory cytokines production  R-HSA-3134963	R-HSA-3134963	Fibrosis	34.8924932429355	2/7	0.00264552326722859	0.0405850794868478	1.39163359911992	RELA;NFKB1
Deactivation of the beta-catenin transactivating complex R-HSA-3769402	R-HSA-3769402	Fibrosis	14.9872260768556	6/42	7.62244635691768e-06	0.000280971842100827	3.55133720120871	SRY;SOX2;CTNNB1;LEF1;TCF7L2;SOX9
Deubiquitination R-HSA-5688426	R-HSA-5688426	Fibrosis	3.50086284069665	11/299	0.000646582325867506	0.0133519560646262	1.87445510539725	AR;HIF1A;SMAD3;SMAD4;SMAD7;MYC;YY1;TP53;SMAD2;GATA3;BRCA1
