tf	module	database	p.value	adj_p.value	overlap	odds_ratio
E2F6	MEmagenta	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.000321016979557526	0.00367561337108003	88/2254	1.60292703837714
YY1	MEmagenta	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	1.00031086147899e-11	3.46774431979383e-10	102/1941	2.47846296942829
CHD1	MEmagenta	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	1.5169852705404e-05	0.000225380668766002	32/510	2.49434334646371
MAX	MEmagenta	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.00323447273041669	0.0185704831351267	59/1492	1.54417289806243
PML	MEmagenta	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	3.971741233374e-07	1.03265272067724e-05	57/1038	2.28180209949231
CREB1	MEmagenta	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.00549856938473152	0.0285925608006039	59/1528	1.49948492359358
RELA	MEmagenta	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.00331587213801359	0.0185704831351267	17/290	2.23317677084778
STAT3	MEmagenta	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.00849940433409986	0.0401790023066539	23/480	1.81120255410972
MYC	MEmagenta	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.00102235094021977	0.00817880752175816	46/1035	1.7353401073348
USF1	MEmagenta	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.00797075632606247	0.0394742218052618	43/1059	1.55317607105814
EGR1	MEmagenta	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.0106298820697832	0.0480655537068458	19/380	1.88413094648662
TAF7	MEmagenta	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	9.01819007783636e-06	0.000156315294682497	26/360	2.87493773305497
SIN3A	MEmagenta	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.00218950675928039	0.0162649073546543	36/784	1.76848012107845
BCLAF1	MEmagenta	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.00339268441891738	0.0185704831351267	27/552	1.86700821048137
BRCA1	MEmagenta	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	4.38792096201673e-06	9.1268756009948e-05	96/2265	1.82566988188973
PBX3	MEmagenta	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.000353424362603849	0.00367561337108003	43/901	1.87413060079887
ATF2	MEmagenta	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	1.45644506697664e-13	7.57351434827853e-12	106/1929	2.66717263726276
ZMIZ1	MEmagenta	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.000834212849350483	0.00764560852500498	32/633	1.95646821761713
TAF1	MEmagenta	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	3.71627800664585e-15	3.86492912691168e-13	124/2341	2.73112803905746
MYC	MEmagenta	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.0031955816808107	0.0185704831351267	21/390	2.05177007111233
ZBTB33	MEmagenta	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.000151677600770275	0.00197180881001357	28/474	2.30890241324536
ZNF384	MEmagenta	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.000882185599039036	0.00764560852500498	29/555	2.01776757216114
UBTF	MEmagenta	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.00253645280005482	0.0175860727470468	54/1323	1.59131353174048
GATA2	MEpink	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	6.62169187460099e-05	0.0037593283959869	34/560	2.23082616240072
SMC3	MEpink	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.000429386029827003	0.0111640367755021	41/796	1.87716436981215
CTCF	MEpink	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.000108442165268853	0.0037593283959869	60/1244	1.80205884478025
GATA1	MEpink	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	8.17453235245246e-05	0.0037593283959869	34/566	2.2042245320684
AR	MEred	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.000880477485540276	0.00832451440874443	72/725	1.54858986299622
NFE2L2	MEred	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	9.22238769571478e-06	0.000239782080088584	80/719	1.78541282958261
FOSL2	MEred	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.00103015540423433	0.00892801350336419	18/117	2.49575628410633
PPARD	MEred	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.00301550555808705	0.0241240444646964	24/191	1.97604831195722
