"ensembl_gene_id"	"gene_symbol"	"module_label"	"module_color"
"1"	"ENSG00000000003"	"TSPAN6"	1	"MEturquoise"
"2"	"ENSG00000000419"	"DPM1"	1	"MEturquoise"
"3"	"ENSG00000000457"	"SCYL3"	1	"MEturquoise"
"4"	"ENSG00000000460"	"C1orf112"	1	"MEturquoise"
"5"	"ENSG00000001084"	"GCLC"	1	"MEturquoise"
"6"	"ENSG00000001167"	"NFYA"	1	"MEturquoise"
"7"	"ENSG00000001561"	"ENPP4"	1	"MEturquoise"
"8"	"ENSG00000001629"	"ANKIB1"	1	"MEturquoise"
"9"	"ENSG00000001631"	"KRIT1"	1	"MEturquoise"
"10"	"ENSG00000003096"	"KLHL13"	1	"MEturquoise"
"11"	"ENSG00000003436"	"TFPI"	1	"MEturquoise"
"12"	"ENSG00000003987"	"MTMR7"	1	"MEturquoise"
"13"	"ENSG00000003989"	"SLC7A2"	1	"MEturquoise"
"14"	"ENSG00000004700"	"RECQL"	1	"MEturquoise"
"15"	"ENSG00000004766"	"VPS50"	1	"MEturquoise"
"16"	"ENSG00000004799"	"PDK4"	1	"MEturquoise"
"17"	"ENSG00000004864"	"SLC25A13"	1	"MEturquoise"
"18"	"ENSG00000004897"	"CDC27"	1	"MEturquoise"
"19"	"ENSG00000004948"	"CALCR"	1	"MEturquoise"
"20"	"ENSG00000004961"	"HCCS"	1	"MEturquoise"
"21"	"ENSG00000005020"	"SKAP2"	1	"MEturquoise"
"22"	"ENSG00000005022"	"SLC25A5"	1	"MEturquoise"
"23"	"ENSG00000005059"	"MCUB"	1	"MEturquoise"
"24"	"ENSG00000005108"	"THSD7A"	1	"MEturquoise"
"25"	"ENSG00000005175"	"RPAP3"	1	"MEturquoise"
"26"	"ENSG00000005187"	"ACSM3"	1	"MEturquoise"
"27"	"ENSG00000005249"	"PRKAR2B"	1	"MEturquoise"
"28"	"ENSG00000005302"	"MSL3"	1	"MEturquoise"
"29"	"ENSG00000005421"	"PON1"	1	"MEturquoise"
"30"	"ENSG00000005469"	"CROT"	1	"MEturquoise"
"31"	"ENSG00000005471"	"ABCB4"	1	"MEturquoise"
"32"	"ENSG00000005483"	"KMT2E"	1	"MEturquoise"
"33"	"ENSG00000005700"	"IBTK"	1	"MEturquoise"
"34"	"ENSG00000005810"	"MYCBP2"	1	"MEturquoise"
"35"	"ENSG00000005812"	"FBXL3"	1	"MEturquoise"
"36"	"ENSG00000005889"	"ZFX"	1	"MEturquoise"
"37"	"ENSG00000005893"	"LAMP2"	1	"MEturquoise"
"38"	"ENSG00000006451"	"RALA"	1	"MEturquoise"
"39"	"ENSG00000006459"	"KDM7A"	1	"MEturquoise"
"40"	"ENSG00000006468"	"ETV1"	1	"MEturquoise"
"41"	"ENSG00000006530"	"AGK"	1	"MEturquoise"
"42"	"ENSG00000006576"	"PHTF2"	1	"MEturquoise"
"43"	"ENSG00000006634"	"DBF4"	1	"MEturquoise"
"44"	"ENSG00000006715"	"VPS41"	1	"MEturquoise"
"45"	"ENSG00000006747"	"SCIN"	1	"MEturquoise"
"46"	"ENSG00000007168"	"PAFAH1B1"	1	"MEturquoise"
"47"	"ENSG00000007908"	"SELE"	1	"MEturquoise"
"48"	"ENSG00000007933"	"FMO3"	1	"MEturquoise"
