term	estimate	std.error	statistic	p.value	conf.low	conf.high	variable	p.value_adjust
MEblue	0.402166653592135	0.198864691845896	2.02231301021391	0.0454247081970646	0.00832555216301628	0.796007755021255	Fibrosis	0.0498206477000063
MEbrown	1.91795723047488	0.334545337637475	5.73302633364822	7.83803998839431e-08	1.25540771990001	2.58050674104975	Fibrosis	8.88311198684688e-07
MEmagenta	-1.36720910841407	0.265801807769129	-5.14371636479464	1.09554831244916e-06	-1.89361566033615	-0.840802556491988	Fibrosis	6.2081071038786e-06
MEpink	-0.652971146142128	0.142182402260377	-4.59248919529681	1.11130185981382e-05	-0.93455594327373	-0.371386349010526	Fibrosis	4.72303290420875e-05
MEred	0.597311792330918	0.0804419931265107	7.42537285707888	1.9817982201362e-11	0.438000640210213	0.756622944451623	Fibrosis	3.36905697423154e-10
MEturquoise	2.23764634685093	0.444417005993977	5.03501512469406	1.75119897779852e-06	1.35750175451609	3.11779093918577	Fibrosis	8.50582360644996e-06
age	0.316926092903072	0.0612585364265353	5.17358251422066	9.62120728927608e-07	0.195606771538281	0.438245414267864	Fibrosis	6.2081071038786e-06
inflammation	0.182413747891142	0.0696391875937743	2.61941234804769	0.00997491235106825	0.0444969860467888	0.320330509735496	Fibrosis	0.0130441161513969
MEblack	0.460165231792468	0.154288336522963	2.98250173773816	0.00347989121592897	0.154605266220709	0.765725197364228	Steatosis	0.00537801369734478
MEblue	1.69636441327627	0.396050837638845	4.28319865042975	3.79689200985389e-05	0.912006482917872	2.48072234363467	Steatosis	0.00012901333029809
MEbrown	0.619394469745067	0.296308669115437	2.0903690452059	0.0387502335280233	0.0325706775263251	1.20621826196381	Steatosis	0.0454313082742342
MEgreen	0.850651046973163	0.278573996126262	3.05359099844915	0.00279990621181918	0.298949845289267	1.40235224865706	Steatosis	0.0047598405600926
MEpink	-0.847200679740044	0.24193183553684	-3.50181561620499	0.000655129513116884	-1.32633400247405	-0.368067357006041	Steatosis	0.00139215021537338
MEred	0.285051010653842	0.128070800391431	2.22572990707189	0.0279483731166203	0.0314135015571709	0.538688519750513	Steatosis	0.033937310213039
MEturquoise	1.49157712859604	0.411703567212949	3.62293953072439	0.000432178426743745	0.676219787539764	2.30693446965232	Steatosis	0.00113031280840672
inflammation	0.391319995798554	0.0918855128813804	4.25877794580881	4.17396068611469e-05	0.209345552458831	0.573294439138277	Steatosis	0.00012901333029809
MEblack	0.199454141715398	0.126388846404512	1.57809923414475	0.117266009814604	-0.0508748938941863	0.449783177324983	Ballooning	0.120819525263531
MEblue	0.872261341342784	0.246996107614149	3.53147808590332	0.000593931827592596	0.383054428096017	1.36146825458955	Ballooning	0.00139215021537338
MEbrown	0.96058739854618	0.388576586284338	2.4720671096824	0.0148845931984286	0.190962507804631	1.73021228928773	Ballooning	0.0187435618054287
MEmagenta	-0.598215629094768	0.306460358191447	-1.95201634764474	0.0533461434780824	-1.20519898325167	0.00876772506213785	Ballooning	0.0566802774454626
MEpink	-0.480365664917571	0.17215990588232	-2.79022959762725	0.00615956318290343	-0.821350051089004	-0.139381278746138	Ballooning	0.00893809109030934
MEred	0.295036385362631	0.093911316753507	3.14164890411478	0.00213232490251919	0.109033189475463	0.481039581249799	Ballooning	0.00402772481586958
MEturquoise	1.69060069535323	0.515696915717734	3.27828351077162	0.00137862303087396	0.66919797469473	2.71200341601172	Ballooning	0.00275724606174792
age	0.222973341686978	0.07182278282929	3.10449321097661	0.00239539629075918	0.0807192704463142	0.365227412927642	Ballooning	0.00428649862556906
inflammation	0.414441446470335	0.0802549464577587	5.16406109233992	1.01363957534405e-06	0.255486412690136	0.573396480250534	Ballooning	6.2081071038786e-06
MEblack	0.186794372301599	0.0903560836085802	2.0673137307587	0.0409292478196414	0.00783276362607771	0.365755980977121	NAS	0.0463864808622603
MEblue	0.773809202118616	0.176578880063115	4.38222964061177	2.59299044500395e-05	0.424072480780504	1.12354592345673	NAS	9.79574168112603e-05
MEbrown	0.772804065921874	0.277795545393877	2.78191669641838	0.00630924076963012	0.222594985347458	1.32301314649629	NAS	0.00893809109030934
MEmagenta	-0.591247114803168	0.219090200877672	-2.69864700673349	0.0080021194504286	-1.02518286354547	-0.157311366060866	NAS	0.0108828824525829
MEpink	-0.431732010986493	0.12307806655788	-3.50778999915036	0.000643794889094627	-0.675503629943421	-0.187960392029566	NAS	0.00139215021537338
MEred	0.20027691745834	0.0671377184756771	2.9830760115999	0.00347945712146083	0.0673022064996356	0.333251628417044	NAS	0.00537801369734478
MEturquoise	1.44426203201776	0.368674570255552	3.91744413241372	0.000151668141093526	0.714055591724186	2.17446847231134	NAS	0.00042972639976499
age	0.074101354574624	0.0513465037061414	1.44316261529139	0.151669713412209	-0.0275968658011217	0.17579957495037	NAS	0.151669713412209
inflammation	0.760872309659505	0.0573747040061637	13.2614594330241	5.42343116577496e-25	0.647234479021503	0.874510140297506	NAS	1.84396659636349e-23
