term	estimate	std.error	statistic	p.value	conf.low	conf.high	variable	p.value_adjust
MEbrown	1.53193349778341	0.274968159819728	5.57131232498978	1.04875465365339e-07	0.988898450004882	2.07496854556194	Fibrosis	7.60347123898709e-07
MEmagenta	-1.05269895877293	0.225347678700074	-4.67144354379624	6.30306860717721e-06	-1.49773844098026	-0.607659476565596	Fibrosis	2.61127128011627e-05
MEpink	-0.54086934189926	0.118827961655583	-4.55170091587486	1.04790023690781e-05	-0.775542868744585	-0.306195815053934	Fibrosis	3.79588932663266e-05
MEred	0.620409992793372	0.0680460677824185	9.1174995559945	3.08967980567171e-16	0.486025707377954	0.75479427820879	Fibrosis	4.48003571822398e-15
MEturquoise	1.42661852409736	0.27122932340875	5.25982407126168	4.56446469477743e-07	0.890967310179463	1.96226973801526	Fibrosis	2.64738952297091e-06
age	0.240104556527367	0.0579612984286437	4.14249789146735	5.54935781811408e-05	0.125636697840966	0.354572415213767	Fibrosis	0.000160931376725308
inflammation	0.155359998574434	0.0597560214792647	2.59990532717015	0.0101976703923096	0.0373477385355931	0.273372258613275	Fibrosis	0.0134423836989535
MEblack	0.217560074411729	0.137366763334592	1.58378976930399	0.115241124445126	-0.0537519309045399	0.488872079727999	Steatosis	0.119356878889594
MEblue	1.30086683580496	0.374175399240993	3.47662309826819	0.000655869264479852	0.561835970960196	2.03989770064972	Steatosis	0.0014630929746089
MEbrown	0.461609202589055	0.277669855557823	1.66243902011513	0.0984073757265939	-0.0868143279543088	1.01003273313242	Steatosis	0.105696810965601
MEgreen	0.675706567095798	0.253604034456661	2.66441568464587	0.00851232636143525	0.174815249032646	1.17659788515895	Steatosis	0.0117551173562677
MEpink	-0.706281789065794	0.223745781082084	-3.15662617480454	0.00191181858186008	-1.14820030758379	-0.264363270547797	Steatosis	0.00326133758082013
MEred	0.330178534634234	0.116122448065922	2.84336525911677	0.0050544042225536	0.100826007995311	0.559531061273157	Steatosis	0.00814320680300303
MEturquoise	1.25579919976574	0.393264047653929	3.19327232493634	0.0016979577305709	0.479066496761797	2.03253190276968	Steatosis	0.00307754838665975
age	-0.110069279746693	0.0743862817187703	-1.47969863802076	0.140944803217007	-0.256989035087964	0.0368504755945776	Steatosis	0.140944803217007
inflammation	0.255064002516867	0.0762574432659087	3.34477516676584	0.00102866714570233	0.104448530837079	0.405679474196654	Steatosis	0.00213081051609768
MEbrown	1.09755644423492	0.448041487571038	2.44967592216758	0.0153698763044643	0.212760489139123	1.98235239933071	Ballooning	0.0185719338678944
MEpink	-0.211232369193588	0.0907638750247639	-2.32727358914497	0.0211958153185638	-0.390473604031239	-0.0319911343559362	Ballooning	0.024587145769534
MEpurple	-0.729249654812455	0.336468634615793	-2.16736295686274	0.0316765826903353	-1.3937106370724	-0.064788672552512	Ballooning	0.0353315730007586
MEred	0.352735841152672	0.0728079042013514	4.84474652885456	2.95819887622407e-06	0.208954202792355	0.496517479512989	Ballooning	1.4297961235083e-05
MEturquoise	0.528520411798797	0.204698427719938	2.58194661134331	0.0107152512018263	0.124280300368596	0.932760523228999	Ballooning	0.0135105341240419
inflammation	0.399667677649273	0.0666586127121099	5.99573950594183	1.28823317110903e-08	0.268029709880451	0.531305645418096	Ballooning	1.2452920654054e-07
MEblue	0.476485630582682	0.148843782030295	3.20124646178167	0.00165069693187612	0.182533813254635	0.770437447910729	NAS	0.00307754838665975
MEbrown	0.662149648296945	0.244593850249452	2.70713939709295	0.00752384461902092	0.179100871872701	1.14519842472119	NAS	0.0109095746975803
MEmagenta	-0.548004148144809	0.196467810258667	-2.78928210897914	0.00592409866065117	-0.936008733114591	-0.159999563175027	NAS	0.00904204532415178
MEpink	-0.37561526695856	0.107157708647921	-3.50525661380728	0.000591928985601155	-0.587241192933451	-0.163989340983669	NAS	0.00143049504853612
MEred	0.26779595067266	0.0591968887321806	4.52381799800706	1.17803461861014e-05	0.150887922768283	0.384703978577036	NAS	3.79588932663266e-05
MEturquoise	1.16705927919164	0.321260880826067	3.63274630945026	0.000377278879067913	0.532600664481007	1.80151789390227	NAS	0.000994644317542679
inflammation	0.707263788198304	0.0480553399008872	14.7176940098024	1.49814078784837e-31	0.612359222461674	0.802168353934935	NAS	4.34460828476027e-30
