ensembl_gene_id	gene_symbol	module_label	module_color
ENSG00000000003	TSPAN6	1	MEturquoise
ENSG00000000419	DPM1	1	MEturquoise
ENSG00000000457	SCYL3	1	MEturquoise
ENSG00000000460	C1orf112	1	MEturquoise
ENSG00000001084	GCLC	1	MEturquoise
ENSG00000001167	NFYA	1	MEturquoise
ENSG00000001561	ENPP4	1	MEturquoise
ENSG00000001629	ANKIB1	1	MEturquoise
ENSG00000001631	KRIT1	1	MEturquoise
ENSG00000003096	KLHL13	1	MEturquoise
ENSG00000003137	CYP26B1	1	MEturquoise
ENSG00000003147	ICA1	1	MEturquoise
ENSG00000003436	TFPI	1	MEturquoise
ENSG00000003509	NDUFAF7	1	MEturquoise
ENSG00000003987	MTMR7	1	MEturquoise
ENSG00000003989	SLC7A2	1	MEturquoise
ENSG00000004700	RECQL	1	MEturquoise
ENSG00000004766	VPS50	1	MEturquoise
ENSG00000004799	PDK4	1	MEturquoise
ENSG00000004864	SLC25A13	1	MEturquoise
ENSG00000004897	CDC27	1	MEturquoise
ENSG00000004939	SLC4A1	1	MEturquoise
ENSG00000004948	CALCR	1	MEturquoise
ENSG00000004961	HCCS	1	MEturquoise
ENSG00000005020	SKAP2	1	MEturquoise
ENSG00000005022	SLC25A5	1	MEturquoise
ENSG00000005059	MCUB	1	MEturquoise
ENSG00000005100	DHX33	1	MEturquoise
ENSG00000005108	THSD7A	1	MEturquoise
ENSG00000005175	RPAP3	1	MEturquoise
ENSG00000005187	ACSM3	1	MEturquoise
ENSG00000005249	PRKAR2B	1	MEturquoise
ENSG00000005302	MSL3	1	MEturquoise
ENSG00000005381	MPO	1	MEturquoise
ENSG00000005421	PON1	1	MEturquoise
ENSG00000005469	CROT	1	MEturquoise
ENSG00000005471	ABCB4	1	MEturquoise
ENSG00000005483	KMT2E	1	MEturquoise
ENSG00000005700	IBTK	1	MEturquoise
ENSG00000005810	MYCBP2	1	MEturquoise
ENSG00000005812	FBXL3	1	MEturquoise
ENSG00000005889	ZFX	1	MEturquoise
ENSG00000005893	LAMP2	1	MEturquoise
ENSG00000005981	ASB4	1	MEturquoise
ENSG00000006042	TMEM98	1	MEturquoise
ENSG00000006451	RALA	1	MEturquoise
ENSG00000006459	KDM7A	1	MEturquoise
ENSG00000006468	ETV1	1	MEturquoise
ENSG00000006530	AGK	1	MEturquoise
ENSG00000006576	PHTF2	1	MEturquoise
ENSG00000006634	DBF4	1	MEturquoise
ENSG00000006715	VPS41	1	MEturquoise
ENSG00000006747	SCIN	1	MEturquoise
ENSG00000006837	CDKL3	1	MEturquoise
ENSG00000007001	UPP2	1	MEturquoise
ENSG00000007168	PAFAH1B1	1	MEturquoise
ENSG00000007350	TKTL1	1	MEturquoise
ENSG00000007402	CACNA2D2	1	MEturquoise
ENSG00000007908	SELE	1	MEturquoise
ENSG00000007933	FMO3	1	MEturquoise
ENSG00000007944	MYLIP	1	MEturquoise
ENSG00000008083	JARID2	1	MEturquoise
ENSG00000008086	CDKL5	1	MEturquoise
ENSG00000008118	CAMK1G	1	MEturquoise
ENSG00000008277	ADAM22	1	MEturquoise
ENSG00000008282	SYPL1	1	MEturquoise
ENSG00000008294	SPAG9	1	MEturquoise
ENSG00000008311	AASS	1	MEturquoise
ENSG00000008394	MGST1	1	MEturquoise
ENSG00000008405	CRY1	1	MEturquoise
ENSG00000008952	SEC62	1	MEturquoise
ENSG00000009307	CSDE1	1	MEturquoise
ENSG00000009335	UBE3C	1	MEturquoise
ENSG00000009413	REV3L	1	MEturquoise
ENSG00000009780	FAM76A	1	MEturquoise
ENSG00000009844	VTA1	1	MEturquoise
ENSG00000010017	RANBP9	1	MEturquoise
ENSG00000010072	SPRTN	1	MEturquoise
ENSG00000010244	ZNF207	1	MEturquoise
ENSG00000010270	STARD3NL	1	MEturquoise
ENSG00000010404	IDS	1	MEturquoise
ENSG00000010610	CD4	1	MEturquoise
ENSG00000010932	FMO1	1	MEturquoise
ENSG00000011114	BTBD7	1	MEturquoise
ENSG00000011198	ABHD5	1	MEturquoise
ENSG00000011201	ANOS1	1	MEturquoise
ENSG00000011258	MBTD1	1	MEturquoise
ENSG00000011260	UTP18	1	MEturquoise
ENSG00000011295	TTC19	1	MEturquoise
ENSG00000011405	PIK3C2A	1	MEturquoise
ENSG00000011426	ANLN	1	MEturquoise
ENSG00000011523	CEP68	1	MEturquoise
ENSG00000011566	MAP4K3	1	MEturquoise
ENSG00000012048	BRCA1	1	MEturquoise
ENSG00000012124	CD22	1	MEturquoise
ENSG00000012174	MBTPS2	1	MEturquoise
ENSG00000012504	NR1H4	1	MEturquoise
ENSG00000012660	ELOVL5	1	MEturquoise
ENSG00000012817	KDM5D	1	MEturquoise
ENSG00000012963	UBR7	1	MEturquoise
ENSG00000012983	MAP4K5	1	MEturquoise
ENSG00000013293	SLC7A14	1	MEturquoise
ENSG00000013375	PGM3	1	MEturquoise
ENSG00000013561	RNF14	1	MEturquoise
ENSG00000014123	UFL1	1	MEturquoise
ENSG00000014257	ACP3	1	MEturquoise
ENSG00000014641	MDH1	1	MEturquoise
ENSG00000014824	SLC30A9	1	MEturquoise
ENSG00000014919	COX15	1	MEturquoise
ENSG00000015153	YAF2	1	MEturquoise
ENSG00000015171	ZMYND11	1	MEturquoise
ENSG00000015479	MATR3	1	MEturquoise
ENSG00000017260	ATP2C1	1	MEturquoise
ENSG00000017427	IGF1	1	MEturquoise
ENSG00000018236	CNTN1	1	MEturquoise
ENSG00000018408	WWTR1	1	MEturquoise
ENSG00000018510	AGPS	1	MEturquoise
ENSG00000018610	STEEP1	1	MEturquoise
ENSG00000019549	SNAI2	1	MEturquoise
ENSG00000019991	HGF	1	MEturquoise
