	f2_inv_cv	f3_median_degs	f4_pass_lower_thr	score
sw_graphs_8_24_03_1267	0.6556456142227166	0.9555555555555556	1.0	0.6265058091461515
sw_graphs_8_24_03_267	0.6398034174684075	0.9555555555555556	1.0	0.6113677100253672
sw_graphs_8_24_03_767	0.6354392180315134	0.9555555555555556	1.0	0.6071974750078906
sw_graphs_8_24_03_1268	0.6023001692992782	1.0	1.0	0.6023001692992782
sw_graphs_8_24_03_1257	0.6500837108271911	0.9259259259259259	1.0	0.6019293618770287
sw_graphs_8_24_03_268	0.5887320991364385	1.0	1.0	0.5887320991364385
sw_graphs_8_24_03_257	0.6344131359468956	0.9259259259259259	1.0	0.5874195703211996
sw_graphs_8_24_03_757	0.6301279965136055	0.9259259259259259	1.0	0.5834518486237088
sw_graphs_8_24_03_768	0.5768533783782795	1.0	1.0	0.5768533783782795
sw_graphs_8_24_03_1258	0.5973432787925338	0.9629629629629629	1.0	0.5752194536520695
sw_graphs_8_24_03_258	0.5839049776075771	0.9629629629629629	1.0	0.5622788673258149
sw_graphs_8_24_03_367	0.6216555728944266	0.8925925925925926	1.0	0.5548851595094697
sw_graphs_8_24_03_867	0.6176868811598053	0.8925925925925926	1.0	0.5513427346648633
sw_graphs_8_24_03_758	0.5721062054385864	0.9629629629629629	1.0	0.5509170867186387
sw_graphs_8_24_03_357	0.6164550412477066	0.8925925925925926	1.0	0.550243203484064
sw_graphs_8_24_03_857	0.6125613755218338	0.8925925925925926	1.0	0.5467677462991183
sw_graphs_8_24_03_1367	0.6266609920597167	0.8666666666666667	1.0	0.5431061931184211
sw_graphs_8_24_03_1357	0.6214125254796377	0.8666666666666667	1.0	0.5385575220823526
sw_graphs_8_24_03_368	0.5721591340249933	0.8925925925925926	1.0	0.5107050048149014
sw_graphs_8_24_03_358	0.5674793484137755	0.8925925925925926	1.0	0.506527862843407
sw_graphs_8_24_03_868	0.5605913916979149	0.8925925925925926	1.0	0.5003797237007315
sw_graphs_8_24_03_1368	0.5755363290352116	0.8666666666666667	1.0	0.49879815183051673
sw_graphs_8_24_03_858	0.5559831368611611	0.8925925925925926	1.0	0.496266429568666
sw_graphs_8_24_03_1358	0.5708225013280972	0.8666666666666667	1.0	0.49471283448435094
sw_graphs_8_24_03_1264	0.6612586082785968	0.8518518518518519	0.8571428571428572	0.4828237457272294
sw_graphs_8_24_03_764	0.645985575032259	0.8518518518518519	0.8571428571428572	0.4716720071664113
sw_graphs_8_24_03_264	0.6450370715327308	0.8518518518518519	0.8571428571428572	0.4709794490556448
sw_graphs_8_24_03_1278	0.5090075517393585	0.9111111111111111	1.0	0.4637624360291933
sw_graphs_8_24_03_1254	0.6556892303816044	0.8222222222222222	0.8571428571428572	0.46210479093560697
sw_graphs_8_24_03_278	0.49920465726031815	0.9111111111111111	1.0	0.45483090994828984
sw_graphs_8_24_03_754	0.6406798958108256	0.8222222222222222	0.8571428571428572	0.4515267837142961
sw_graphs_8_24_03_254	0.639643378297049	0.8222222222222222	0.8571428571428572	0.4507962856569679
sw_graphs_8_24_03_1467	0.6390719709580341	0.8185185185185185	0.8571428571428572	0.44836477962452553
sw_graphs_8_24_03_1277	0.5114175752558116	0.8740740740740741	1.0	0.4470168435569316
sw_graphs_8_24_03_1457	0.6336959386718617	0.8185185185185185	0.8571428571428572	0.44459302363962366
sw_graphs_8_24_03_778	0.4837836454447996	0.9111111111111111	1.0	0.4407806547385952
sw_graphs_8_24_03_277	0.5011196629615943	0.8740740740740741	1.0	0.4380157054034676
sw_graphs_8_24_03_864	0.6285221507021438	0.8	0.8571428571428572	0.4309866176243272
sw_graphs_8_24_03_364	0.6270693879861713	0.8	0.8571428571428572	0.42999043747623183
sw_graphs_8_24_03_1468	0.5858636189637411	0.8555555555555555	0.8571428571428572	0.42963332057341014
sw_graphs_8_24_03_1567	0.6243256301318103	0.8	0.8571428571428572	0.4281090035189557
sw_graphs_8_24_03_854	0.6234130045228009	0.8	0.8571428571428572	0.42748320310134924
sw_graphs_8_24_03_354	0.6218699646795082	0.8	0.8571428571428572	0.4264251186373771
sw_graphs_8_24_03_777	0.48627110293673037	0.8740740740740741	1.0	0.42503696404840136
sw_graphs_8_24_03_1557	0.6191016460643344	0.8	0.8571428571428572	0.4245268430155436
sw_graphs_8_24_03_1364	0.6327947508613111	0.7777777777777778	0.8571428571428572	0.42186316724087414
sw_graphs_8_24_03_377	0.4877310514974665	0.8592592592592593	1.0	0.4190874220274527
sw_graphs_8_24_03_1354	0.6275466983438901	0.7777777777777778	0.8571428571428572	0.41836446556259343
sw_graphs_8_24_03_378	0.48629274779315557	0.8592592592592593	1.0	0.41785154625189663
sw_graphs_8_24_03_1458	0.581054231659095	0.825925925925926	0.8571428571428572	0.4113495036824705
sw_graphs_8_24_03_1377	0.4896346743539434	0.837037037037037	1.0	0.4098423570518193
sw_graphs_8_24_03_1263	0.6407264370314687	0.7444444444444445	0.8571428571428572	0.40884448839150866
sw_graphs_8_24_03_1378	0.4879510163585404	0.837037037037037	1.0	0.4084330729519634
sw_graphs_8_24_03_1262	0.617434160959713	0.7703703703703704	0.8571428571428572	0.4077025570781597
sw_graphs_8_24_03_877	0.4731144767773483	0.8592592592592593	1.0	0.4065279948605363
sw_graphs_8_24_03_1261	0.6362468544977684	0.7444444444444445	0.8571428571428572	0.4059860881080999
sw_graphs_8_24_03_878	0.47112322470320817	0.8592592592592593	1.0	0.4048169930783122
sw_graphs_8_24_03_262	0.6029087874474869	0.7703703703703704	0.8571428571428572	0.39811119933040406
sw_graphs_8_24_03_467	0.6048608127319699	0.7666666666666667	0.8571428571428572	0.3974799626524374
sw_graphs_8_24_03_967	0.6006851229814448	0.7666666666666667	0.8571428571428572	0.39473593795923523
sw_graphs_8_24_03_457	0.5998232828855429	0.7666666666666667	0.8571428571428572	0.3941695858962139
sw_graphs_8_24_03_762	0.5959697885069555	0.7703703703703704	0.8571428571428572	0.3935292571728468
sw_graphs_8_24_03_1568	0.5732760221024904	0.8	0.8571428571428572	0.39310355801313634
sw_graphs_8_24_03_1237	0.6480595592508456	0.7074074074074074	0.8571428571428572	0.3929503994187667
sw_graphs_8_24_03_761	0.6277752457907302	0.7296296296296296	0.8571428571428572	0.39260864578023447
