"median"	"mean"	"sd"	"cv"	"min_value"	"max_value"	"pass_lower_thr"	"N"
"sw_graphs_6_15_02_1"	42.5	100.3125	142.029911755705	1.41587450971419	11	483	3	17
"sw_graphs_6_15_02_2"	48	101.4375	141.432654763083	1.39428371916779	11	483	3	17
"sw_graphs_6_15_02_3"	43	100.533333333333	146.252651583614	1.45476775447892	11	483	2	16
"sw_graphs_6_15_02_4"	42	99.1333333333333	147.070375120536	1.48356128231879	11	483	3	16
"sw_graphs_6_15_02_5"	43	97.3333333333333	147.045506399825	1.51074150410779	11	483	2	16
"sw_graphs_6_15_02_6"	43	98.5333333333333	146.480065277872	1.48660418076324	11	483	2	16
"sw_graphs_6_15_02_7"	43	97.7333333333333	146.944822815848	1.50352820070786	11	483	2	16
"sw_graphs_6_15_02_8"	43	98.8666666666667	146.367866627045	1.48045718098832	11	483	2	16
"sw_graphs_6_15_02_9"	41	98.4	147.237805704145	1.49631916366001	11	483	2	16
"sw_graphs_6_15_02_10"	42.5	102.714285714286	151.559294601881	1.47554250655517	11	483	2	15
"sw_graphs_6_15_02_11"	41	98.2666666666667	147.213385778539	1.49810094075854	11	483	2	16
"sw_graphs_6_15_02_12"	43	100.2	146.502657216272	1.46210236742787	11	483	2	16
"sw_graphs_6_15_02_13"	41	99.8	146.943234909656	1.47237710330316	11	483	3	16
"sw_graphs_6_15_02_14"	43	101	146.328885928729	1.44880085077949	11	483	3	16
"sw_graphs_6_15_02_15"	42.5	80.3125	101.816644840943	1.2677558890701	11	427	3	17
"sw_graphs_6_15_02_16"	44.5	81.4375	101.219213426437	1.24290668827552	11	427	3	17
"sw_graphs_6_15_02_17"	43	79.2	104.226538983943	1.31599165383767	11	427	2	16
"sw_graphs_6_15_02_18"	42	77.8	105.066781484105	1.35047276971857	11	427	3	16
"sw_graphs_6_15_02_19"	43	76	104.63951725533	1.37683575335961	11	427	2	16
"sw_graphs_6_15_02_20"	43	77.2	104.107224944834	1.34853918322324	11	427	2	16
"sw_graphs_6_15_02_21"	43	76.4	104.585440122965	1.36891937333724	11	427	2	16
"sw_graphs_6_15_02_22"	43	77.5333333333333	104.022570810835	1.3416496665198	11	427	2	16
"sw_graphs_6_15_02_23"	41	77.0666666666667	105.141718420335	1.3642956542431	11	427	2	16
"sw_graphs_6_15_02_24"	42.5	79.8571428571429	108.18350303845	1.35471291819168	11	427	2	15
"sw_graphs_6_15_02_25"	41	76.9333333333333	105.078519394286	1.365838640307	11	427	2	16
"sw_graphs_6_15_02_26"	43	78.8666666666667	104.50418082318	1.32507414399636	11	427	2	16
"sw_graphs_6_15_02_27"	41	78.4666666666667	105.033917424439	1.33858008612284	11	427	3	16
"sw_graphs_6_15_02_28"	43	79.6666666666667	104.435671701816	1.31090801299351	11	427	3	16
"sw_graphs_8_17_025_1"	50	98.6428571428571	132.968826388777	1.34798230951693	4	478	4	15
"sw_graphs_8_17_025_2"	44	113.928571428571	157.11018391597	1.37902355788312	4	478	4	15
"sw_graphs_8_17_025_3"	50	106.928571428571	139.978824929242	1.3090872070871	4	478	4	15
"sw_graphs_8_17_025_4"	50	107.428571428571	142.064835840603	1.3224120357503	4	478	4	15
"sw_graphs_8_17_025_5"	50	122.571428571429	166.430726769989	1.3578264421794	4	484	4	15
"sw_graphs_8_17_025_6"	50	131.571428571429	196.283826790036	1.49184233173751	4	642	4	15
"sw_graphs_8_17_025_7"	48	111.785714285714	151.440863589835	1.35474254968543	4	478	4	15
"sw_graphs_8_17_025_8"	54.5	98.9285714285714	144.148675537934	1.4570985252932	4	556	4	15
"sw_graphs_8_17_025_9"	48	114.214285714286	166.650338027965	1.45910239674266	4	556	4	15
"sw_graphs_8_17_025_10"	55	107.214285714286	150.622390087279	1.4048723925529	4	556	4	15
"sw_graphs_8_17_025_11"	55	107.714285714286	152.56193121858	1.41635745163138	4	556	4	15
"sw_graphs_8_17_025_12"	55	122.857142857143	175.449689103724	1.42807886479775	4	556	4	15
"sw_graphs_8_17_025_13"	55	131.857142857143	203.973549244035	1.54692832579442	4	642	4	15
"sw_graphs_8_17_025_14"	52	112.071428571429	161.320733698056	1.43944567990617	4	556	4	15
"sw_graphs_8_17_025_15"	54.5	72.5714285714286	65.4037334687275	0.901232547797427	4	205	4	15
"sw_graphs_8_17_025_16"	48	87.8571428571429	110.176681284658	1.25404352681724	4	417	4	15
"sw_graphs_8_17_025_17"	55	80.8571428571429	81.5860632356147	1.00901491634152	4	287	4	15
"sw_graphs_8_17_025_18"	55	81.3571428571429	85.2801781846684	1.04821992500909	4	305	4	15
