nes_SW2	fdr_SW2	nes_SW3	fdr_SW3	nes_SW4	fdr_SW4	nes_SW5	fdr_SW5	nes_SW6	fdr_SW6	nes_SW7	fdr_SW7	nes_SW8	fdr_SW8	nes_SW9	fdr_SW9	nes_SW10	fdr_SW10	nes_SW11	fdr_SW11	nes_SW12	fdr_SW12	nes_SW13	fdr_SW13
ABL1	0.403070468873396	0.832170351989577	0.122979712262964	0.986396694810996	-0.117446021821071	0.960288183659628	0.957464305986432	0.780978858149289	-0.670319381892289	0.862634758097474	-0.16991817718838	0.948950528955325	1.15715409931775	0.563793786159678	1.68722711697185	0.636505308578484	-0.319831193200781	0.984160960676065	0.045913811981584	1	2.19831178059267	0.3129384350941	-0.603775697642811	0.805597144606506
ADNP	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ADNP2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AEBP1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AEBP2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AHR	3.05637545525659	0.0179535578044139	-0.298555070507811	0.986396694810996	1.5005967437479	0.469192917913482	-0.979732053623427	0.772261196699842	-1.2361739986299	0.667610946339791	1.47972754878939	0.673712815173861	0.590182891327651	0.777364707833388	0.421126649157648	0.928960694198413	1.32313001067886	0.74631859492576	-0.634393388712911	1	2.84523598685116	0.109823702306327	-0.226644636222877	0.957518849660276
AHRR	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AIP	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AIRE	1.78041188515076	0.231443580589147	-0.665983637572792	0.902873806622064	1.72408108006797	0.401084755182963	-2.01928587910242	0.374253522196519	-0.203380438610618	0.990029086590788	-0.0644499514121034	0.978873656384947	1.75545529817766	0.324036608569962	-0.240869387229415	0.957319084932011	-0.706465981885296	0.952175510492023	0.815973434655473	1	0.466800986830091	0.888138272409105	0.125946347049881	0.97772095287628
AKNA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ALX1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ALX3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ALX4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ANKRD1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AP1	7.14275643760224	7.54037093758271e-11	0.539486824386424	0.933110467032329	3.78185021837781	0.017963974281283	2.11788662704764	0.374230667089732	-0.391217412229592	0.971869934375657	0.962256040974056	0.801034799719232	4.27915424883111	0.00180413301800826	-1.52320654545003	0.671094553345144	2.05461287631642	0.471250792848392	-0.315575705839133	1	3.72148243367853	0.0163255263563447	4.67353906840118	0.00015529344284667
APBB1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
