p.value	odds_ratio	overlap	adj_p.value	genes
Formation of a pool of free 40S subunits R-HSA-72689	6.19772379186219e-57	35.9227096019966	88/102	1.64487589436023e-53	RPL28;RPS15;RPL27;RPS7;RPL26;RPL8;RPL31;FAU;RPL18A;RPS21;RPS9;RPS5;RPL36;RPL13;RPL39;EIF3F;RPL23A;RPL3;RPL37;EIF3H;RPLP1;RPL18;RPL12;EIF3L;RPL7A;RPL22L1;RPS13;RPS20;RPS26;RPL6;RPS16;RPLP0;RPL35;RPS18;RPS23;RPS8;RPL30;RPL27A;RPS25;RPS19;RPS10;RPL41;RPL4;RPS11;RPS27A;RPL23;EIF3D;RPS14;EIF3K;RPL11;EIF3I;RPS2;RPL17;RPL32;RPS4X;EIF3G;RPL35A;RPL29;RPL7;RPL14;RPS15A;RPL22;RPL37A;RPL38;RPS3;RPS27L;RPL36A;RPSA;RPS6;RPL15;RPL9;RPS3A;RPL26L1;RPLP2;RPS27;RPL24;RPS29;UBA52;RPL19;RPL10A;RPS12;RPL10;RPL34;RPL21;RPL13A;RPS17;EIF3M;RPS24
SRP-dependent cotranslational protein targeting to membrane R-HSA-1799339	2.3062598025863e-56	26.6590105071233	93/113	3.06040675803202e-53	RPL28;RPS15;RPL27;RPN1;RPS24;SEC11A;RPS7;RPL26;RPL8;FAU;RPL18A;RPS21;RPS9;RPS5;RPL36;RPL13;RPL39;RPL23A;RPL3;RPL37;DDOST;SPCS3;RPLP1;RPL18;RPL12;SEC61B;RPL7A;SPCS2;RPL22L1;RPS13;RPS20;RPN2;RPS26;RPL6;RPS16;RPLP0;RPL35;RPS18;RPS23;RPS8;RPL30;RPL27A;RPS25;RPS19;RPS10;RPL41;SEC11C;RPL4;RPS11;RPS27A;RPL23;SRPRB;SSR2;RPS14;RPL11;RPS2;RPL32;RPL17;RPS4X;RPL35A;RPL29;RPL7;RPL14;RPS15A;RPL22;RPL37A;RPL38;RPS3;RPS27L;RPL36A;SRP14;RPSA;SEC61G;RPS6;RPL15;RPL9;RPS3A;RPL26L1;RPLP2;RPS27;RPL24;RPS29;UBA52;RPL19;RPL10A;RPS12;RPL10;RPL34;RPL21;TRAM1;RPL13A;RPS17;RPL31
Peptide chain elongation R-HSA-156902	1.00211154201754e-55	51.3040239202039	81/90	8.8653467750485e-53	RPL28;RPS15;RPL27;RPS7;RPL26;RPL8;FAU;RPL18A;RPS21;RPS9;RPS5;RPL36;RPL13;RPL39;RPL23A;RPL3;RPL37;RPLP1;RPL18;RPL12;RPL7A;EEF1A1;RPL22L1;RPS13;RPS20;RPS26;RPL6;RPS16;RPLP0;RPL35;RPS18;RPS23;RPS8;RPL30;RPL27A;RPS25;RPS19;RPS10;RPL41;RPL4;RPS11;RPS27A;RPL23;RPS14;RPL11;RPS2;RPL32;RPL17;RPS4X;RPL35A;RPL29;RPL7;RPL14;RPS15A;RPL22;RPL37A;RPL38;RPS3;RPS27L;RPL36A;RPSA;RPS6;RPL15;RPL9;RPS3A;RPL26L1;RPLP2;RPS27;RPL24;RPS29;UBA52;RPL19;RPL10A;RPS12;RPL10;RPL34;RPL21;RPL13A;RPS17;RPL31;RPS24
Eukaryotic Translation Elongation R-HSA-156842	6.26669486766676e-54	38.9896338809521	82/94	2.87247275867312e-51	RPL28;RPS15;RPL27;RPS7;RPL26;RPL8;FAU;RPL18A;RPS21;RPS9;RPS5;RPL36;RPL13;RPL39;RPL23A;RPL3;RPL37;RPLP1;RPL18;RPL12;RPL7A;EEF1A1;RPL22L1;RPS13;RPS20;RPS26;RPL6;RPS16;RPLP0;RPL35;RPS18;RPS23;RPS8;RPL30;RPL27A;RPS25;RPS19;RPS10;RPL41;RPL4;RPS11;RPS27A;EEF1A2;RPL23;RPS14;RPL11;RPS2;RPL32;RPL17;RPS4X;RPL35A;RPL29;RPL7;RPL14;RPS15A;RPL22;RPL37A;RPL38;RPS3;RPS27L;RPL36A;RPSA;RPS6;RPL15;RPL9;RPS3A;RPL26L1;RPLP2;RPS27;RPL24;RPS29;UBA52;RPL19;RPL10A;RPS12;RPL10;RPL34;RPL21;RPL13A;RPS17;RPL31;RPS24
Response of EIF2AK4 (GCN2) to amino acid deficiency R-HSA-9633012	6.49390977846222e-54	30.7001434603148	86/102	2.87247275867312e-51	RPL28;RPS15;RPL27;RPS7;RPL26;RPL8;FAU;RPL18A;RPS21;RPS9;RPS5;RPL36;RPL13;RPL39;RPL23A;RPL3;RPL37;RPLP1;RPL18;RPL12;RPL7A;RPL22L1;EIF2S2;RPS13;ATF3;RPS20;CEBPB;RPS26;RPL6;RPS16;RPLP0;RPL35;RPS18;RPS23;RPS8;ASNS;RPL30;RPL27A;RPS25;RPS19;RPS10;RPL41;RPL4;RPS11;RPS27A;RPL23;ATF4;RPS14;RPL11;RPS2;RPL32;RPL17;RPS4X;RPL35A;RPL29;RPL7;RPL14;RPS15A;ATF2;RPL22;RPL37A;RPL38;RPS3;RPS27L;RPL36A;RPSA;RPS6;RPL15;RPL9;RPS3A;RPL26L1;RPLP2;RPS27;RPL24;RPS29;UBA52;RPL19;RPL10A;RPS12;RPL10;RPL34;RPL21;RPL13A;RPS17;RPL31;RPS24
Viral mRNA Translation R-HSA-192823	4.63677984997319e-54	45.5803488499947	80/90	2.87247275867312e-51	RPL28;RPS15;RPL27;RPS7;RPL26;RPL8;FAU;RPL18A;RPS21;RPS9;RPS5;RPL36;RPL13;RPL39;RPL23A;RPL3;RPL37;RPLP1;RPL18;RPL12;RPL7A;RPL22L1;RPS13;RPS20;RPS26;RPL6;RPS16;RPLP0;RPL35;RPS18;RPS23;RPS8;RPL30;RPL27A;RPS25;RPS19;RPS10;RPL41;RPL4;RPS11;RPS27A;RPL23;RPS14;RPL11;RPS2;RPL17;RPL32;RPS4X;RPL35A;RPL29;RPL7;RPL14;RPS15A;RPL22;RPL37A;RPL38;RPS3;RPS27L;RPL36A;RPSA;RPS6;RPL15;RPL9;RPS3A;RPL26L1;RPLP2;RPS27;RPL24;RPS29;UBA52;RPL19;RPL10A;RPS12;RPL10;RPL34;RPL21;RPL13A;RPS17;RPL31;RPS24
Cellular responses to stress R-HSA-2262752	1.6177710454621e-52	3.53329824934835	297/818	6.13366336379488e-50	RPL28;ID1;H2BC21;CTDSP2;SIN3A;H3C6;MDM4;H3C4;PGR;CCL2;VCP;HSPA8;EP300;AKT1;CYCS;H2BC15;SEC13;RPS17;RPS5;MEF2C;HELZ2;NCF4;H3C14;RB1;ARNT;RPL23A;SERPINH1;VEGFA;RPL37;H3C10;RPLP1;TXNIP;COX16;RPS13;RPS20;AAAS;H2BC14;CEBPB;RPS25;ATP6V1E1;RPS10;ARFGAP1;CAPZA1;NBN;NOTCH1;ATF6B;FOS;ATP6V1A;SRPRB;COX6A1;YIF1A;BAG1;MEF2D;CREB1;RPS2;TP53;RPL32;RPL14;TKT;RPL22;PSMA5;MDM2;LAMTOR2;H2BC17;RPS6;RPL15;RPL9;MBTPS2;H3-4;E2F1;RPL26L1;RPLP2;LAMTOR3;LY96;ETS1;ATP6V0B;MBTPS1;H4C9;HSPA2;RPL19;ANAPC16;RPL10;PSME1;RPL21;RPL13A;H2BC8;RPL31;RPS24;BACH1;RPL27;RPS15;DCTN1;EXTL3;LAMTOR1;RPL26;H3C2;CLOCK;RBX1;NFKB1;RPS21;HSPA9;HIF1A;DNAJA4;NFYB;CXCL8;H2BC13;RPL13;CRYAB;DNAJB11;RPL3;STAT3;COX4I1;TUBA1A;RPL7A;PRKAA2;HSP90AB1;TALDO1;KLHDC3;RPS26;COX7A2L;MYDGF;RPS16;RPLP0;MAPK8;NUP54;PSMB8;PRDX3;RPL27A;JUN;RPS27A;ABCC3;NR1D1;XBP1;RPL17;RPS4X;HIKESHI;ATF2;TUBA1B;BCL2;ATM;RPL38;COX8A;MAP2K7;RPL36A;BTRC;H3C3;NPRL2;ATP6V1C1;ATP6V1F;HDAC3;ATP6V0D1;EHMT2;RPL24;BRCA1;NPAS2;TNFRSF21;UBA52;RPS12;GCLC;HSPA6;NCOA1;PSMA1;DNAJB1;RPS6KA1;RPS7;RPL8;RPL18A;RPS9;NCOA2;GRB10;GPX1;SKP1;DNAJA1;CREB3L3;COX5A;MAPK7;E2F3;PSMA4;CUL7;RPA3;RXRA;COX5B;HDGF;H3C7;AKT2;PSME2;RPL18;PSMD10;RPL12;EEF1A1;MYC;EIF2S2;SIRT1;ATF3;SP1;PSMC4;GSK3A;PHC3;NR3C1;RPS23;H2AC6;ASNS;RPL30;PSMC2;PRDX6;NLRP3;RPL41;RPS11;NFYC;EXTL2;RPL23;ATF4;H2AC8;LAMTOR5;RPS14;NFE2L2;H2AX;RPL29;SMARCD3;CREB3;RPS15A;UBE2D2;DNAJB9;DYNLL1;RPS3A;NDUFA4;RPS27;NCF2;H3C11;RPL10A;HSPA4;CCNA2;CAMK2D;CDC26;SYVN1;H2BC12;FAU;RAD50;RPL36;H2BC3;TFDP1;RPL39;TUBB4B;CALR;PSMA6;H3C1;H2AC7;RPS6KA3;RPL22L1;MAFK;PSMB3;ATP6V0E1;MAPK14;RPL6;ST13;DNAJC7;RPL35;PREB;RPS18;ATF6;PPARA;PSMB9;RPS8;HSF1;PRDX1;PDIA6;RPS19;GCLM;MAPK3;RPL4;ATP6V1G1;NCOR1;KAT5;H3C12;NRIP1;RPL11;PSMD6;MAPK1;NCOR2;RPL35A;RPL7;TLR4;RPL37A;RPS3;RPS27L;RORA;RPSA;PSMD8;GSK3B;E2F2;RPS29;PSMB10;RPL34;RELA;ETS2;PSMC5;MAPK10
Eukaryotic Translation Termination R-HSA-72764	2.25879206745534e-52	35.4642415445731	81/94	7.49354268378309e-50	RPL28;RPS15;RPL27;RPS7;RPL26;RPL8;FAU;RPL18A;RPS21;RPS9;RPS5;RPL36;RPL13;RPL39;RPL23A;RPL3;RPL37;RPLP1;RPL18;RPL12;RPL7A;RPL22L1;RPS13;RPS20;RPS26;RPL6;RPS16;RPLP0;RPL35;RPS18;RPS23;RPS8;RPL30;RPL27A;RPS25;RPS19;RPS10;RPL41;RPL4;RPS11;RPS27A;RPL23;RPS14;RPL11;RPS2;RPL17;RPL32;RPS4X;RPL35A;RPL29;RPL7;RPL14;RPS15A;RPL22;RPL37A;RPL38;RPS3;RPS27L;RPL36A;RPSA;RPS6;RPL15;RPL9;RPS3A;TRMT112;RPL26L1;RPLP2;RPS27;RPL24;RPS29;UBA52;RPL19;RPL10A;RPS12;RPL10;RPL34;RPL21;RPL13A;RPS17;RPL31;RPS24
L13a-mediated translational silencing of Ceruloplasmin expression R-HSA-156827	1.71431206894933e-51	22.1198744862835	89/112	5.0553158122128e-49	RPL28;RPS15;RPL27;RPS7;RPL26;RPL8;RPL31;FAU;RPL18A;RPS21;RPS9;RPS5;RPL36;RPL13;RPL39;EIF3F;RPL23A;RPL3;RPL37;EIF3H;RPLP1;RPL18;RPL12;EIF3L;RPL7A;RPL22L1;EIF2S2;RPS13;RPS20;RPS26;RPL6;RPS16;RPLP0;RPL35;RPS18;RPS23;RPS8;RPL30;RPL27A;RPS25;RPS19;RPS10;RPL41;RPL4;RPS11;RPS27A;RPL23;EIF3D;RPS14;EIF3K;RPL11;EIF3I;RPS2;RPL17;RPL32;RPS4X;EIF3G;RPL35A;RPL29;RPL7;RPL14;RPS15A;RPL22;RPL37A;RPL38;RPS3;RPS27L;RPL36A;RPSA;RPS6;RPL15;RPL9;RPS3A;RPL26L1;RPLP2;RPS27;RPL24;RPS29;UBA52;RPL19;RPL10A;RPS12;RPL10;RPL34;RPL21;RPL13A;RPS17;EIF3M;RPS24
GTP hydrolysis and joining of the 60S ribosomal subunit R-HSA-72706	6.88456342489379e-51	21.194266499453	89/113	1.65060967292735e-48	RPL28;RPS15;RPL27;RPS7;RPL26;RPL8;RPL31;FAU;RPL18A;RPS21;RPS9;RPS5;RPL36;RPL13;RPL39;EIF3F;RPL23A;RPL3;RPL37;EIF3H;RPLP1;RPL18;RPL12;EIF3L;RPL7A;RPL22L1;EIF2S2;RPS13;RPS20;RPS26;RPL6;RPS16;RPLP0;RPL35;RPS18;RPS23;RPS8;RPL30;RPL27A;RPS25;RPS19;RPS10;RPL41;RPL4;RPS11;RPS27A;RPL23;EIF3D;RPS14;EIF3K;RPL11;EIF3I;RPS2;RPL17;RPL32;RPS4X;EIF3G;RPL35A;RPL29;RPL7;RPL14;RPS15A;RPL22;RPL37A;RPL38;RPS3;RPS27L;RPL36A;RPSA;RPS6;RPL15;RPL9;RPS3A;RPL26L1;RPLP2;RPS27;RPL24;RPS29;UBA52;RPL19;RPL10A;RPS12;RPL10;RPL34;RPL21;RPL13A;RPS17;EIF3M;RPS24
