,gene_symbol,entrez_id
0,IL20RB,53833
1,IL20RA,53832
2,IL10RB,3588
3,NR4A1,3164
4,MEFV,4210
5,RPS6KB2,6199
6,VCAM1,7412
7,BST2,684
8,TCF4,6925
9,FLI1,2313
10,ICAM1,3383
11,IRF8,3394
12,IRF1,3659
13,IL22RA2,116379
14,IFNL3,282617
15,IFNL2,282616
16,IFNL1,282618
17,RNF111,54778
18,IL9,3578
19,IL13RA1,3597
20,NEDD4L,23327
21,IL19,29949
22,IL26,55801
23,IL24,11009
24,IL20,50604
25,PPM1A,5494
26,IL21,59067
27,OSM,5008
28,IL23R,149233
29,IRF9,10379
30,IL21R,50615
31,IL9R,3581
32,IL13,3596
33,LIF,3976
34,TP53BP2,7159
35,PSTPIP1,9051
36,TP73,7161
37,TRIM28,10155
38,IL4,3565
39,NMI,9111
40,IL22,50616
41,ATF3,467
42,PTPN1,5770
43,GSK3A,2931
44,MCL1,4170
45,IL22RA1,58985
46,INHBB,3625
47,INHBA,3624
48,IL4R,3566
49,PIM1,5292
50,FASLG,356
51,BCL6,604
52,ZFYVE9,9372
53,TRIM33,51592
54,STUB1,10273
55,PPP1CB,5500
56,MDM4,4194
57,IL23A,51561
58,IL12B,3593
59,PRKCI,5584
60,RICTOR,253260
61,TRIM25,7706
62,RNF135,84282
63,FLT4,2324
64,FCER2,2208
65,PYCARD,29108
66,OPRM1,4988
67,SPI1,6688
68,PPP1R15A,23645
69,PTPN2,5771
70,ID2,3398
71,CEBPB,1051
72,PTPN18,26469
73,IL12A,3592
74,FOXH1,8928
75,LAMA5,3911
76,PRKRA,8575
77,PTCH2,8643
78,HHIP,64399
79,SOCS1,8651
80,ATF4,468
81,IL10,3586
82,ID3,3399
83,ID1,3397
84,RCOR1,23186
85,CASP1,834
86,MTMR4,9110
87,MYC,4609
88,CTSD,1509
89,IL10RA,3587
90,STING1,340061
91,TSC2,7249
92,PPP1CA,5499
93,NR1I2,8856
94,IFIH1,64135
95,VDR,7421
96,IRS1,3667
97,ICOS,29851
98,IL1B,3553
99,IL1A,3552
100,IL18,3606
101,POMC,5443
102,LCN2,3934
103,JAK3,3718
104,IL2RG,3561
105,IFNGR2,3460
106,IFNGR1,3459
107,IFNB1,3456
108,IFNAR2,3455
109,IFNAR1,3454
110,IFNA8,3445
111,IFNA7,3444
112,IFNA6,3443
113,IFNA5,3442
114,IFNA4,3441
115,IFNA2,3440
116,IFNA21,3452
117,IFNA1,3439
118,IFNA17,3451
119,IFNA16,3449
120,IFNA14,3448
121,IFNA10,3446
122,CDKN2D,1032
123,CDKN2C,1031
124,CDKN2B,1030
125,ZAP70,7535
126,ICAM2,3384
127,ITGB2,3689
128,ITGAM,3684
129,CASP8,841
130,SP1,6667
131,RBPJ,3516
132,PPARGC1A,10891
133,CDK8,1024
134,RBL1,5933
135,FOXM1,2305
136,SOCS2,8835
137,FBXW7,55294
138,CISH,1154
139,YES1,7525
140,KIT,3815
141,JAK1,3716
142,IL6R,3570
143,SOCS3,9021
144,RORC,6097
145,LIFR,3977
146,ITCH,83737
147,IFNG,3458
148,CDKN2A,1029
149,PRL,5617
150,PRLR,5618
151,JAK2,3717
152,GLI3,2737
153,GLI1,2735
154,GH2,2689
155,GH1,2688
156,PTPN6,5777
157,MYD88,4615
158,IRAK2,3656
159,IRAK1,3654
160,HMGB1,3146
161,ITGB1,3688
162,PTCH1,5727
163,RHEB,6009
164,MTOR,2475
165,MLST8,64223
166,PPARA,5465
167,CLOCK,9575
168,TRAF3,7187
169,TRAF2,7186
170,TNFRSF1B,7133
171,TLR3,7098
172,TICAM1,148022
173,RIPK3,11035
174,RIPK2,8767
175,RIPK1,8737
176,IKBKE,9641
177,PMAIP1,5366
178,IKBKG,8517
179,IKBKB,3551
180,CHUK,1147
181,RAPGEF1,2889
182,FANCL,55120
183,FANCG,2189
184,FANCE,2178
185,FANCC,2176
186,FAAP24,91442
187,YWHAZ,7534
188,YWHAQ,10971
189,YWHAH,7533
190,HLA-G,3135
191,HLA-F,3134
