"from","to","KEGG","ReconX","HumanCyc","Reactome","OmniPath","weight","lapl_norm","lapl_norm_weight"
"IL20RB","IL20RA",NA,NA,NA,NA,"complex",0.815666666666667,0.25,0.203916666666667
"IRF8","IRF1",NA,NA,NA,NA,"directed_stimulation",0.576,0.5,0.288
"IL10RB","IFNL3",NA,NA,NA,NA,"directed_stimulation",0.313333333333333,0.267261241912424,0.0837418557992263
"IL10RB","IFNL2",NA,NA,NA,NA,"directed_stimulation",0.353666666666667,0.267261241912424,0.0945213925563608
"IL10RB","IFNL1",NA,NA,NA,NA,"directed_stimulation",0.416,0.267261241912424,0.111180676635569
"IL20RB","IL19",NA,NA,NA,NA,"directed_stimulation",0.488666666666667,0.353553390593274,0.172769756869913
"IL20RA","IL19",NA,NA,NA,NA,"directed_stimulation",0.488666666666667,0.353553390593274,0.172769756869913
"IL20RA","IL26",NA,NA,NA,NA,"directed_stimulation",0.374333333333333,0.353553390593274,0.132346819212082
"IL10RB","IL26",NA,NA,NA,NA,"directed_stimulation",0.438,0.267261241912424,0.117060423957642
"IL20RB","IL20",NA,NA,NA,NA,"directed_stimulation",0.335333333333333,0.288675134594813,0.0968023951341273
"IL20RA","IL20",NA,NA,NA,NA,"directed_stimulation",0.335333333333333,0.288675134594813,0.0968023951341273
"IL21","IL21R",NA,NA,NA,NA,"directed_stimulation",0.448333333333333,0.5,0.224166666666667
"IL9","IL9R",NA,NA,NA,NA,"directed_stimulation",0.402666666666667,0.5,0.201333333333333
"IL13RA1","IL13",NA,NA,NA,NA,"directed_stimulation",0.200333333333333,0.288675134594813,0.0578312519638275
"IL13RA1","IL4",NA,NA,NA,NA,"directed_stimulation",0.247,0.223606797749979,0.0552308790442448
"IL10RB","IL22",NA,NA,NA,NA,"directed_stimulation",0.380333333333333,0.218217890235992,0.0829955375864224
"IL22RA2","IL22",NA,NA,NA,NA,"directed_stimulation",0.152,0.577350269189626,0.0877572409168231
"IL20RB","IL22RA1",NA,NA,NA,NA,"complex",0.815666666666667,0.25,0.203916666666667
"IL20","IL22RA1",NA,NA,NA,NA,"directed_stimulation",0.313666666666667,0.288675134594813,0.0905477672179063
"IL22","IL22RA1",NA,NA,NA,NA,"directed_stimulation",0.219666666666667,0.288675134594813,0.0634123045659939
"INHBB","INHBA",NA,NA,NA,NA,"complex",0.553,0.333333333333333,0.184333333333333
"IL13RA1","IL4R",NA,NA,NA,NA,"directed_stimulation",0.425666666666667,0.166666666666667,0.0709444444444444
"IL13","IL4R",NA,NA,NA,NA,"directed_stimulation",0.388666666666667,0.192450089729875,0.0747989348750115
"IL4","IL4R",NA,NA,NA,NA,"directed_stimulation",0.343,0.149071198499986,0.0511314210854952
"IL23R","IL23A",NA,NA,NA,NA,"directed_stimulation",0.837666666666667,0.577350269189626,0.483627075491177
"IL23R","IL12B",NA,NA,NA,NA,"directed_stimulation",0.740666666666667,0.408248290463863,0.302375900470235
"IRF8","SPI1",NA,NA,NA,NA,"directed_stimulation",0.463333333333333,0.408248290463863,0.189155041248257
"TCF4","ID2",NA,NA,NA,NA,"directed_stimulation",0.372,0.408248290463863,0.151868364052557
"PSTPIP1","PTPN18",NA,NA,NA,NA,"directed",0.194666666666667,0.447213595499958,0.0870575799239918
"IL12B","IL12A",NA,NA,NA,NA,"directed_stimulation",0.732666666666667,0.5,0.366333333333333
"IL10RB","IL10",NA,NA,NA,NA,"directed_stimulation",0.318,0.218217890235992,0.0693932890950456
"PYCARD","CASP1",NA,NA,NA,NA,"directed_stimulation",0.508666666666667,0.182574185835055,0.0928694025280982
"PIM1","MYC",NA,NA,NA,NA,"directed_stimulation",0.364,0.0510310363079829,0.0185752972161058
"CEBPB","MYC",NA,NA,NA,NA,"directed",0.443666666666667,0.0294627825494395,0.0130716545244347
"IL10RB","IL10RA",NA,NA,NA,NA,"complex",0.484,0.169030850945703,0.0818109318577204
"IL10","IL10RA",NA,NA,NA,NA,"directed_stimulation",0.302,0.258198889747161,0.0779760647036427
"IL4R","IRS1",NA,NA,NA,NA,"directed_stimulation",0.348666666666667,0.0727392967453308,0.025361768131872
"CASP1","IL18",NA,NA,NA,NA,"directed_stimulation",0.435,0.182574185835055,0.0794197708382491
"OPRM1","POMC",NA,NA,NA,NA,"directed_stimulation",0.384333333333333,0.154303349962092,0.0593039208354307
"IL4R","JAK3",NA,NA,NA,NA,"directed_stimulation",0.329333333333333,0.105409255338946,0.0347147814249595
"IL9","IL2RG",NA,NA,NA,NA,"directed_stimulation",0.257,0.25,0.06425
"IL21","IL2RG",NA,NA,NA,NA,"directed_stimulation",0.351,0.25,0.08775
"IL4","IL2RG",NA,NA,NA,NA,"directed_stimulation",0.318,0.158113883008419,0.0502802147966772
"IL4R","IL2RG",NA,NA,NA,NA,"directed_stimulation",0.537666666666667,0.117851130197758,0.0633646243363278
"JAK3","IL2RG",NA,NA,NA,NA,"directed_stimulation",0.410666666666667,0.111803398874989,0.0459139291379957
"IFNGR2","IFNGR1",NA,NA,NA,NA,"complex",0.44,0.258198889747161,0.113607511488751
"IRF9","IFNAR2",NA,NA,NA,NA,"directed_stimulation",0.397333333333333,0.107211253483779,0.042598604717555
"IFNB1","IFNAR2",NA,NA,NA,NA,"directed_stimulation",0.523333333333333,0.0496291666985465,0.025972597238906
"IFNB1","IFNAR1",NA,NA,NA,NA,"directed_stimulation",0.473333333333333,0.056980288229819,0.0269706697621143
"IFNAR2","IFNAR1",NA,NA,NA,NA,"complex",0.715666666666667,0.0395903791232448,0.0283335146592022
"IFNAR2","IFNA8",NA,NA,NA,NA,"directed_stimulation",0.462333333333333,0.0515026202624605,0.0238113781013442
"IFNAR1","IFNA8",NA,NA,NA,NA,"directed_stimulation",0.432,0.0591312395989083,0.0255446955067284
"IFNAR2","IFNA7",NA,NA,NA,NA,"directed_stimulation",0.528,0.0515026202624605,0.0271933834985791
"IFNAR1","IFNA7",NA,NA,NA,NA,"directed_stimulation",0.492333333333333,0.0591312395989083,0.0291122802958625
"IFNAR2","IFNA6",NA,NA,NA,NA,"directed_stimulation",0.462333333333333,0.0515026202624605,0.0238113781013442
"IFNAR1","IFNA6",NA,NA,NA,NA,"directed_stimulation",0.432,0.0591312395989083,0.0255446955067284
"IFNAR2","IFNA5",NA,NA,NA,NA,"directed_stimulation",0.462333333333333,0.0515026202624605,0.0238113781013442
