logfc_SW2	fdr_SW2	logfc_SW3	fdr_SW3	logfc_SW4	fdr_SW4	logfc_SW5	fdr_SW5	logfc_SW6	fdr_SW6	logfc_SW7	fdr_SW7	logfc_SW8	fdr_SW8	logfc_SW9	fdr_SW9	logfc_SW10	fdr_SW10	logfc_SW11	fdr_SW11	logfc_SW12	fdr_SW12	logfc_SW13	fdr_SW13
A1CF	-0.100208078766578	0.431380704518298	-0.0732342810131168	0.77382777069093	-0.187746936918279	0.322215495231958	-0.110589119922769	0.835609353667539	0.0572820064200832	0.730756019041636	-0.0677159120809922	0.659445893951391	-0.0173531794684489	0.96831821460005	0.00340215542890308	0.999825254749618	-0.00722413819279199	0.999550711701349	-0.218050728709155	0.303090975966601	-0.0335483489930928	0.921250457101824	-0.157495494737917	0.399178547673175
AACSP1	-0.182192509310449	0.783493038712084	0	1	0	1	-0.0831079026898174	0.994292658688173	-0.210699960194428	0.751132779751909	0.0644963415334227	0.938300874251394	-0.246983613524216	0.847269153155956	0	1	0.220669701526738	0.999550711701349	0	1	-0.0261260978606348	0.987071176909129	-0.332118327362179	0.804277962874761
AADAC	0.0681488232895312	0.792165922199314	-0.0476697041451112	0.928408808919266	-0.106104376537614	0.91523645668891	0.208021121507067	0.915748536694167	-0.138678196058518	0.630210661342356	0.183355060563214	0.496243208211028	-0.280245314707139	0.400181493713197	-0.0832046007311899	0.999825254749618	0.0683154910118062	0.999550711701349	0.0164499018200013	0.988936605191842	0.183335080030032	0.511624807797164	-0.0486546009591145	0.927571848484315
AADAT	-0.192726016843021	0.363841148007176	-0.0172271110806367	0.979657174276354	0.103885245099403	0.791580131122194	-0.223943416471451	0.778396290866823	0.00595252919893843	0.992318081871951	-0.132278751847096	0.672183396645107	0.0196064883650858	0.984777099033365	-0.332272770152617	0.646190356890294	0.253369601747771	0.926275409797849	0	1	0.196971107979395	0.545488385150053	-0.110059631569406	0.818871046647945
AAGAB	0.040576548928747	0.902387741543146	0.140037160881228	0.525978265911795	-0.110217201841034	0.798698069351215	-0.106508340471099	0.952810235623644	-0.0601921355448113	0.832763696068371	0.180234146733089	0.445277435744594	-0.037148249389074	0.961666770050892	-0.0684728051780515	0.999825254749618	-0.101268583040348	0.999550711701349	0	1	0.120639142794789	0.653038344929462	-0.0385149986895839	0.918804083245021
AAMDC	-0.0539802550626217	0.782231245188976	0.0605176779604674	0.858242190789884	-0.0195793537653994	0.975754286575364	0.271270594808179	0.908620722500174	0.292342238348121	0.385233457146802	-0.421965318548567	0.165095448950927	0.0752085244141308	0.901904568275271	-0.1462692780753	0.999825254749618	0.0118769892585774	0.999550711701349	0	1	-0.0986781946172163	0.773064630442236	0.0271790249618721	0.973201422694711
AAR2	-0.0340291420786678	0.8805162850808	0.0422106267136933	0.910145819215924	-0.0308597440313297	0.943583609409769	0.0175411205642368	0.997039118448182	-0.0194582924592087	0.94825528052162	0.12016968132514	0.417364809724758	0.120551250174858	0.600878796954133	0.0176566331081662	0.999825254749618	-0.254807174796771	0.843548070980309	0	1	0.194099304144326	0.371505397009136	-0.0276880126946971	0.958208073650206
AARS2	0.0518033524973632	0.800997485305641	0.0264077361779712	0.960826833146781	-0.205910575337427	0.625370364537019	-0.0607854821488369	0.986145831188418	0.000644957746931961	0.998313537431291	-0.0407780701324922	0.893296823107111	0.0824167261381298	0.852176138853967	0.229685893169683	0.903877069083084	-0.34369412180227	0.794253228966011	0	1	-0.0951463071197838	0.754816615847738	-0.173980446423369	0.562062455212076
AASDH	0.0505836302339002	0.854831692127549	0.1547758458216	0.47182981947397	-0.0191314745863921	0.968770714230682	-0.128088410022388	0.865836393004492	-0.00444296141247202	0.988612042381467	-0.00970770214442936	0.979132171376976	-0.00700182939200017	0.992258465843338	-0.0997638329167906	0.999825254749618	-0.0832417511864197	0.999550711701349	0	1	0.0314356735746196	0.938518010736625	-0.150806970415025	0.562497858161895
AASS	-0.37089962200333	0.301610903627737	-0.367051054302756	0.492289141489296	-0.0692383159500222	0.954842541133369	-0.304433465250032	0.884652593935265	0.306471799532795	0.437244905125022	0.0503206130659237	0.936064798214602	-0.457770057180304	0.299051260991067	-0.22393340910878	0.999825254749618	0.253661627146122	0.996288334365283	0	1	0.176050276329051	0.663962386670528	-0.252390782077424	0.541006702962607
ABAT	-0.101854368951143	0.573045361858394	-0.200429650494161	0.194968516652978	-0.048274611190238	0.928945135104393	-0.236074424121719	0.832450279157852	0.131516059239195	0.718921819312613	0.0788031477746726	0.822423553534946	-0.150470045901988	0.730250067804161	-0.0257306271779467	0.999825254749618	-0.0260192985983358	0.999550711701349	-0.126633259314764	0.922072478861553	-0.0682313751626425	0.860575988304695	-0.36294204246406	0.0312136783867448
ABCA1	-0.00192929421310928	0.995943714304563	-0.138401506166152	0.713737595334159	-0.253457677502325	0.575798266794688	-0.0604991806228923	0.988758631833133	-0.018887330120606	0.97053961769365	0.0796521856943357	0.842011921221879	-0.0267150383133164	0.980594473512901	0.0371795639335574	0.999825254749618	-0.00878700787555451	0.999550711701349	-0.120697871699065	0.956039130113456	-0.113996354107295	0.676629131540374	-0.127738980133467	0.607871512441079
ABCA2	-0.0880951580840264	0.868714150102053	-0.270882136872653	0.632786340093716	0.813338489784115	0.0874538224279175	-0.100901230363375	0.984413174002517	-0.238195235191985	0.533722998871846	0.061466611475692	0.899039730472163	0.296739867784137	0.42486008586609	-0.0251081956839831	0.999825254749618	-0.143973268595801	0.999550711701349	0	1	0.0492778040792946	0.924789822984509	-0.153104838116507	0.626180082499507
ABCA5	0.00377846454941418	0.993109445506275	-0.00351045436953805	0.997173827708815	-0.0672895729428091	0.924177124297428	-0.0493282526638847	0.988758631833133	0.0681569327589771	0.880185072063339	0.0619611442838022	0.870421283836104	-0.212847068909272	0.673497704785465	-0.286565201961341	0.726742553871115	0.228091571194066	0.835472903417597	-0.111709852746025	0.956039130113456	-0.107293584437274	0.746250919345467	-0.176508025910963	0.54799299989706
ABCA6	-0.029620066661546	0.945244608866623	-0.181488712150016	0.520198482767275	-0.352746029794281	0.163523093972115	-0.0706522225942868	0.982995898930407	0.114223978240195	0.694706981871989	-0.141517174130955	0.624593961236957	-0.21102761436551	0.519564587636965	-0.237661350177225	0.66371734406074	0.264036732110197	0.843548070980309	-0.22044731422275	0.807089402838802	-0.106133483148871	0.743913043385605	-0.177247091979622	0.376917685579322
