p.value	odds_ratio	overlap	adj_p.value	genes
Formation of a pool of free 40S subunits R-HSA-72689	1.27824165492396e-116	792.153333654368	84/88	3.39245335216819e-113	RPS27A;UBA52;RPS16;RPS15;RPS24;RPS15A;RPS18;RPS23;RPS7;RPS8;EIF3H;RPS3;RPS27L;RPS25;RPSA;RPS19;RPS10;RPS11;RPS6;RPS3A;RPS21;RPS9;EIF3L;RPS27;RPS29;RPS14;RPS5;EIF3K;RPS12;EIF3I;RPS13;RPS2;RPS20;RPS17;RPS26;EIF3M;RPS4X;RPL28;RPL23A;RPL37;RPLP1;RPL32;RPL14;RPL22;RPL15;RPL9;RPL26L1;RPLP2;RPL19;RPL10;RPL21;RPL13A;RPL31;RPL27;RPL26;RPL13;RPL3;RPL7A;RPLP0;RPL27A;RPL17;RPL38;RPL36A;RPL24;RPL8;RPL18A;RPL18;RPL12;RPL30;RPL41;RPL23;RPL29;RPL10A;RPL36;RPL39;RPL22L1;RPL6;RPL35;RPL4;RPL11;RPL35A;RPL7;RPL37A;RPL34
Peptide chain elongation R-HSA-156902	1.06903394308183e-114	2899.32836368063	80/81	1.41860804246959e-111	RPS27A;UBA52;RPS16;RPS15;RPS24;RPS15A;RPS18;RPS23;RPS7;RPS8;RPS3;RPS27L;RPS25;RPSA;RPS19;RPS10;RPS11;RPS6;RPS3A;RPS21;RPS9;RPS27;RPS29;RPS14;RPS5;RPS12;RPS13;RPS2;RPS20;RPS17;RPS26;RPS4X;EEF1A1;RPL28;RPL23A;RPL37;RPLP1;RPL32;RPL14;RPL22;RPL15;RPL9;RPL26L1;RPLP2;RPL19;RPL10;RPL21;RPL13A;RPL31;RPL27;RPL26;RPL13;RPL3;RPL7A;RPLP0;RPL27A;RPL17;RPL38;RPL36A;RPL24;RPL8;RPL18A;RPL18;RPL12;RPL30;RPL41;RPL23;RPL29;RPL10A;RPL36;RPL39;RPL22L1;RPL6;RPL35;RPL4;RPL11;RPL35A;RPL7;RPL37A;RPL34
SRP-dependent cotranslational protein targeting to membrane R-HSA-1799339	1.30023604897328e-112	364.571340911244	85/94	1.15027549132503e-109	RPS27A;UBA52;RPS16;RPS15;RPS24;RPS15A;RPS18;RPS23;RPS7;RPS8;RPS3;RPS27L;RPS25;RPSA;RPS19;RPS10;RPS11;RPS6;RPS3A;RPS21;RPS9;RPS27;RPS29;RPS14;RPS5;RPS12;RPS13;RPS2;RPS20;RPS17;RPS26;RPS4X;RPN1;RPN2;RPL28;RPL23A;RPL37;RPLP1;RPL32;RPL14;RPL22;RPL15;RPL9;RPL26L1;RPLP2;RPL19;RPL10;RPL21;RPL13A;RPL31;RPL27;RPL26;RPL13;RPL3;RPL7A;RPLP0;RPL27A;RPL17;RPL38;RPL36A;RPL24;RPL8;RPL18A;RPL18;RPL12;RPL30;RPL41;RPL23;RPL29;RPL10A;RPL36;RPL39;RPL22L1;RPL6;RPL35;RPL4;RPL11;RPL35A;RPL7;RPL37A;RPL34;SEC11A;SPCS3;SEC11C;TRAM1
Eukaryotic Translation Elongation R-HSA-156842	1.15058810645233e-111	974.10099247481	80/83	5.96061163178439e-109	RPS27A;UBA52;RPS16;RPS15;RPS24;RPS15A;RPS18;RPS23;RPS7;RPS8;RPS3;RPS27L;RPS25;RPSA;RPS19;RPS10;RPS11;RPS6;RPS3A;RPS21;RPS9;RPS27;RPS29;RPS14;RPS5;RPS12;RPS13;RPS2;RPS20;RPS17;RPS26;RPS4X;EEF1A1;RPL28;RPL23A;RPL37;RPLP1;RPL32;RPL14;RPL22;RPL15;RPL9;RPL26L1;RPLP2;RPL19;RPL10;RPL21;RPL13A;RPL31;RPL27;RPL26;RPL13;RPL3;RPL7A;RPLP0;RPL27A;RPL17;RPL38;RPL36A;RPL24;RPL8;RPL18A;RPL18;RPL12;RPL30;RPL41;RPL23;RPL29;RPL10A;RPL36;RPL39;RPL22L1;RPL6;RPL35;RPL4;RPL11;RPL35A;RPL7;RPL37A;RPL34
Eukaryotic Translation Termination R-HSA-72764	1.57212816211344e-111	1495.16115485695	79/81	5.96061163178439e-109	RPS27A;UBA52;RPS16;RPS15;RPS24;RPS15A;RPS18;RPS23;RPS7;RPS8;RPS3;RPS27L;RPS25;RPSA;RPS19;RPS10;RPS11;RPS6;RPS3A;RPS21;RPS9;RPS27;RPS29;RPS14;RPS5;RPS12;RPS13;RPS2;RPS20;RPS17;RPS26;RPS4X;RPL28;RPL23A;RPL37;RPLP1;RPL32;RPL14;RPL22;RPL15;RPL9;RPL26L1;RPLP2;RPL19;RPL10;RPL21;RPL13A;RPL31;RPL27;RPL26;RPL13;RPL3;RPL7A;RPLP0;RPL27A;RPL17;RPL38;RPL36A;RPL24;RPL8;RPL18A;RPL18;RPL12;RPL30;RPL41;RPL23;RPL29;RPL10A;RPL36;RPL39;RPL22L1;RPL6;RPL35;RPL4;RPL11;RPL35A;RPL7;RPL37A;RPL34
GTP hydrolysis and joining of the 60S ribosomal subunit R-HSA-72706	1.20462721863175e-111	328.246352946692	85/95	5.96061163178439e-109	RPS27A;UBA52;EIF2S2;RPS16;RPS15;RPS24;RPS15A;RPS18;RPS23;RPS7;RPS8;EIF3H;RPS3;RPS27L;RPS25;RPSA;RPS19;RPS10;RPS11;RPS6;RPS3A;RPS21;RPS9;EIF3L;RPS27;RPS29;RPS14;RPS5;EIF3K;RPS12;EIF3I;RPS13;RPS2;RPS20;RPS17;RPS26;EIF3M;RPS4X;RPL28;RPL23A;RPL37;RPLP1;RPL32;RPL14;RPL22;RPL15;RPL9;RPL26L1;RPLP2;RPL19;RPL10;RPL21;RPL13A;RPL31;RPL27;RPL26;RPL13;RPL3;RPL7A;RPLP0;RPL27A;RPL17;RPL38;RPL36A;RPL24;RPL8;RPL18A;RPL18;RPL12;RPL30;RPL41;RPL23;RPL29;RPL10A;RPL36;RPL39;RPL22L1;RPL6;RPL35;RPL4;RPL11;RPL35A;RPL7;RPL37A;RPL34
Viral mRNA Translation R-HSA-192823	1.57212816211344e-111	1495.16115485695	79/81	5.96061163178439e-109	RPS27A;UBA52;RPS16;RPS15;RPS24;RPS15A;RPS18;RPS23;RPS7;RPS8;RPS3;RPS27L;RPS25;RPSA;RPS19;RPS10;RPS11;RPS6;RPS3A;RPS21;RPS9;RPS27;RPS29;RPS14;RPS5;RPS12;RPS13;RPS2;RPS20;RPS17;RPS26;RPS4X;RPL28;RPL23A;RPL37;RPLP1;RPL32;RPL14;RPL22;RPL15;RPL9;RPL26L1;RPLP2;RPL19;RPL10;RPL21;RPL13A;RPL31;RPL27;RPL26;RPL13;RPL3;RPL7A;RPLP0;RPL27A;RPL17;RPL38;RPL36A;RPL24;RPL8;RPL18A;RPL18;RPL12;RPL30;RPL41;RPL23;RPL29;RPL10A;RPL36;RPL39;RPL22L1;RPL6;RPL35;RPL4;RPL11;RPL35A;RPL7;RPL37A;RPL34
L13a-mediated translational silencing of Ceruloplasmin expression R-HSA-156827	1.02526318164214e-110	298.59542467662	85/96	3.4013106050978e-108	RPS27A;UBA52;EIF2S2;RPS16;RPS15;RPS24;RPS15A;RPS18;RPS23;RPS7;RPS8;EIF3H;RPS3;RPS27L;RPS25;RPSA;RPS19;RPS10;RPS11;RPS6;RPS3A;RPS21;RPS9;EIF3L;RPS27;RPS29;RPS14;RPS5;EIF3K;RPS12;EIF3I;RPS13;RPS2;RPS20;RPS17;RPS26;EIF3M;RPS4X;RPL28;RPL23A;RPL37;RPLP1;RPL32;RPL14;RPL22;RPL15;RPL9;RPL26L1;RPLP2;RPL19;RPL10;RPL21;RPL13A;RPL31;RPL27;RPL26;RPL13;RPL3;RPL7A;RPLP0;RPL27A;RPL17;RPL38;RPL36A;RPL24;RPL8;RPL18A;RPL18;RPL12;RPL30;RPL41;RPL23;RPL29;RPL10A;RPL36;RPL39;RPL22L1;RPL6;RPL35;RPL4;RPL11;RPL35A;RPL7;RPL37A;RPL34
Cap-dependent Translation Initiation R-HSA-72737	8.08215673724304e-110	273.967008682918	85/97	2.1450043980643e-107	RPS27A;UBA52;EIF2S2;RPS16;RPS15;RPS24;RPS15A;RPS18;RPS23;RPS7;RPS8;EIF3H;RPS3;RPS27L;RPS25;RPSA;RPS19;RPS10;RPS11;RPS6;RPS3A;RPS21;RPS9;EIF3L;RPS27;RPS29;RPS14;RPS5;EIF3K;RPS12;EIF3I;RPS13;RPS2;RPS20;RPS17;RPS26;EIF3M;RPS4X;RPL28;RPL23A;RPL37;RPLP1;RPL32;RPL14;RPL22;RPL15;RPL9;RPL26L1;RPLP2;RPL19;RPL10;RPL21;RPL13A;RPL31;RPL27;RPL26;RPL13;RPL3;RPL7A;RPLP0;RPL27A;RPL17;RPL38;RPL36A;RPL24;RPL8;RPL18A;RPL18;RPL12;RPL30;RPL41;RPL23;RPL29;RPL10A;RPL36;RPL39;RPL22L1;RPL6;RPL35;RPL4;RPL11;RPL35A;RPL7;RPL37A;RPL34
Eukaryotic Translation Initiation R-HSA-72613	8.08215673724304e-110	273.967008682918	85/97	2.1450043980643e-107	RPS27A;UBA52;EIF2S2;RPS16;RPS15;RPS24;RPS15A;RPS18;RPS23;RPS7;RPS8;EIF3H;RPS3;RPS27L;RPS25;RPSA;RPS19;RPS10;RPS11;RPS6;RPS3A;RPS21;RPS9;EIF3L;RPS27;RPS29;RPS14;RPS5;EIF3K;RPS12;EIF3I;RPS13;RPS2;RPS20;RPS17;RPS26;EIF3M;RPS4X;RPL28;RPL23A;RPL37;RPLP1;RPL32;RPL14;RPL22;RPL15;RPL9;RPL26L1;RPLP2;RPL19;RPL10;RPL21;RPL13A;RPL31;RPL27;RPL26;RPL13;RPL3;RPL7A;RPLP0;RPL27A;RPL17;RPL38;RPL36A;RPL24;RPL8;RPL18A;RPL18;RPL12;RPL30;RPL41;RPL23;RPL29;RPL10A;RPL36;RPL39;RPL22L1;RPL6;RPL35;RPL4;RPL11;RPL35A;RPL7;RPL37A;RPL34
