p.value	odds_ratio	overlap	adj_p.value	genes
Membrane Trafficking R-HSA-199991	2.39439658040369e-10	4.58609047072864	32/287	6.35472852439139e-07	AKT1;CLTC;HSPA8;TUBB4B;DYNLL1;TUBA1A;GRB2;TUBA1B;SEC13;RACGAP1;SEC23A;ARF1;SEC22B;KIF5B;COPB1;TRAPPC3;COPZ2;TMED7;ARFGAP1;SCFD1;ARF4;TMED3;CHMP2B;CHMP3;ARPC5;ACTR3;COPS8;COPS4;VAMP7;ARF6;GNS;CYTH2
Vesicle-mediated transport R-HSA-5653656	1.17375122334237e-09	4.26295568409784	32/305	1.55756787337532e-06	AKT1;CLTC;HSPA8;TUBB4B;DYNLL1;TUBA1A;GRB2;TUBA1B;SEC13;RACGAP1;SEC23A;ARF1;SEC22B;KIF5B;COPB1;TRAPPC3;COPZ2;TMED7;ARFGAP1;SCFD1;ARF4;TMED3;CHMP2B;CHMP3;ARPC5;ACTR3;COPS8;COPS4;VAMP7;ARF6;GNS;CYTH2
Adaptive Immune System R-HSA-1280218	3.75522955908818e-09	3.73202120309805	36/393	1.98125011808815e-06	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1;PRKACA;AKT1;CLTC;TUBB4B;DYNLL1;TUBA1A;GRB2;TUBA1B;SEC13;HLA-DRB1;RACGAP1;HLA-A;SEC23A;CD74;SEC61G;RBX1;SEC61B;ARF1;HLA-F;LILRB2;LILRB1;HLA-DPA1;SEC22B;HLA-DRA;HLA-B;TAP1;KIF5B
Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding R-HSA-389958	3.10163713334727e-09	16.0330900450306	11/33	1.98125011808815e-06	TUBB4B;TUBA1A;TUBA1B;CCT3;CCT5;CCT2;TCP1;CCT6A;CCT4;VBP1;PFDN2
ER-Phagosome pathway R-HSA-1236974	3.70803480779603e-09	8.15292553401472	16/81	1.98125011808815e-06	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1;HLA-A;SEC61G;SEC61B;HLA-F;SEC22B;HLA-B;TAP1
Immune System R-HSA-168256	4.47908843576823e-09	2.90613176657392	63/998	1.98125011808815e-06	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1;PRKACA;AKT1;CLTC;HSPA8;TUBB4B;DYNLL1;TUBA1A;GRB2;TUBA1B;KPNA2;SEC13;HLA-DRB1;RACGAP1;HLA-A;SEC23A;CD74;SEC61G;RBX1;SEC61B;ARF1;HLA-F;LILRB2;LILRB1;HLA-DPA1;SEC22B;HLA-DRA;HLA-B;TAP1;KIF5B;NDUFC2;PKM;ATP6V1E1;ATP6V0D1;ATP6V0B;FCGR2A;STAT1;OAS3;OAS1;OAS2;HSP90AB1;COPB1;CCT2;TCP1;ARPC5;ACTR3;RAC2;VAMP7;CXCL10;STAT2;IRF8;IRF9;IRF1;LCP1;GNS
Prefoldin mediated transfer of substrate  to CCT/TriC R-HSA-389957	7.77774925651932e-09	17.6876726314159	10/28	2.94887807525747e-06	TUBB4B;TUBA1A;CCT3;CCT5;CCT2;TCP1;CCT6A;CCT4;VBP1;PFDN2
Antigen processing-Cross presentation R-HSA-1236975	9.28914741523636e-09	7.56205857961106	16/86	3.08167465500466e-06	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1;HLA-A;SEC61G;SEC61B;HLA-F;SEC22B;HLA-B;TAP1
COPI-dependent Golgi-to-ER retrograde traffic R-HSA-6811434	1.19141274520524e-08	10.0490956965449	13/55	3.51334380641634e-06	TUBB4B;TUBA1A;TUBA1B;RACGAP1;ARF1;SEC22B;KIF5B;COPB1;COPZ2;TMED7;ARFGAP1;ARF4;TMED3
MHC class II antigen presentation R-HSA-2132295	1.42483167826812e-08	8.79438221562217	14/66	3.78150327412359e-06	CLTC;TUBB4B;DYNLL1;TUBA1A;TUBA1B;SEC13;HLA-DRB1;RACGAP1;SEC23A;CD74;ARF1;HLA-DPA1;HLA-DRA;KIF5B
