,keep,delete
0,R-HSA-5678895,R-HSA-5619084
1,R-HSA-2022090,R-HSA-2214320
2,R-HSA-2022090,R-HSA-2243919
3,R-HSA-68867,R-HSA-68616
4,R-HSA-422475,R-HSA-2682334
5,R-HSA-422475,R-HSA-373760
6,R-HSA-422475,R-HSA-375165
7,R-HSA-422475,R-HSA-373755
8,R-HSA-422475,R-HSA-376176
9,R-HSA-9824439,R-HSA-8876384
10,R-HSA-3858494,R-HSA-4086400
11,R-HSA-5607764,R-HSA-5621481
12,R-HSA-2559583,R-HSA-2559585
13,R-HSA-2559583,R-HSA-2559580
14,R-HSA-2559583,R-HSA-2559582
15,R-HSA-9711123,R-HSA-9707564
16,R-HSA-9711123,R-HSA-9755511
17,R-HSA-1234176,R-HSA-1234174
18,R-HSA-9633012,R-HSA-9711097
19,R-HSA-390466,R-HSA-389958
20,R-HSA-983169,R-HSA-1236975
21,R-HSA-5688426,R-HSA-5689603
22,R-HSA-5688426,R-HSA-5689880
23,R-HSA-8939211,R-HSA-9018519
24,R-HSA-8939211,R-HSA-9009391
25,R-HSA-156902,R-HSA-156842
26,R-HSA-72613,R-HSA-72737
27,R-HSA-72613,R-HSA-156827
28,R-HSA-8978868,R-HSA-77289
29,R-HSA-9824272,R-HSA-9793380
30,R-HSA-69615,R-HSA-69580
31,R-HSA-69615,R-HSA-69613
32,R-HSA-69481,R-HSA-69473
33,R-HSA-388396,R-HSA-416476
34,R-HSA-500792,R-HSA-373076
35,R-HSA-212436,R-HSA-9614085
36,R-HSA-212436,R-HSA-383280
37,R-HSA-212436,R-HSA-3700989
38,R-HSA-212436,R-HSA-2173793
39,R-HSA-212436,R-HSA-8878171
40,R-HSA-212436,R-HSA-8878166
41,R-HSA-212436,R-HSA-8878159
42,R-HSA-5610787,R-HSA-5610780
43,R-HSA-5610787,R-HSA-5610783
44,R-HSA-5610787,R-HSA-5610785
45,R-HSA-5362768,R-HSA-5387390
46,R-HSA-913531,R-HSA-877300
47,R-HSA-68886,R-HSA-68875
48,R-HSA-5673001,R-HSA-5684996
49,R-HSA-5368287,R-HSA-5389840
50,R-HSA-5368287,R-HSA-5368286
51,R-HSA-5368287,R-HSA-5419276
52,R-HSA-453279,R-HSA-1538133
53,R-HSA-453279,R-HSA-69206
54,R-HSA-69275,R-HSA-453274
55,R-HSA-5250941,R-HSA-427413
56,R-HSA-5250941,R-HSA-427359
57,R-HSA-112314,R-HSA-442755
58,R-HSA-168643,R-HSA-622312
59,R-HSA-1257604,R-HSA-6807070
60,R-HSA-9658195,R-HSA-9824443
61,R-HSA-418359,R-HSA-418360
62,R-HSA-5250913,R-HSA-5250924
63,R-HSA-5250913,R-HSA-427389
64,R-HSA-1912408,R-HSA-1912422
65,R-HSA-73854,R-HSA-73772
66,R-HSA-73854,R-HSA-73728
67,R-HSA-211733,R-HSA-169911
68,R-HSA-174143,R-HSA-453276
69,R-HSA-611105,R-HSA-163200
70,R-HSA-69242,R-HSA-69656
71,R-HSA-69242,R-HSA-69239
72,R-HSA-69242,R-HSA-75815
73,R-HSA-3108232,R-HSA-2990846
74,R-HSA-2408557,R-HSA-2408522
75,R-HSA-9725370,R-HSA-9700206
76,R-HSA-449147,R-HSA-446652
77,R-HSA-449147,R-HSA-6783783
78,R-HSA-449147,R-HSA-447115
79,R-HSA-449147,R-HSA-448424
80,R-HSA-449147,R-HSA-451927
81,R-HSA-449147,R-HSA-6785807
82,R-HSA-449147,R-HSA-1266695
83,R-HSA-6806834,R-HSA-8875878
84,R-HSA-9013694,R-HSA-9604323
85,R-HSA-187037,R-HSA-166520
86,R-HSA-194315,R-HSA-195258
87,R-HSA-194315,R-HSA-9012999
88,R-HSA-170834,R-HSA-2173789
89,R-HSA-170834,R-HSA-2173793
90,R-HSA-3304349,R-HSA-3304351
91,R-HSA-1168372,R-HSA-983705
92,R-HSA-69052,R-HSA-69017
93,R-HSA-69052,R-HSA-68949
94,R-HSA-201681,R-HSA-4641257
95,R-HSA-201681,R-HSA-4641258
96,R-HSA-201681,R-HSA-201722
97,R-HSA-202424,R-HSA-202403
98,R-HSA-5676590,R-HSA-5668541
99,R-HSA-168898,R-HSA-168142
100,R-HSA-168898,R-HSA-181438
101,R-HSA-168898,R-HSA-168164
102,R-HSA-168898,R-HSA-166016
103,R-HSA-168898,R-HSA-168176
104,R-HSA-168898,R-HSA-168181
105,R-HSA-168898,R-HSA-168138
106,R-HSA-381119,R-HSA-381033
107,R-HSA-381119,R-HSA-381070
108,R-HSA-9824446,R-HSA-9609646
109,R-HSA-9824446,R-HSA-162906
110,R-HSA-9824446,R-HSA-168255
111,R-HSA-9824446,R-HSA-9820952
112,R-HSA-9824446,R-HSA-9679506
113,R-HSA-72172,R-HSA-72163
114,R-HSA-72172,R-HSA-72165
115,R-HSA-6791226,R-HSA-8868773
116,R-HSA-5617472,R-HSA-5619507
117,R-HSA-1428517,R-HSA-611105
118,R-HSA-109581,R-HSA-211733
119,R-HSA-69620,R-HSA-69481
120,R-HSA-69620,R-HSA-69615
121,R-HSA-69278,R-HSA-69275
122,R-HSA-69278,R-HSA-69242
123,R-HSA-69278,R-HSA-453279
124,R-HSA-69278,R-HSA-68886
125,R-HSA-69278,R-HSA-174143
126,R-HSA-3247509,R-HSA-3214847
127,R-HSA-3247509,R-HSA-3214815
128,R-HSA-3247509,R-HSA-3214841
129,R-HSA-3247509,R-HSA-3214858
130,R-HSA-1474290,R-HSA-2022090
131,R-HSA-1474290,R-HSA-1650814
132,R-HSA-68867,R-HSA-69002
133,R-HSA-1474228,R-HSA-1442490
134,R-HSA-9645723,R-HSA-9710421
135,R-HSA-5619115,R-HSA-5678895
136,R-HSA-2129379,R-HSA-1566948
137,R-HSA-212165,R-HSA-5250941
138,R-HSA-212165,R-HSA-5334118
139,R-HSA-212165,R-HSA-212300
140,R-HSA-212165,R-HSA-5250913
141,R-HSA-5578749,R-HSA-211000
142,R-HSA-1257604,R-HSA-9006925
143,R-HSA-9730414,R-HSA-9856651
144,R-HSA-9821002,R-HSA-9816359
145,R-HSA-912446,R-HSA-1500620
146,R-HSA-71291,R-HSA-2408557
147,R-HSA-556833,R-HSA-8978868
148,R-HSA-422475,R-HSA-9675108
149,R-HSA-3000171,R-HSA-3000170
150,R-HSA-927802,R-HSA-975956
151,R-HSA-927802,R-HSA-975957
152,R-HSA-2980736,R-HSA-422085
153,R-HSA-418346,R-HSA-418359
154,R-HSA-72172,R-HSA-72203
155,R-HSA-75067,R-HSA-77588
156,R-HSA-390466,R-HSA-391251
157,R-HSA-73854,R-HSA-73864
158,R-HSA-212436,R-HSA-73857
159,R-HSA-450531,R-HSA-450408
160,R-HSA-372790,R-HSA-388396
161,R-HSA-372790,R-HSA-500792
