SW2	SW3	SW4	SW5	SW6	SW7	SW8	SW9	SW10	SW11	SW12	SW13
IL20RB	1	1	1	1	1	1	1	1	1	1	1	1
IL20RA	1	1	1	1	1	1	1	1	1	1	1	1
IL10RB	1	1	1	1	1	1	1	1	1	1	1	1
NR4A1	1.57615780189259	1.06345761754393	1.05302022680456	1.23783215162705	1	1.12167502929585	1	1	1.13714297390944	1	1.89064980367648	1
MEFV	1.35619954356939	1.02372422342472	1	1	1.47118195083616	1	1	1	1.00019843752286	1	1.01407173642462	1
RPS6KB2	1	1	1.36110448241426	1	1.01074850771008	1	1.26575531943647	1	1	1	1	1.07173197317003
VCAM1	1	1	1	1	1	1	1	1	1	1	1	1
BST2	1	1	1	1	1	1	1	1	1	1	1	1
TCF4	1	1	1	1	1.11455452301321	1	1	1	1.06924339542986	1	1	1
FLI1	1	1.01865907787852	1	1.0008583508169	1	1.02631372203385	1	1.01198561148762	1	1	1	1
ICAM1	1	1.12896940218334	1	1	1.57394159518423	1	1	1.0000806060506	1	1	1.00529973880608	1
IRF8	1	1	1	1	1.00038119621499	1.06704589740644	1	1.15449682368784	1	1	1	1
IRF1	1	1	1	1	2.10678083892794	1	1	1.21508600803885	1	1	1	1
IL22RA2	1	1	1	1	1	1	1	1	1	1	1	1
IFNL3	1	1	1	1	1	1	1	1	1	1	1	1
IFNL2	1	1	1	1	1	1	1	1	1	1	1	1
IFNL1	1	1	1	1	1	1	1	1	1	1	1	1
RNF111	1	1	1	1	1	1	1	1	1	1	1	1
IL9	1	1	1	1	1	1	1	1	1	1	1	1
IL13RA1	1	1	1	1	1	1	1	1	1	1	1	1
NEDD4L	1	1	1	1	1	1	1	1	1	1	1	1
IL19	1	1	1	1	1	1	1	1	1	1	1	1
IL26	1	1	1	1	1	1	1	1	1	1	1	1
IL20	1	1	1	1	1	1	1	1	1	1	1	1
PPM1A	1	1	1	1	1	1	1	1	1	1	1	1
IL21	1	1	1	1	1	1	1	1	1	1	1	1
OSM	1	1	1	1	1	1	1	1	1	1	1	1
IL23R	1	1	1	1	1	1	1	1	1	1	1	1
IRF9	1	1	1.21195036309547	1	1	1	1.35132496944031	1	1	1	1.01135137150737	1
IL21R	1	1	1	1	1	1	1	1	1	1	1	1
IL9R	1	1	1	1	1	1	1	1	1	1	1	1
IL13	1	1	1	1	1	1	1	1	1	1	1	1
LIF	1	1	1	1	1	1	1	1	1	1	1	1
TP53BP2	1	1	1	1	1	1	1	1	1	1	1	1
PSTPIP1	1	1	1	1	1	1	1	1	1	1	1	1
TP73	1	1.07810878407505	1	1	1	1.09287044012615	1	1.12260004894807	1	1	1	1
TRIM28	1	1	1	1	1	1	1	1	1	1	1	1
IL4	1	1	1	1	1	1	1	1	1	1	1	1
NMI	1	1	1.19719327174745	1.05878863891358	1.07141436492423	1	1	1.00008477936535	1.00019965311457	1	1	1
IL22	1	1	1	1	1	1	1	1	1	1	1	1
ATF3	1.03080287199832	1	1	1.0008583508169	1	1.02631372203385	1	1	1.06924339542986	1	1	1
PTPN1	1	1	1	1	1	1	1	1	1	1	1	1
GSK3A	1	1	1	1	1	1	1	1	1	1	1	1
MCL1	1	1.03878087861341	1	1.03345989575518	1	1	1.01836784819947	1	1	1.01531784734261	1	1.05049601731025
IL22RA1	1	1	1	1	1	1	1	1	1	1	1	1
INHBB	1	1	1	1	1	1	1	1	1	1	1	1
INHBA	1	1	1	1	1	1	1	1	1	1	1	1
IL4R	1	1.01869411719505	1.055926857253	1	1	1.10106493551019	1	1	1.24018197957087	1	1.06868974459421	1.88140634409332
PIM1	1	1	1	1	1	1	1	1	1	1	1	1
FASLG	1	1	1	1	1	1	1	1	1	1	1	1
BCL6	1	1.06573787750356	1	1	1	1	1	1.17321628593672	1	1	1	1
ZFYVE9	1.27522588404182	1.14254068542974	1.08445159709799	1.00054137103863	1	1.01643336143972	1.49748200827404	1	1.0002009464024	1	1	1.44001690274153
TRIM33	1	1	1	1	1	1	1	1	1	1	1	1
STUB1	1.0478504402631	1.01376485235267	1.261900227943	1	1	1	1.17193081500224	1.00008022466822	1	1	1	1.04148550896686
PPP1CB	1.06388350048752	1.0027305476365	1.00888237404724	1	1	1.2319170932769	1.03208011767468	1.00008030917804	1	1	1	1
MDM4	1.46764293956938	1.03448231046307	1	1.00513086859203	1.01133163958098	1.11219985463496	1	1	1.01064728615823	1	1.0976644183377	1.14776099006245
IL23A	1	1	1	1	1	1	1	1	1	1	1	1
IL12B	1	1	1	1	1	1	1	1	1	1	1	1
PRKCI	1	1	1	1	1	1	1	1	1	1	1	1
RICTOR	1.11483782620729	1.51800872354811	1	1	1	1.52499472343802	1.02800365115668	1.00008257793244	1	1	1.12983655637381	1
TRIM25	1	1	1	1	1	1	1	1	1	1	1	1
RNF135	1	1	1	1	1	1	1	1	1	1	1	1
FLT4	1	1	1	1	1	1	1	1	1	1	1	1
FCER2	1	1	1	1	1	1	1	1	1	1	1	1
PYCARD	1	1	1	1.00135676408819	1	1.03845578153714	1	1	1	1	1	1
OPRM1	1.00327073856752	1	1	1.0064580351004	1.20505030902242	1.20106447966809	1	1	1.00021612171874	1	1.04759991547616	1.06796811338765
SPI1	1	1	1.03318506805425	1	1.61582196934591	1	1	1.43352431101045	1	1	1	1
PPP1R15A	1	1	1	1	1	1	1	1	1	1	1	1
PTPN2	1	1	1	1	1	1	1	1	1	1	1	1
ID2	1	1	1.19678525793222	1	1	1.02631372203385	1	1.29380635784808	1	1	1.1014967418249	1
CEBPB	1	1	1	1	1.01529441240299	1	1	1.21508600803885	1	1	1.01149573046933	1
PTPN18	1.62300426261815	1.02015128138928	1	1.01408813990129	1	1.05204952227815	1	1	1.00021153419636	1	1.26450163410819	1.12162079863311
IL12A	1	1	1	1	1	1	1	1	1	1	1	1
FOXH1	1	1	1	1	1	1.12311150253896	1	1.01729062796238	1	1	1	1
LAMA5	1.69167677313701	1.43191755340403	1	1	1.44015883638276	1.06272505750212	1.00530070590106	1	1.00020795398451	1	1.49580156570798	1.19549912218569
PRKRA	1	1	1	1	1	1	1	1	1	1	1	1
