SW2	SW3	SW4	SW5	SW6	SW7	SW8	SW9	SW10	SW11	SW12	SW13
IL20RB	1	1	1	1	1	1	1	1	1	1	1	1
IL20RA	1	1	1	1	1	1	1	1	1	1	1	1
IL10RB	1	1	1	1	1	1	1	1	1	1	1	1
NR4A1	1	1	1	1	1.45923995741524	1	1.26613983325936	1.01365824050715	1	1	1	1.00619704727602
MEFV	1	1	1.20771362023361	1.00133456077871	1	1.04628543408527	1.09038436576434	1.00008145216667	1	1	1	1.05754217401131
RPS6KB2	1.00166453918165	1.15753290237189	1	1.00586600375932	1	1.0388365145957	1	1.00008052854335	1.00019787099282	1	1.1373393481998	1
VCAM1	1	1	1	1	1	1	1	1	1	1	1	1
BST2	1	1	1	1	1	1	1	1	1	1	1	1
TCF4	3.84807248873707	1.00594839163105	2.47747054871115	1.19350470017127	1	1.01724511237708	2.23023023611302	1.20576525500159	1	1	1.766920196968	2.15684691196933
FLI1	2.91151256462076	1	1.44219116242529	1	1.00038119621499	1	2.49083507178142	1	1.00693386638915	1	1.05737987114215	2.47087286710517
ICAM1	2.505984174329	1	1.35573386119645	1.15299344835896	1	1.10582029639079	1.15674540878745	1	1.00176747859528	1	1	1.00816517995314
IRF8	3.0299169607991	1.00594839163105	1.53736713663819	1.17583026706497	1	1	3.15563019888213	1	1.40547795212984	1	1.24691748597293	2.32713054668023
IRF1	4.88644475849406	2.44222554543679	1.32397805640541	1.75982624187685	1	1.51827436180833	2.01960920045239	1	2.236815825681	1	1.33976876183935	2.33383393041629
IL22RA2	1	1	1	1	1	1	1	1	1	1	1	1
IFNL3	1	1	1	1	1	1	1	1	1	1	1	1
IFNL2	1	1	1	1	1	1	1	1	1	1	1	1
IFNL1	1	1	1	1	1	1	1	1	1	1	1	1
RNF111	1	1	1	1	1	1	1	1	1	1	1	1
IL9	1	1	1	1	1	1	1	1	1	1	1	1
IL13RA1	1	1	1	1	1	1	1	1	1	1	1	1
NEDD4L	1	1	1	1	1	1	1	1	1	1	1	1
IL19	1	1	1	1	1	1	1	1	1	1	1	1
IL26	1	1	1	1	1	1	1	1	1	1	1	1
IL20	1	1	1	1	1	1	1	1	1	1	1	1
PPM1A	1	1	1	1	1	1	1	1	1	1	1	1
IL21	1	1	1	1	1	1	1	1	1	1	1	1
OSM	1	1	1	1	1	1	1	1	1	1	1	1
IL23R	1	1	1	1	1	1	1	1	1	1	1	1
IRF9	1.29918838691077	2.18235187028701	1	1.05783134428134	1.00038119621499	1.07181906707477	1	1.13527579192138	1.049708039012	1	1	1.38888722918105
IL21R	1	1	1	1	1	1	1	1	1	1	1	1
IL9R	1	1	1	1	1	1	1	1	1	1	1	1
IL13	1	1	1	1	1	1	1	1	1	1	1	1
LIF	1	1	1	1	1	1	1	1	1	1	1	1
TP53BP2	1	1	1	1	1	1	1	1	1	1	1	1
PSTPIP1	1	1	1	1	1	1	1	1	1	1	1	1
TP73	2.11071186376885	1	1.20921287295124	1.10736072273394	1.31287966047373	1	1.05838379846298	1	1.05183544627744	1	1.26589007493128	2.34133263330841
TRIM28	1	1	1	1	1	1	1	1	1	1	1	1
IL4	1	1	1	1	1	1	1	1	1	1	1	1
NMI	1.04007407061417	1.34633684079306	1	1	1	1.30468437436727	1.42831556282199	1	1	1	1.08940220476299	1.22713324695631
IL22	1	1	1	1	1	1	1	1	1	1	1	1
ATF3	1	1.02214055616657	1.12730980448316	1	1.1384530692407	1	1.33454692590312	1.17997789106218	1	1	1.1035626817551	1.19773140558494
PTPN1	1	1	1	1	1	1	1	1	1	1	1	1
GSK3A	1	1	1	1	1	1	1	1	1	1	1	1
MCL1	1.03658100728081	1	1.1308977297188	1	1.02670987965894	1.04393516035915	1	1.00008220330082	1.00020857392562	1	1.65522377333577	1
IL22RA1	1	1	1	1	1	1	1	1	1	1	1	1
INHBB	1	1	1	1	1	1	1	1	1	1	1	1
INHBA	1	1	1	1	1	1	1	1	1	1	1	1
IL4R	1.08128996716312	1	1	1.00298336358303	1.00329672112206	1	1.02663222345801	1.00008626996567	1	1	1	1
PIM1	1	1	1	1	1	1	1	1	1	1	1	1
FASLG	1	1	1	1	1	1	1	1	1	1	1	1
BCL6	1.30956683779103	1	1.25417087651589	1.0403440255167	1.17577504129506	1.02631372203385	1.2263368179553	1	1.36032873863061	1	1.02764145454593	1.64824689615374
ZFYVE9	1	1	1	1	1.07616415385924	1	1	1.00008109452396	1	1	1.00818240513931	1
TRIM33	1	1	1	1	1	1	1	1	1	1	1	1
STUB1	1	1	1	1.01691020375725	1.02973176906473	1.00460689113244	1	1	1.00021303299159	1	1.0226433786723	1
PPP1CB	1	1	1	1.06288525040227	1.42872559954438	1	1	1	1.00019973094821	1	1.07819845777945	1.35894779898084
MDM4	1	1	1.26424572045597	1	1	1	1.17103375932443	1.00007637917908	1	1	1	1
IL23A	1	1	1	1	1	1	1	1	1	1	1	1
IL12B	1	1	1	1	1	1	1	1	1	1	1	1
PRKCI	1	1	1	1	1	1	1	1	1	1	1	1
RICTOR	1	1	1.13296615978543	1.01407849581078	1.40932513152909	1	1	1	1.00020570933515	1	1	1.10030079961306
TRIM25	1	1	1	1	1	1	1	1	1	1	1	1
RNF135	1	1	1	1	1	1	1	1	1	1	1	1
FLT4	1	1	1	1	1	1	1	1	1	1	1	1
FCER2	1	1	1	1	1	1	1	1	1	1	1	1
PYCARD	3.37471642014956	1	1.00796779207986	1	1.03543192164732	1	1.26140802018875	1.00008822999405	1.04117030792213	1	1.01293668748427	3.65143565263346
OPRM1	1	1	1.03285788268705	1	1	1	1.19603243199362	1	1	1	1	1
SPI1	10	2.00737750410242	1	4.61043741305474	1	1.24309033207655	6.29761321858318	1	6.56882884677464	1	1.21878692561718	6.57367732879542
PPP1R15A	1	1	1	1	1	1	1	1	1	1	1	1
PTPN2	1	1	1	1	1	1	1	1	1	1	1	1
ID2	1.26619902161829	1.10233123025709	1	1.06890513430428	1.01086743133529	1	1.86261870998435	1	1.00693386638915	1	1	1.34600981557806
