term	term_id	odds_ratio	overlap	p.value	adj.p.value	log10pvalue	genes
ATF4 activates genes in response to endoplasmic reticulum  stress R-HSA-380994	R-HSA-380994	29.5716404098373	6/27	2.25728312683673e-07	1.33129542636104e-05	4.87572556000115	ATF6;CEBPG;NFYC;ATF4;NFYB;CEBPB
ATF6 (ATF6-alpha) activates chaperone genes R-HSA-381183	R-HSA-381183	67.8592291996076	4/10	1.9447924309813e-06	8.89910191693857e-05	4.05065381944474	ATF4;NFYB;ATF6;NFYC
ATF6 (ATF6-alpha) activates chaperones R-HSA-381033	R-HSA-381033	50.9092260307547	4/12	4.51336167008231e-06	0.000190134315434896	3.72093949460698	ATF4;NFYB;ATF6;NFYC
Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects R-HSA-9659787	R-HSA-9659787	21.6167640683387	3/17	0.000607891228157526	0.0126042446838287	1.8994831745392	TFDP1;E2F1;RB1
Activation of BH3-only proteins R-HSA-114452	R-HSA-114452	15.6453386327788	4/30	0.000217296474930707	0.0056539690633931	2.24764657215255	TFDP1;TP73;E2F1;TP53
Activation of NOXA and translocation to mitochondria R-HSA-111448	R-HSA-111448	151.085060369445	3/5	9.76369357008342e-06	0.000386758846791066	3.41255974338529	TFDP1;E2F1;TP53
Activation of PUMA and translocation to mitochondria R-HSA-139915	R-HSA-139915	81.2737176058385	4/9	1.17599457997626e-06	5.67470839137635e-05	4.2460564508344	TFDP1;TP73;E2F1;TP53
Activation of gene expression by SREBF (SREBP) R-HSA-2426168	R-HSA-2426168	10.694799113254	4/42	0.000808881475769432	0.0166416390441246	1.77880390203787	PPARA;NFYC;NFYB;SP1
Activation of the AP-1 family of transcription factors R-HSA-450341	R-HSA-450341	43.1530556848651	3/10	0.000112931245830618	0.00315494238352063	2.50100856756011	FOS;JUN;ATF2
Adipogenesis R-HSA-9843745	R-HSA-9843745	8.22689058754176	8/110	1.42658172795263e-05	0.000540878272283754	3.26690046432758	NR2F2;NFKB1;SMAD4;CEBPD;CEBPB;PPARA;NCOR2;RELA
Apoptosis R-HSA-109581	R-HSA-109581	4.20302710136602	7/179	0.00216759549269042	0.0352173181511767	1.45324371925152	TP73;TFDP1;STAT3;CTNNB1;SATB1;TP53;E2F1
Binding of TCF/LEF:CTNNB1 to target gene promoters R-HSA-4411364	R-HSA-4411364	60.3910144643672	3/8	5.34822047338101e-05	0.00166990319251214	2.77730870500596	CTNNB1;MYC;TCF7L2
CD209 (DC-SIGN) signaling R-HSA-5621575	R-HSA-5621575	16.8044877148694	3/21	0.00115464195946314	0.0212806927806609	1.67201423794086	RELB;NFKB1;RELA
CLEC7A/inflammasome pathway R-HSA-5660668	R-HSA-5660668	49.8939307854425	2/6	0.00146491185272532	0.0254109546217843	1.59497901935791	RELA;NFKB1
Cardiogenesis R-HSA-9733709	R-HSA-9733709	36.5760087381985	7/27	6.49326352282072e-09	5.94245565157455e-07	6.22603405071856	SMAD4;CTNNB1;SRF;NKX2-5;GATA6;MEF2C;ISL1
Cell recruitment (pro-inflammatory response) R-HSA-9664424	R-HSA-9664424	13.14831024128	3/26	0.00217620202592049	0.0352173181511767	1.45324371925152	NFKB1;NFKB2;RELA
Cellular Senescence R-HSA-2559583	R-HSA-2559583	8.44847113036004	14/197	9.79466087038799e-09	8.12344685937804e-07	6.09025965618037	NFKB1;RB1;TFDP1;HMGA1;STAT3;SP1;CEBPB;JUN;FOS;TP53;E2F1;ETS1;RELA;ETS2
Cellular response to chemical stress R-HSA-9711123	R-HSA-9711123	4.6072646572778	9/214	0.000300271777521034	0.00711536872804307	2.14780258926837	NFKB1;STAT3;MYC;SP1;PPARA;ATF4;NFE2L2;NCOR2;RELA
Cellular responses to stimuli R-HSA-8953897	R-HSA-8953897	4.43551568971844	29/832	1.91491476757202e-09	2.42008752054102e-07	6.61616892782093	MEF2C;RB1;HMGA1;CEBPG;CEBPB;FOS;MEF2D;CREB1;TP53;E2F1;ETS1;NFKB1;HIF1A;NFYB;STAT3;JUN;ATF2;MYC;SP1;NFYC;ATF4;NFE2L2;TFDP1;ATF6;PPARA;HSF1;NCOR2;RELA;ETS2
Cellular responses to stress R-HSA-2262752	R-HSA-2262752	4.52028484194529	29/818	1.29349785970158e-09	1.80681227349894e-07	6.74308696798071	MEF2C;RB1;HMGA1;CEBPG;CEBPB;FOS;MEF2D;CREB1;TP53;E2F1;ETS1;NFKB1;HIF1A;NFYB;STAT3;JUN;ATF2;MYC;SP1;NFYC;ATF4;NFE2L2;TFDP1;ATF6;PPARA;HSF1;NCOR2;RELA;ETS2
Circadian Clock R-HSA-400253	R-HSA-400253	9.68324989379465	6/70	7.03775833355938e-05	0.00214692076060536	2.66818398437926	ATF2;PPARA;HIF1A;MEF2C;MEF2D;CREB1
Cytokine Signaling in Immune system R-HSA-1280215	R-HSA-1280215	4.48388081308157	28/789	2.62219426565657e-09	2.91174037325476e-07	6.53584735171119	STAT1;MEF2C;EGR1;CEBPD;STAT2;FOS;CREB1;TP53;NFKB1;HIF1A;SMAD3;STAT3;NFKBIB;IRF8;JUN;POU2F1;ATF2;STAT5A;RELB;IRF7;IRF4;IRF1;MYC;IRF6;MEF2A;NFKB2;IRF5;RELA
Cytosolic sensors of pathogen-associated DNA  R-HSA-1834949	R-HSA-1834949	10.6877303942298	6/64	4.22597869230435e-05	0.00140196843117197	2.85326176548646	IRF7;CTNNB1;NFKB1;NFKB2;NFKBIB;RELA
DDX58/IFIH1-mediated induction of interferon-alpha/beta R-HSA-168928	R-HSA-168928	6.6377108199591	5/82	0.00138840146384765	0.0247303186916219	1.60677028699006	NFKB1;IRF7;NFKBIB;NFKB2;RELA
DEx/H-box helicases activate type I IFN and inflammatory cytokines production  R-HSA-3134963	R-HSA-3134963	134.956497562223	4/7	3.31792864022909e-07	1.91430056764522e-05	4.71798987187711	RELA;NFKB1;IRF7;NFKB2
Defective binding of RB1 mutants to E2F1,(E2F2, E2F3) R-HSA-9661069	R-HSA-9661069	21.6167640683387	3/17	0.000607891228157526	0.0126042446838287	1.8994831745392	TFDP1;E2F1;RB1
Developmental Biology R-HSA-1266738	R-HSA-1266738	4.68243765466696	45/1422	2.65470964011965e-13	1.76139984621939e-10	9.75414204590927	MEF2C;CEBPD;CEBPB;TCF4;RUNX1;CREB1;HOXD3;SMAD4;TCF3;JUN;HOXA1;MYC;GATA6;RARG;SRF;DLX5;TFDP1;NKX2-5;RELA;MEF2D;FLI1;TAL1;HNF1A;ZFPM2;CDX2;PPARA;NFKB1;ISL1;STAT3;TCF7L2;MYOG;RARA;TFAP2A;MEF2A;CTNNB1;NR2F2;USF1;MYB;TP53;E2F1;SMAD3;PAX3;SPI1;FOXC1;NCOR2
Disease R-HSA-1643685	R-HSA-1643685	2.25456858388021	35/1881	0.000128991995286438	0.0035293273761877	2.45230805513465	STAT1;HMGA1;CEBPD;CEBPB;STAT2;RUNX1;CREB1;SMAD4;JUN;IRF4;MYC;SP1;NFE2L2;NFKB2;TFDP1;BCL11A;RELA;TBP;RB1;CTBP2;DNMT3B;ESR2;NFKB1;STAT3;TCF7L2;CUX1;CTNNB1;DNMT1;TP53;E2F1;SMAD3;STAT5A;IRF7;ESR1;NCOR2
Diseases of signal transduction by growth factor receptors and second messengers R-HSA-5663202	R-HSA-5663202	5.56599569215507	21/459	4.67764892450734e-09	4.59340508386534e-07	6.33786525326923	STAT1;RB1;CTBP2;CEBPB;DNMT1;CREB1;TP53;SMAD3;SMAD4;STAT3;JUN;TCF7L2;CUX1;STAT5A;IRF4;MYC;ESR1;ESR2;CTNNB1;BCL11A;NCOR2
Downregulation of SMAD2/3:SMAD4 transcriptional activity R-HSA-2173795	R-HSA-2173795	19.7307831117498	5/31	1.29868293654728e-05	0.000499522393274852	3.301445037853	NCOR2;SMAD4;STAT1;SKIL;SMAD3
Downstream signal transduction R-HSA-186763	R-HSA-186763	11.629982344744	3/29	0.00299219293378943	0.047269524084983	1.32541877020198	STAT5A;STAT3;STAT1
Downstream signaling events of B Cell Receptor (BCR) R-HSA-1168372	R-HSA-1168372	6.7253054181337	5/81	0.00131413669717624	0.0237259781925561	1.6247758731105	REL;NFATC1;NFKB1;NFKBIB;RELA
