term	term_id	variable	odds_ratio	overlap	p.value	adj.p.value	log10pvalue	genes
ATF4 activates genes in response to endoplasmic reticulum  stress R-HSA-380994	R-HSA-380994	Fibrosis	15.7873623349463	4/27	0.000216733487634707	0.00419861807432491	2.37689362899555	NFYA;NFYB;ATF3;CEBPB
Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects R-HSA-9659787	R-HSA-9659787	Fibrosis	27.9242789063101	4/17	3.20577724474482e-05	0.000905120511441782	3.04329359320385	TFDP1;E2F1;CDKN1B;RB1
Aberrant regulation of mitotic cell cycle due to RB1 defects R-HSA-9687139	R-HSA-9687139	Fibrosis	11.3440910069101	4/36	0.000672922329750652	0.0108238537161105	1.96561808584089	TFDP1;E2F1;CDKN1B;RB1
Activation of BH3-only proteins R-HSA-114452	R-HSA-114452	Fibrosis	18.3034478765791	5/30	1.86472401523591e-05	0.000596262353787482	3.22456260983669	TFDP1;TP73;E2F1;TP63;TP53
Activation of HOX genes during differentiation R-HSA-5619507	R-HSA-5619507	Fibrosis	5.62138160548358	7/122	0.000435049164618062	0.00735427059169641	2.13346039482089	HOXD3;EP300;CTCF;SUZ12;JUN;YY1;RARA
Activation of NOXA and translocation to mitochondria R-HSA-111448	R-HSA-111448	Fibrosis	134.365781551527	3/5	1.35499414145322e-05	0.00047317821729169	3.32497525628368	TFDP1;E2F1;TP53
Activation of PUMA and translocation to mitochondria R-HSA-139915	R-HSA-139915	Fibrosis	114.588271820448	5/9	1.99156660340775e-08	1.95763620942377e-06	5.70826801065285	TFDP1;TP73;E2F1;TP53;TP63
Activation of anterior HOX genes in hindbrain development during early embryogenesis R-HSA-5617472	R-HSA-5617472	Fibrosis	5.62138160548358	7/122	0.000435049164618062	0.00735427059169641	2.13346039482089	HOXD3;EP300;CTCF;SUZ12;JUN;YY1;RARA
Activation of gene expression by SREBF (SREBP) R-HSA-2426168	R-HSA-2426168	Fibrosis	9.54613074437032	4/42	0.00121410439251943	0.0168716415922502	1.77284265897751	NFYA;PPARA;NFYB;SP1
Activation of the AP-1 family of transcription factors R-HSA-450341	R-HSA-450341	Fibrosis	38.5940481312281	3/10	0.000156043313353473	0.00318568425877013	2.49679727042723	FOS;JUN;ATF2
Adherens junctions interactions R-HSA-418990	R-HSA-418990	Fibrosis	6.70900348314298	4/58	0.00401015278052864	0.0442425964316595	1.354159393845	CTNNB1;SNAI1;ILF3;SP1
Adipogenesis R-HSA-9843745	R-HSA-9843745	Fibrosis	10.6295381299133	11/110	3.78979323561433e-08	3.35270374910681e-06	5.47460481991217	NFKB1;EP300;SMAD4;KLF4;CEBPD;KLF5;CEBPB;PPARA;PPARG;RELA;CEBPA
Apoptosis R-HSA-109581	R-HSA-109581	Fibrosis	4.33533074406254	8/179	0.000902278081406345	0.0134530675733283	1.871178676385	TP73;TFDP1;STAT3;CTNNB1;SATB1;TP63;TP53;E2F1
Binding of TCF/LEF:CTNNB1 to target gene promoters R-HSA-4411364	R-HSA-4411364	Fibrosis	53.9408008259519	3/8	7.40280154416582e-05	0.00173867569010762	2.759781418073	CTNNB1;MYC;TCF7L2
C-type lectin receptors (CLRs) R-HSA-5621481	R-HSA-5621481	Fibrosis	4.85288680201778	7/140	0.000988162897502608	0.0145703623023202	1.83652964905759	RELB;NFATC1;EP300;NFKB1;NFATC2;NFKB2;RELA
CD209 (DC-SIGN) signaling R-HSA-5621575	R-HSA-5621575	Fibrosis	21.3552173083274	4/21	7.78616520766257e-05	0.00179691151835969	2.74547330743984	RELB;NFKB1;EP300;RELA
