"ENSG00000175899" "ENSG00000120437" "ENSG00000162836" "ENSG00000135744" "ENSG00000198074" "ENSG00000163631" "ENSG00000240038" "ENSG00000002726" "ENSG00000175336" "ENSG00000171885" "ENSG00000188611" "ENSG00000112936" "ENSG00000182533" "ENSG00000134365" "ENSG00000140835" "ENSG00000184374" "ENSG00000132693" "ENSG00000169429" "ENSG00000130811" "ENSG00000088926" "ENSG00000057593" "ENSG00000078098" "ENSG00000140092" "ENSG00000122176" "ENSG00000167996" "ENSG00000183087" "ENSG00000124713" "ENSG00000147257" "ENSG00000134202" "ENSG00000168765" "ENSG00000112972" "ENSG00000173110" "ENSG00000141753" "ENSG00000115590" "ENSG00000187608" "ENSG00000101384" "ENSG00000111716" "ENSG00000127241" "ENSG00000166482" "ENSG00000157601" "ENSG00000188211" "ENSG00000163531" "ENSG00000181019" "ENSG00000106333" "ENSG00000107317" "ENSG00000106853" "ENSG00000198034" "ENSG00000173432" "ENSG00000106366" "ENSG00000254415" "ENSG00000105398" "ENSG00000160180" "ENSG00000186340" "ENSG00000169902" "ENSG00000095970" "ENSG00000077152" "PC1"
"Sample 71" 2.67993130510161 1.24476190775336 0.527177209079236 2.32113895576455 -0.907992188269013 4.83268540112398 0.527177209079236 0.168384859742174 1.60355425709042 -0.907992188269013 -0.190407489594888 0.885969558416299 -1.62557688694314 1.24476190775336 -0.907992188269013 0.885969558416299 0.527177209079236 -1.62557688694314 0.885969558416299 1.96234660642749 1.60355425709042 -1.9843692362802 -0.190407489594888 -0.190407489594888 1.24476190775336 0.168384859742174 1.96234660642749 -1.26678453760608 -0.190407489594888 0.885969558416299 1.24476190775336 -1.62557688694314 1.96234660642749 -0.54919983893195 -0.190407489594888 0.168384859742174 0.168384859742174 1.96234660642749 -0.190407489594888 0.527177209079236 -0.907992188269013 0.168384859742174 -0.54919983893195 0.527177209079236 -1.26678453760608 1.96234660642749 1.60355425709042 0.527177209079236 -0.190407489594888 -0.907992188269013 1.96234660642749 -2.34316158561726 -0.54919983893195 0.527177209079236 -1.26678453760608 -1.62557688694314 1
"Sample 72" 3.04826964552961 0.888050663760109 0.528014166798526 2.32819665160644 -0.912131821047805 4.48841563337594 0.528014166798526 0.167977669836943 1.60812365768327 -0.912131821047805 -0.19205882712464 1.60812365768327 -1.99224131193255 1.24808716072169 -0.552095324086223 0.888050663760109 0.528014166798526 -1.27216831800939 0.888050663760109 1.96816015464486 1.60812365768327 -1.63220481497097 0.167977669836943 -0.19205882712464 1.60812365768327 0.167977669836943 1.60812365768327 -1.27216831800939 0.167977669836943 0.888050663760109 1.24808716072169 -1.27216831800939 1.96816015464486 -0.19205882712464 -0.552095324086223 0.167977669836943 0.167977669836943 1.96816015464486 -0.19205882712464 0.528014166798526 -0.912131821047805 0.167977669836943 -0.552095324086223 0.528014166798526 -0.912131821047805 1.96816015464486 1.60812365768327 0.167977669836943 -0.19205882712464 -0.912131821047805 1.96816015464486 -1.99224131193255 0.167977669836943 0.528014166798526 -1.63220481497097 -1.99224131193255 0.944322831840381
"Sample 63" 2.67548609533206 0.883825654657635 0.525493566522749 2.31715400719718 -0.549502697881909 4.82547862414138 0.525493566522749 -0.907834786016795 1.60048983092741 -0.549502697881909 0.167161478387863 0.883825654657635 -1.98283105042145 1.60048983092741 -1.26616687415168 0.883825654657635 1.60048983092741 -1.62449896228657 0.883825654657635 1.60048983092741 1.60048983092741 -0.907834786016795 0.167161478387863 -0.549502697881909 1.24215774279252 0.525493566522749 1.24215774279252 -1.62449896228657 0.167161478387863 0.883825654657635 1.95882191906229 -1.26616687415168 1.95882191906229 -0.191170609747023 -0.191170609747023 0.167161478387863 0.167161478387863 1.60048983092741 0.167161478387863 0.883825654657635 -0.907834786016795 0.167161478387863 -0.549502697881909 0.525493566522749 -1.26616687415168 1.95882191906229 1.60048983092741 1.24215774279252 0.883825654657635 -0.549502697881909 1.95882191906229 -1.62449896228657 -0.191170609747023 0.525493566522749 -1.26616687415168 -1.26616687415168 0.922348556571001
"Sample 67" 2.32252524589829 1.60523279150882 0.529294109924618 2.32252524589829 0.170647882729883 4.83304883626143 0.529294109924618 0.170647882729883 1.60523279150882 -0.187998344464852 -0.187998344464852 1.24658656431409 -1.62258325324379 1.24658656431409 -0.546644571659586 0.887940337119353 1.96387901870356 -1.62258325324379 0.529294109924618 1.60523279150882 1.60523279150882 -1.26393702604906 0.170647882729883 -0.546644571659586 1.24658656431409 0.529294109924618 1.24658656431409 -1.62258325324379 -0.187998344464852 0.170647882729883 2.32252524589829 -1.26393702604906 1.96387901870356 -0.187998344464852 -0.187998344464852 0.170647882729883 0.170647882729883 1.60523279150882 -0.187998344464852 0.887940337119353 -0.546644571659586 0.529294109924618 -0.187998344464852 0.529294109924618 -1.26393702604906 1.96387901870356 1.24658656431409 1.24658656431409 0.887940337119353 -0.905290798854321 1.60523279150882 -1.62258325324379 0.170647882729883 0.529294109924618 -1.26393702604906 -1.98122948043853 0.901180616400779
"Sample 37" 2.67805690111017 0.883027476869986 0.52402159202195 2.67805690111017 -0.55299606252216 4.47308632535035 0.165015707173913 -0.912001947370197 1.24203336171802 -0.912001947370197 -0.193990177674124 1.24203336171802 -1.98901960191431 1.24203336171802 -0.193990177674124 0.883027476869986 1.9600451314141 -1.27100783221823 0.883027476869986 1.60103924656606 1.60103924656606 -1.27100783221823 0.165015707173913 0.165015707173913 1.60103924656606 0.52402159202195 0.52402159202195 -1.27100783221823 -0.193990177674124 0.165015707173913 1.60103924656606 -1.27100783221823 2.31905101626213 -0.55299606252216 -0.193990177674124 0.165015707173913 -0.193990177674124 1.9600451314141 0.165015707173913 0.52402159202195 -0.912001947370197 0.52402159202195 -0.55299606252216 0.52402159202195 -0.55299606252216 1.60103924656606 1.60103924656606 0.52402159202195 0.883027476869986 -1.27100783221823 1.9600451314141 -1.98901960191431 0.165015707173913 0.52402159202195 -1.63001371706627 -1.27100783221823 0.897054397283836
"Sample 73" 3.40546418689436 1.24810090819219 0.528979815291473 2.32678254754328 -0.190141277609248 4.8437063726958 0.528979815291473 0.169419268841112 1.60766145464255 -0.909262370509969 0.169419268841112 1.60766145464255 -1.62838346341069 1.24810090819219 -0.190141277609248 0.888540361741833 1.24810090819219 -1.98794400986105 0.888540361741833 1.96722200109291 1.60766145464255 -0.909262370509969 0.528979815291473 -0.190141277609248 1.24810090819219 0.528979815291473 1.24810090819219 -0.909262370509969 0.169419268841112 0.169419268841112 1.60766145464255 -1.26882291696033 1.96722200109291 -0.549701824059609 -0.190141277609248 0.169419268841112 0.528979815291473 1.96722200109291 0.169419268841112 0.888540361741833 -0.909262370509969 0.169419268841112 -0.190141277609248 0.888540361741833 -0.549701824059609 1.96722200109291 1.60766145464255 0.528979815291473 -0.190141277609248 -1.26882291696033 1.96722200109291 -1.26882291696033 0.169419268841112 0.528979815291473 -0.909262370509969 -1.62838346341069 0.863381409692103
"D703_D503" 2.70617978263643 1.25680593396458 0.532119009628648 2.70617978263643 -0.19256791470728 4.88024055564422 0.532119009628648 0.169775547460684 1.61914939613254 -0.554911376875245 -0.19256791470728 1.25680593396458 -1.64194176337914 1.25680593396458 -1.27959830121117 0.894462471796612 1.61914939613254 -0.917254839043209 0.894462471796612 1.61914939613254 1.61914939613254 -1.64194176337914 0.169775547460684 -0.554911376875245 1.61914939613254 0.532119009628648 1.61914939613254 -1.64194176337914 0.532119009628648 0.894462471796612 1.25680593396458 -0.554911376875245 1.9814928583005 -0.19256791470728 0.169775547460684 0.169775547460684 -0.19256791470728 1.9814928583005 0.169775547460684 0.894462471796612 -0.554911376875245 0.169775547460684 -0.554911376875245 0.532119009628648 0.169775547460684 1.61914939613254 1.61914939613254 0.894462471796612 0.169775547460684 -0.19256791470728 1.61914939613254 -0.917254839043209 0.532119009628648 0.532119009628648 -0.917254839043209 -1.64194176337914 0.859179391281307
"Sample 77" 2.68310995605968 1.24737536317504 0.529508066732726 2.68310995605968 -0.547292877930752 4.83671184538664 0.529508066732726 0.529508066732726 1.6063090113962 -0.547292877930752 -0.188359229709593 1.6063090113962 -1.62409382259423 0.888441714953885 -0.188359229709593 0.888441714953885 1.96524265961736 -1.62409382259423 0.888441714953885 1.96524265961736 1.6063090113962 -1.62409382259423 0.170574418511567 -0.188359229709593 1.24737536317504 0.529508066732726 1.24737536317504 -0.547292877930752 -0.188359229709593 0.529508066732726 2.32417630783852 -1.26516017437307 1.96524265961736 -0.188359229709593 -0.547292877930752 0.529508066732726 0.170574418511567 1.96524265961736 0.170574418511567 0.529508066732726 -0.547292877930752 0.529508066732726 -0.547292877930752 0.529508066732726 -0.906226526151911 1.96524265961736 1.6063090113962 1.24737536317504 0.888441714953885 -0.906226526151911 1.96524265961736 -0.906226526151911 0.170574418511567 0.529508066732726 -1.26516017437307 -1.98302747081539 0.849853588699298
"D711_D503" 2.67391446385414 1.24280885578412 0.527256051749116 2.67391446385414 -0.18829675228589 4.82057287595916 0.527256051749116 -0.18829675228589 1.60058525780163 -0.903849556320896 -0.18829675228589 1.24280885578412 -1.97717876237341 1.24280885578412 -0.546073154303393 0.88503245376662 1.60058525780163 -1.2616259583384 0.88503245376662 1.95836165981913 1.60058525780163 -1.6194023603559 0.169479649731613 -0.18829675228589 1.24280885578412 0.88503245376662 1.24280885578412 -0.903849556320896 -0.18829675228589 0.169479649731613 1.60058525780163 -0.903849556320896 1.95836165981913 -0.18829675228589 0.169479649731613 0.169479649731613 0.169479649731613 1.95836165981913 -0.18829675228589 0.88503245376662 -0.903849556320896 0.169479649731613 -0.546073154303393 0.88503245376662 -0.18829675228589 1.95836165981913 1.60058525780163 0.88503245376662 0.169479649731613 -0.903849556320896 1.95836165981913 -0.903849556320896 0.169479649731613 0.527256051749116 -1.97717876237341 -1.2616259583384 0.847496277365654
"Sample 39" 2.32221617524975 1.60431795007839 0.527470612321349 2.32221617524975 -0.190427612850011 4.47591085076383 0.527470612321349 0.168521499735669 1.24536883749271 -0.549376725435691 -0.190427612850011 1.24536883749271 -1.62622406319273 1.60431795007839 -0.908325838021372 0.886419724907029 2.32221617524975 -1.62622406319273 0.886419724907029 1.60431795007839 1.60431795007839 -1.62622406319273 -0.190427612850011 -0.190427612850011 1.24536883749271 0.886419724907029 1.60431795007839 -1.62622406319273 0.527470612321349 0.527470612321349 1.96326706266407 -0.908325838021372 1.96326706266407 -0.190427612850011 -0.190427612850011 -0.190427612850011 0.168521499735669 1.60431795007839 -0.549376725435691 0.886419724907029 -0.549376725435691 -0.190427612850011 -0.549376725435691 0.527470612321349 -0.908325838021372 1.96326706266407 1.60431795007839 1.24536883749271 0.527470612321349 -0.549376725435691 1.96326706266407 -1.62622406319273 -0.190427612850011 0.527470612321349 -1.62622406319273 -1.26727495060705 0.834905048806452
