""	"x"
"ENSG00000186340"	14.5845652400647
"ENSG00000095970"	11.90630636298
"ENSG00000112936"	10.3878969584668
"ENSG00000078098"	8.32057520323674
"ENSG00000169429"	7.74864923917975
"ENSG00000124713"	7.17064398212199
"ENSG00000198074"	6.33158266305628
"ENSG00000166482"	6.18162064495513
"ENSG00000122176"	5.60503053103177
"ENSG00000101384"	5.33099537164196
"ENSG00000077152"	5.21810194299537
"ENSG00000111716"	5.11383605696885
"ENSG00000107317"	4.81147213219799
"ENSG00000175336"	4.56979065958462
"ENSG00000147257"	4.53308071799874
"ENSG00000162836"	4.46519622674385
"ENSG00000140092"	4.27368359965131
"ENSG00000088926"	3.30499735309448
"ENSG00000169902"	3.2450769687883
"ENSG00000057593"	2.74244531039461
"ENSG00000240038"	2.68912835824813
"ENSG00000187608"	1.90328208486452
"ENSG00000173110"	1.85067044518334
"ENSG00000198034"	1.68779213937146
"ENSG00000168765"	1.53449665404345
"ENSG00000141753"	1.45416102393702
"ENSG00000173432"	1.38134309146812
"ENSG00000135744"	1.30247510046535
"ENSG00000160180"	1.22014215889782
"ENSG00000127241"	1.18749790123156
"ENSG00000140835"	1.09695950829436
"ENSG00000002726"	1.01362479386087
"ENSG00000112972"	1.00882085395691
"ENSG00000134365"	0.946401846716562
"ENSG00000188611"	0.906926098845633
"ENSG00000132693"	0.865134209695547
"ENSG00000188211"	0.819774725068785
"ENSG00000171885"	0.746500028950403
"ENSG00000163531"	0.646504304053908
"ENSG00000106853"	0.553100093194309
"ENSG00000106366"	0.494524576171598
"ENSG00000105398"	0.420254450772726
"ENSG00000184374"	0.369197908715771
"ENSG00000115590"	0.343804539372401
"ENSG00000130811"	0.303028640765942
"ENSG00000163631"	0.274258430190712
"ENSG00000134202"	0.201189353697441
"ENSG00000167996"	0.0844008526277911
"ENSG00000181019"	0.0660581836110795
"ENSG00000157601"	0.0487003681618623
"ENSG00000254415"	-0.00208001240797236
"ENSG00000183087"	-0.00600737732192624
"ENSG00000175899"	-0.0603537232874724
"ENSG00000106333"	-0.0628292849660845
"ENSG00000182533"	-0.0922822572056691
"ENSG00000120437"	-0.280610606749179
