nes_SW2	fdr_SW2	nes_SW3	fdr_SW3	nes_SW4	fdr_SW4	nes_SW5	fdr_SW5	nes_SW6	fdr_SW6	nes_SW7	fdr_SW7	nes_SW8	fdr_SW8	nes_SW9	fdr_SW9	nes_SW10	fdr_SW10	nes_SW11	fdr_SW11	nes_SW12	fdr_SW12	nes_SW13	fdr_SW13
ABL1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ADNP	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ADNP2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AEBP1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AEBP2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AHR	2.72051989605405	0.0203465266314835	-1.36813216825685	0.571699907186552	1.16254547400162	0.550021371523169	-1.85220073333537	0.304961166042871	-1.15792849607707	0.576715368429739	2.41442595454763	0.129239594043662	-0.137302820595756	0.944020993806407	0.386108811721925	0.919859290837767	1.3858074656417	0.627420040939745	-1.47677480565462	0.992648160101677	4.62335566594227	0.00014536887624998	-0.678541005260473	0.624568481019461
AHRR	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AIP	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AIRE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AKNA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ALX1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ALX3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ALX4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ANKRD1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AP1	7.69723565978556	4.58836386759591e-13	1.10497662762274	0.648457953728316	2.1448964993073	0.189308191274867	1.74753679197922	0.304961166042871	0.365025068392049	0.885307960536269	1.04797924117511	0.590653360835909	3.62707085908335	0.00827715294418873	-2.61386443582986	0.188001555435203	2.54067272119164	0.119962562128475	-0.960076673804217	0.992648160101677	4.17561772894808	0.000762758176144413	4.7504621422366	3.90683156022379e-05
APBB1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
APEX1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AR	0.76339064929648	0.574571145625257	-1.74574809747542	0.432224608818386	-0.697183600604361	0.747959366951173	-0.482308012149668	0.835001854971834	1.48227895878566	0.425859540530419	0.964452292533192	0.633960974265376	1.14947642886935	0.49429968510628	-1.99357345145308	0.426875887167318	0.510807502171702	0.922583902502681	-1.78249274376796	0.992648160101677	3.03510506824706	0.0184093685881894	0.876023950671096	0.527189874584122
ARHGAP35	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ARID1A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ARID1B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ARID3A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ARID3B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ARID4A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ARID4B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ARID5A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ARID5B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ARNT	0.609116233382535	0.642591533342373	-0.15428288684888	0.956400047030013	-0.551697335436307	0.796205789765583	-0.307021435009475	0.885298233015282	2.27691290711163	0.17549398768049	-1.44899329215842	0.423129124587302	-1.21130632084733	0.474133856996676	0.948917873138831	0.761105871027157	-1.18909986200406	0.700175441426116	-1.81825369933838	0.992648160101677	2.69299085902847	0.039897762496576	0.411933296904953	0.781938809363727
ARNT2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ARX	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ASCL1	2.61161130123008	0.0263505643797141	-0.211752386181474	0.944646291754153	2.43852404438732	0.189308191274867	2.06774017631732	0.241132168550345	1.34101549087754	0.48894662057957	-2.03821406999819	0.240649405497425	1.12656695731744	0.504561490157484	0.453711489148333	0.90337590385945	1.19866567930474	0.700175441426116	-0.193247577288114	0.992648160101677	0.896753385864119	0.567762757271514	3.98916589046773	0.00102111301860226
ASCL2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ASCL4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ASH1L	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ASXL1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ATF1	1.51000246154283	0.236491296045581	0.622683748905657	0.814614246381616	1.25334360468669	0.522631393039703	0.0426741226655016	0.984043907700491	-0.0644341465181097	0.978269058440065	0.113097688849919	0.958589633909085	1.29691771445124	0.445211333290463	1.8258758841128	0.505733214533829	-1.2674635600478	0.690439805816526	0.608089616032589	0.992648160101677	2.02557389155362	0.134034270761825	-0.759488137847517	0.59078000167237
