nes_NAS_1_vs_NAS_0	fdr_NAS_1_vs_NAS_0	nes_NAS_2_vs_NAS_1	fdr_NAS_2_vs_NAS_1	nes_NAS_3_vs_NAS_2	fdr_NAS_3_vs_NAS_2	nes_NAS_4_vs_NAS_3	fdr_NAS_4_vs_NAS_3	nes_NAS_5_vs_NAS_4	fdr_NAS_5_vs_NAS_4	nes_NAS_6_vs_NAS_5	fdr_NAS_6_vs_NAS_5	nes_NAS_7_vs_NAS_6	fdr_NAS_7_vs_NAS_6
ABL1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ADNP	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ADNP2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AEBP1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AEBP2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AHR	-0.623875046782355	0.769099555796086	0.968697394147891	0.786715534571812	0.466731705963271	0.978420451943337	0.559634365623018	0.718883062222547	1.78749645302511	0.208061375720897	0.443739813294962	0.976172081720909	1.48954763057808	0.431442246070823
AHRR	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AIP	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AIRE	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AKNA	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ALX1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ALX3	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ALX4	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ANKRD1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AP1	3.93796062275036	0.00189829045353671	0.424377273645515	0.928846269587052	0.186312570382362	0.978420451943337	3.49693285199786	0.00517704308581451	5.55509759527578	9.15607093601118e-07	-0.367158216242004	0.976172081720909	3.91260811697954	0.00840736101062759
APBB1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
APEX1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AR	0.822098381189668	0.650313900409384	-2.7147106860474	0.186178365982038	1.13860438253387	0.978420451943337	0.312381743494113	0.858853929907223	-0.0796479493449345	0.974720360749527	1.054927090717	0.962321347823288	2.03617034687324	0.283540629188773
ARHGAP35	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ARID1A	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ARID1B	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ARID3A	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ARID3B	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ARID4A	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ARID4B	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ARID5A	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ARID5B	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ARNT	-0.0315496025953924	0.983345044572103	1.15296442191904	0.709897187721409	-0.232119180962656	0.978420451943337	-0.984164834298464	0.53250328573685	-0.681403885247897	0.669516303783951	0.408537732054135	0.976172081720909	0.38992135223868	0.879308069399151
ARNT2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ARX	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ASCL1	-1.38910711359535	0.390245708172099	2.20019587895328	0.356676840633786	-1.05515209787081	0.978420451943337	1.9915829599698	0.144493676179894	1.63750316261051	0.267388933102162	0.0737960640381001	0.984194289847463	1.60322402507845	0.382451510204153
ASCL2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ASCL4	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ASH1L	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ASXL1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ATF1	1.7393377883375	0.266708579070327	-0.957336115782424	0.786715534571812	0.548101048917292	0.978420451943337	2.38603860762527	0.0702527225046133	0.603833558559197	0.708513733819893	0.961841090267538	0.962321347823288	2.05279998487052	0.280643860125048
ATF2	1.6971399678127	0.272550217692941	-0.90106140382922	0.822203281210393	1.11212047509562	0.978420451943337	3.20647243149128	0.0129334185566642	2.57185838005437	0.0486804879664764	1.69364417390609	0.962321347823288	1.78262123783263	0.344873668875035
ATF3	0.904758900118237	0.598950446519217	-0.3562933107704	0.928846269587052	1.54360293587423	0.978420451943337	2.10001476282695	0.121368563497167	1.02845904769239	0.483879595268566	0.30769380694334	0.976172081720909	0.965890871259187	0.659630945824183
ATF4	1.562804443146	0.310008821881575	-1.67710846352776	0.532105822667991	1.36538004448672	0.978420451943337	1.70788460344615	0.235460274064156	0.668317189598697	0.673572152075645	0.470090895030456	0.976172081720909	2.01021618227774	0.284761669865183
ATF5	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ATF6	4.87867800204867	0.000246706276142532	-3.31584992547029	0.0588806194556527	1.17098409402352	0.978420451943337	3.10211168752812	0.0158519995864671	0.789856723541344	0.620251527468963	0.700177763925912	0.962321347823288	0.886799805201251	0.704618910348326
ATF6B	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ATF7	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ATOH1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ATOH7	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ATOH8	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ATRX	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BACH1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BACH2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BARHL2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BARX1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BARX2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BATF	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BATF2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BATF3	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BBX	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BCL11A	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BCL11B	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BCL3	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BCL6	1.72083692879185	0.269783745018326	0.886524453852788	0.822203281210393	-0.851637993997283	0.978420451943337	-1.37284789364476	0.344067687736911	2.55797869771748	0.0496331981085856	-1.2034531303553	0.962321347823288	0.195430372712677	0.945245380690548
BCL6B	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BCLAF1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BCOR	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BHLHA15	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BHLHE22	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BHLHE23	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BHLHE40	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BHLHE41	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BMAL1	0.391734876207902	0.882604054841882	-0.379271928218123	0.928846269587052	-0.355691799049705	0.978420451943337	-0.85237497308027	0.598785443515666	0.867612966706006	0.582189821696339	0.558434255576319	0.976172081720909	0.447270465878193	0.869143857333691
BMAL2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BPTF	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BRCA1	0.547438871606072	0.817708158328369	-0.991692853572335	0.773242128867977	-0.508964454160376	0.978420451943337	0.18739433490683	0.906277364922647	1.48989139676511	0.296928258704345	-0.0586405981504394	0.987435265983899	0.460906013056835	0.863500125481444
BRD4	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BRD7	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BSX	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BTAF1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BTG2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CAMTA1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CARF	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CASZ1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CBFA2T3	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CBFB	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CC2D1A	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CC2D1B	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CCDC62	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CCND1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CDC5L	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CDX1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CDX2	0.299418609647572	0.89321949000788	1.6748126724912	0.532105822667991	-0.489277142173376	0.978420451943337	0.29597399870548	0.867796148083194	-0.0763570118292321	0.974720360749527	0.705659510510644	0.962321347823288	-0.151972637630294	0.945245380690548
CDX4	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CEBPA	-0.259896667921337	0.902409652210158	0.77720808099509	0.855553555385704	-0.456797247428986	0.978420451943337	-1.17980536215822	0.423045646177777	0.883791845458169	0.573558053531852	-2.50565110801644	0.564684854840983	1.23321325199371	0.540978198094148
CEBPB	2.42305639617693	0.0952947770758617	0.40758361361726	0.928846269587052	0.219407864978657	0.978420451943337	1.29899422288653	0.370272775519231	1.42101252448002	0.320333306747162	0.0132626358625372	0.994352278424599	1.76154746278147	0.347147631259433
CEBPD	1.80018209511386	0.262973920662313	-0.141570904070877	0.966397351123826	0.823438744424648	0.978420451943337	0.876285475428874	0.590562919327179	1.99367432232452	0.148185400473051	0.913630645017043	0.962321347823288	0.785874280394387	0.733664736837223
CEBPE	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CEBPG	1.07618252329548	0.533658537047404	0.85893498279194	0.827311427107514	1.40011485415774	0.978420451943337	-0.138960873986197	0.935249677246221	2.11769463307565	0.121544870860161	-0.599050025899326	0.976172081720909	2.59823161591707	0.113925874130604
CEBPZ	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CGGBP1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CHD4	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CIC	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CIITA	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CITED2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CLOCK	0.687530068372937	0.732864280246629	-0.373997490848666	0.928846269587052	-0.320584807118561	0.978420451943337	-0.625500542678755	0.69210368066977	-0.314596616327996	0.852298695098072	0.87691565603203	0.962321347823288	-0.12764669645725	0.947657537956056
CNOT4	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CNOT7	1	1	1	1	1	1	1	1	1	1	1	1	1	1
COPS5	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CREB1	2.93312241692861	0.0322987617122307	1.24789663325951	0.681127495389319	0.39052373770881	0.978420451943337	1.40685321209535	0.337961307305225	3.23553645755019	0.00849900654875645	0.495719609726499	0.976172081720909	1.61460210660142	0.382451510204153
CREB3	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CREB3L1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CREB3L2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CREB3L3	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CREB3L4	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CREB5	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CREBBP	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CREBL2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CREBRF	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CREBZF	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CREG1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CREM	-0.63494673421285	0.766872395653447	-0.962851506793037	0.786715534571812	-0.299481278433764	0.978420451943337	-1.95701315721309	0.151037764421299	0.376997412959457	0.819731391191181	0.121653194875115	0.984194289847463	-1.84429932972517	0.327113722404807
CRX	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CTBP1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CTBP2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CTCF	1.98320530138277	0.201146197857909	-1.93166033804557	0.474451283616697	0.98123749587305	0.978420451943337	-0.33614454438807	0.850959958907884	-0.313862218876585	0.852298695098072	0.359206003087596	0.976172081720909	0.705538628364185	0.749930732929822
CTCFL	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CTNNB1	1.7550726673288	0.265304768356888	-0.296610511853898	0.936177224214436	0.405977041942196	0.978420451943337	2.00921907085761	0.140859072686222	1.90031981042843	0.169966136984308	1.24122278904304	0.962321347823288	2.12534208051075	0.258397211361678
