"ensembl_gene_id","Mild_vs_Control_log2FoldChange","Mild_vs_Control_pvalue","Mild_vs_Control_padj","Moderate_vs_Mild_log2FoldChange","Moderate_vs_Mild_pvalue","Moderate_vs_Mild_padj","Severe_vs_Moderate_log2FoldChange","Severe_vs_Moderate_pvalue","Severe_vs_Moderate_padj","external_gene_name"
"1","ENSG00000000003",0.0324325193638524,0.800012092272842,0.917144170204444,0.0145534418739501,0.751622979892742,0.910739478112915,0.0532258222257063,0.216061565813229,0.458206336316798,"TSPAN6"
"2","ENSG00000000005",0,1,1,-0.218687365651895,0.399085275446842,0.709057901835691,0.538728623794298,0.0494671462784425,0.198859869405422,"TNMD"
"3","ENSG00000000419",0.232826964459722,0.0431593723061168,0.217938994277508,0.0559606126415825,0.201880583859979,0.527050319392246,0.0394087642928944,0.463897333389689,0.688037664387861,"DPM1"
"4","ENSG00000000457",-0.0252447003467154,0.655652573230797,0.846168039659133,-0.110887241986943,0.000183486336032524,0.017245132888914,-0.0103493628918348,0.770520592917796,0.885931994137061,"SCYL3"
"5","ENSG00000000460",-0.0999732195223903,0.532660334427891,0.773471930083654,-0.158607659150184,0.0483817339580009,0.273351993910956,-0.131536307675878,0.102781409429019,0.302206947077738,"C1orf112"
"6","ENSG00000000938",0.322056571951157,0.231249314801464,0.523471657606658,0.241482547420905,0.014861334477015,0.155384216081172,0.0782610809789689,0.405312994545582,0.63865883808773,"FGR"
"7","ENSG00000000971",0.121552216778957,0.225451552869234,0.517005236924664,-0.0645960554405278,0.155070272623304,0.471619136938065,-0.0472201396492722,0.304459307262132,0.548269089188192,"CFH"
"8","ENSG00000001036",-0.0555176878627808,0.533045757503868,0.773792038959678,0.122088394057862,0.00395433853912716,0.0798065912731171,0.120484982936147,0.0249688935230016,0.135503797524179,"FUCA2"
"9","ENSG00000001084",-0.284357980838093,0.018810406175715,0.137716564161538,0.0184224655168124,0.710081513304454,0.891999598893415,-0.159846686359096,0.0013256140319451,0.02386342709245,"GCLC"
"10","ENSG00000001167",-0.092865162056276,0.34674458473569,0.636171352098512,0.0648787367504148,0.126169415396597,0.427678341864574,-0.0105811335701225,0.812331377910085,0.907614655948742,"NFYA"
"11","ENSG00000001460",0.0194941159367238,0.873411555588533,0.949998335393939,-0.00562681901009239,0.926829193973244,0.975086675574538,0.115488808080957,0.125108723975962,0.337181303413645,"STPG1"
"12","ENSG00000001461",0.0359798073367951,0.73393625596337,0.887219966682198,0.0183836601505486,0.632682099549685,0.853077887785537,-0.0541946180305623,0.249099233049594,0.493848768639359,"NIPAL3"
"13","ENSG00000001497",0.0834537337656841,0.391545524786161,0.672488743155757,-0.0533486989272152,0.131965790400558,0.438277359521325,-0.123670196636726,0.000911941985161919,0.0193018112712779,"LAS1L"
"14","ENSG00000001561",0.758086018114488,0.0011108471464712,0.0277638829190865,0.0431169600732192,0.552452839903216,0.811301048491682,-0.0684536368348637,0.328309198475448,0.572796227686114,"ENPP4"
"15","ENSG00000001617",0.442256884430787,0.0516210116196257,0.241665283612935,-0.0599349521328797,0.496837577511922,0.777932286899452,-0.138152076427746,0.117366569853245,0.325592562134718,"SEMA3F"
"16","ENSG00000001626",0.0744116210746365,0.632428354939658,0.833043476772114,0.160741272375033,0.105415695614434,0.392512469999095,0.668424653195618,1.85154706668955e-05,0.00144853275656619,"CFTR"
"17","ENSG00000001629",-0.103576316657499,0.32886242450071,0.619709442548769,0.0627284135461109,0.0885827495694684,0.361959775387536,0.000639677571938323,0.983960289392989,0.992616483792325,"ANKIB1"
"18","ENSG00000001630",0.723460391875752,0.0367962139053822,0.200347957751457,0.269664114831252,0.147221417802423,0.460646483288156,0.420008699158459,0.0277909989016601,0.143350837544048,"CYP51A1"
"19","ENSG00000001631",-0.0432109107455803,0.660569345536618,0.847429300624092,0.0038599144736842,0.914397102885095,0.970921401409211,-0.0871208115917719,0.0226885629155627,0.127724250279876,"KRIT1"
"20","ENSG00000002016",-0.298108535076244,0.0133482831566925,0.111887124051837,-0.0687567707418389,0.186172038636783,0.510461376663416,-0.143618279965834,0.0176108795231139,0.110967762505071,"RAD52"
"21","ENSG00000002330",0.00716313577203556,0.959868905269247,0.983525434450365,-0.0417062128750728,0.44832117025641,0.74403534807134,0.189363216515665,0.0191493053685885,0.116200677956111,"BAD"
"22","ENSG00000002549",0.0904405886651524,0.483293694186678,0.739581034296096,-0.00285481621763326,0.957242400449042,0.984072568273864,-0.0489576892810037,0.34143186970365,0.583707991685746,"LAP3"
"23","ENSG00000002586",-0.0124753551749452,0.86127344677669,0.945678447752071,-0.0328986002301037,0.307752752587745,0.638000303264104,0.112523526131122,0.0176915194408447,0.111182964894378,"CD99"
"24","ENSG00000002587",0.201979504688508,0.320796733650214,0.612129992798212,0.204906272867593,0.141032166320675,0.451868084062189,0.230745947305289,0.146890927398664,0.367833798945424,"HS3ST1"
"25","ENSG00000002726",-0.436156608857585,0.57878752583295,0.800399155251601,-0.689419760397285,0.0594445522860885,0.303153012464957,-0.102995841760654,0.779705123724833,0.890815121188064,"AOC1"
"26","ENSG00000002745",0,1,1,-0.282976716843726,0.200656071787282,0.526226574310253,-0.045920774779766,0.837425729091959,0.921312799482804,"WNT16"
"27","ENSG00000002746",0.0930592530828225,0.722622270577326,0.881863215994184,-0.00634200478138041,0.953278889344146,0.983580115824387,0.17632692188041,0.252043495380833,0.496907371972001,"HECW1"
"28","ENSG00000002822",-0.0758796119634791,0.628681437419844,0.830868420914236,-0.139781674178999,0.0408764087729845,0.249600464478619,0.0292341349324348,0.703124862211881,0.847923103302695,"MAD1L1"
"29","ENSG00000002834",0.358954751799111,0.00112512414675785,0.027840201411727,0.0719145667615117,0.142081558915672,0.453405744865799,0.0902083712194544,0.0655288485014663,0.232877092254627,"LASP1"
"30","ENSG00000002919",0.133714687147484,0.26144572134076,0.556079007021963,0.0273078502267705,0.622553261048822,0.849410671567213,-0.0122142142868914,0.838019425567442,0.92132587812968,"SNX11"
"31","ENSG00000002933",0.129041811806037,0.449177529762886,0.714790906706956,-0.0805465012560869,0.293019627074593,0.623319571634639,0.14516910700552,0.071151918015014,0.244805879861768,"TMEM176A"
"32","ENSG00000003056",0.0664152693415858,0.520788957570494,0.765622602870823,0.0985046517987299,0.0289905517406319,0.211080887172516,-0.0155468346696421,0.728755020831233,0.863184933265633,"M6PR"
"33","ENSG00000003096",-0.612955933098608,0.0490881517245258,0.234128057666825,0.178392030309843,0.170252634934173,0.489785873506176,-0.140207009457484,0.268971045839309,0.513995348640762,"KLHL13"
"34","ENSG00000003137",-0.165976868306104,0.731495696661438,0.886536398364644,-0.432646019937637,0.0560308491702335,0.293727577136189,0.200660689745106,0.392802792660224,0.627390226551944,"CYP26B1"
"35","ENSG00000003147",0.338969407697245,0.377411382050679,0.661678818089596,0.02069323476803,0.909936916489786,0.969211369607229,-0.350395905982162,0.0523299123486273,0.204793686895914,"ICA1"
