term	term_id	variable	odds_ratio	overlap	p.value	adj.p.value	log10pvalue	genes
ATF4 activates genes in response to endoplasmic reticulum  stress R-HSA-380994	R-HSA-380994	Fibrosis	21.3213424581648	5/27	9.64858514057541e-06	0.000385683727835683	3.41376868382063	NFYA;ATF4;NFYB;ATF3;CEBPB
ATF6 (ATF6-alpha) activates chaperone genes R-HSA-381183	R-HSA-381183	Fibrosis	39.5666736488871	3/10	0.000145279821087739	0.00318655078650297	2.49667915544483	ATF4;NFYB;NFYA
ATF6 (ATF6-alpha) activates chaperones R-HSA-381033	R-HSA-381033	Fibrosis	30.788437840742	3/12	0.000262110032616378	0.00516792366941487	2.28668390952472	ATF4;NFYB;NFYA
Activation of BH3-only proteins R-HSA-114452	R-HSA-114452	Fibrosis	14.3220889053923	4/30	0.000300764729637791	0.00586933523866689	2.23141108419146	TFDP1;E2F1;TP63;TP53
Activation of HOX genes during differentiation R-HSA-5619507	R-HSA-5619507	Fibrosis	5.768261990732	7/122	0.00037589593149212	0.00688019173917301	2.16239945855163	HOXD3;RXRA;CTCF;SUZ12;JUN;YY1;RARA
Activation of NOXA and translocation to mitochondria R-HSA-111448	R-HSA-111448	Fibrosis	137.646461265884	3/5	1.26026192569104e-05	0.000471089457856904	3.32689661439009	TFDP1;E2F1;TP53
Activation of PUMA and translocation to mitochondria R-HSA-139915	R-HSA-139915	Fibrosis	74.2416303935542	4/9	1.65221756178042e-06	8.94894981421476e-05	4.04822792743852	TFDP1;E2F1;TP53;TP63
Activation of anterior HOX genes in hindbrain development during early embryogenesis R-HSA-5617472	R-HSA-5617472	Fibrosis	5.768261990732	7/122	0.00037589593149212	0.00688019173917301	2.16239945855163	HOXD3;RXRA;CTCF;SUZ12;JUN;YY1;RARA
Activation of gene expression by SREBF (SREBP) R-HSA-2426168	R-HSA-2426168	Fibrosis	12.6717985160845	5/42	8.91666321360382e-05	0.00215134765171859	2.66728940317687	RXRA;NFYA;NFYB;SP1;SREBF1
Activation of the AP-1 family of transcription factors R-HSA-450341	R-HSA-450341	Fibrosis	39.5666736488871	3/10	0.000145279821087739	0.00318655078650297	2.49667915544483	FOS;JUN;ATF2
Adherens junctions interactions R-HSA-418990	R-HSA-418990	Fibrosis	6.87919342165412	4/58	0.00367914687493629	0.0435913205628612	1.36059997419231	CTNNB1;SNAI1;ILF3;SP1
Adipogenesis R-HSA-9843745	R-HSA-9843745	Fibrosis	10.9162722579466	11/110	2.94575387011821e-08	3.72287179585416e-06	5.42912191927765	NFKB1;SREBF1;SMAD4;RXRA;KLF4;CEBPD;KLF5;CEBPB;PPARG;RELA;CEBPA
Apoptosis R-HSA-109581	R-HSA-109581	Fibrosis	3.83737878498894	7/179	0.00349215018005982	0.0429744449449448	1.36678972392315	TFDP1;STAT3;CTNNB1;SATB1;TP63;TP53;E2F1
Binding of TCF/LEF:CTNNB1 to target gene promoters R-HSA-4411364	R-HSA-4411364	Fibrosis	55.4168505182844	3/8	6.88940664761495e-05	0.00172495143799718	2.76322312697142	CTNNB1;MYC;TCF7L2
CLEC7A/inflammasome pathway R-HSA-5660668	R-HSA-5660668	Fibrosis	45.754769402955	2/6	0.00173278405453345	0.0239521295871447	1.62065586735049	RELA;NFKB1
Calcineurin activates NFAT R-HSA-2025928	R-HSA-2025928	Fibrosis	26.1729567023197	2/9	0.0040701016298866	0.0477966802022966	1.32060226698396	NFATC2;NFATC1
Cardiogenesis R-HSA-9733709	R-HSA-9733709	Fibrosis	16.1886418862166	4/27	0.00019755471313955	0.0041411676694888	2.38287718522822	SMAD4;CTNNB1;SRF;KAT2A
Cell recruitment (pro-inflammatory response) R-HSA-9664424	R-HSA-9664424	Fibrosis	12.0431075116411	3/26	0.00277001280373292	0.0353442979860922	1.45168063994112	NFKB1;NFKB2;RELA
Cellular Senescence R-HSA-2559583	R-HSA-2559583	Fibrosis	7.01450616645308	13/197	2.2611523439916e-07	2.30811473882835e-05	4.63674260574099	NFKB1;TFDP1;HMGA1;STAT3;SP1;CEBPB;SUZ12;JUN;FOS;TP53;E2F1;ETS1;RELA
Cellular response to chemical stress R-HSA-9711123	R-HSA-9711123	Fibrosis	5.27562772031697	11/214	2.20650761179001e-05	0.000741274835657049	3.13002074279042	SIN3A;NFKB1;RXRA;STAT3;MYC;SP1;NOTCH1;ATF4;NFE2L2;BRCA1;RELA
Cellular responses to stimuli R-HSA-8953897	R-HSA-8953897	Fibrosis	3.9602645187093	29/832	1.55176956390801e-08	2.16757706453256e-06	5.66402545297227	SIN3A;PGR;HMGA1;CEBPB;NOTCH1;FOS;CREB1;TP53;NFYA;E2F1;ETS1;NFKB1;HIF1A;NFYB;STAT3;JUN;ATF2;BRCA1;AR;RXRA;MYC;ATF3;SP1;NR3C1;ATF4;NFE2L2;TFDP1;SUZ12;RELA
Cellular responses to stress R-HSA-2262752	R-HSA-2262752	Fibrosis	4.03589697570238	29/818	1.06168910376974e-08	1.56540160078049e-06	5.80537422640614	SIN3A;PGR;HMGA1;CEBPB;NOTCH1;FOS;CREB1;TP53;NFYA;E2F1;ETS1;NFKB1;HIF1A;NFYB;STAT3;JUN;ATF2;BRCA1;AR;RXRA;MYC;ATF3;SP1;NR3C1;ATF4;NFE2L2;TFDP1;SUZ12;RELA
Circadian Clock R-HSA-400253	R-HSA-400253	Fibrosis	8.84862772087291	6/70	0.000112729844391317	0.00257918109495306	2.58851816318287	ATF2;NR3C1;RXRA;HIF1A;CREB1;SREBF1
Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants R-HSA-2894862	R-HSA-2894862	Fibrosis	6.87919342165412	4/58	0.00367914687493629	0.0435913205628612	1.36059997419231	MYC;NOTCH1;RBPJ;KAT2A
Constitutive Signaling by NOTCH1 PEST Domain Mutants R-HSA-2644606	R-HSA-2644606	Fibrosis	6.87919342165412	4/58	0.00367914687493629	0.0435913205628612	1.36059997419231	MYC;NOTCH1;RBPJ;KAT2A
Cyclin A:Cdk2-associated events at S phase entry R-HSA-69656	R-HSA-69656	Fibrosis	5.84084201112735	5/85	0.00236558819649481	0.0313913553674861	1.50318993259838	TFDP1;MYC;MAX;E2F4;E2F1
Cyclin E associated events during G1/S transition  R-HSA-69202	R-HSA-69202	Fibrosis	5.99161566200592	5/83	0.00213048235794178	0.0287020313602918	1.54208736537939	TFDP1;MYC;MAX;E2F4;E2F1
Cytokine Signaling in Immune system R-HSA-1280215	R-HSA-1280215	Fibrosis	4.20145566927778	29/789	4.69981027388303e-09	7.79581029180348e-07	6.10813873782345	BCL6;STAT1;EGR1;CEBPD;ILF3;STAT2;FOS;CREB1;TP53;PML;NFKB1;HIF1A;SMAD3;STAT6;STAT3;IRF8;CIITA;JUN;ATF2;STAT5A;IRF3;IRF4;IRF1;MYC;NFKB2;IRF5;ILF2;IRF2;RELA
Cytosolic sensors of pathogen-associated DNA  R-HSA-1834949	R-HSA-1834949	Fibrosis	9.76813984619162	6/64	6.79985710550061e-05	0.00172495143799718	2.76322312697142	STAT6;CTNNB1;IRF3;NFKB1;NFKB2;RELA
DEx/H-box helicases activate type I IFN and inflammatory cytokines production  R-HSA-3134963	R-HSA-3134963	Fibrosis	69.1028834704925	3/7	4.34059428459515e-05	0.00121262497171742	2.91627349253564	RELA;NFKB1;NFKB2
Deubiquitination R-HSA-5688426	R-HSA-5688426	Fibrosis	3.69077772825417	11/299	0.00043116472137953	0.00757821967245876	2.12043280983512	AR;HIF1A;SMAD3;KAT2A;SMAD4;MYC;YY1;ESR1;TP53;SMAD2;BRCA1
Developmental Biology R-HSA-1266738	R-HSA-1266738	Fibrosis	4.37869364240527	47/1422	4.77110018081477e-13	1.40694443109804e-10	9.85172305519074	CEBPD;CEBPB;SALL4;MYOD1;TCF4;RUNX1;CREB1;PML;HOXD3;SMAD4;TCF3;JUN;SREBF1;RXRA;MYC;KLF5;SRF;TFDP1;RELA;FLI1;GATA2;GFI1;HNF4A;NOTCH1;NFKB1;STAT3;TCF7L2;RARA;PPARG;KAT2A;CTNNB1;YY1;TP63;SIN3A;KLF4;USF1;TP53;E2F1;SMAD3;FOXA1;SPI1;CTCF;CEBPA;RBPJ;SUZ12;SMAD2;SNAI1
Disease R-HSA-1643685	R-HSA-1643685	Fibrosis	2.71169385567895	43/1881	6.7615483792025e-07	5.22082869248373e-05	4.28226055676622	STAT1;HMGA1;CEBPD;CEBPB;STAT2;RUNX1;CREB1;PML;SMAD4;JUN;IRF4;MYC;SP1;NFE2L2;NFKB2;TFDP1;RELA;TRIM28;ENO1;NR3C1;NELFE;SSRP1;RCOR1;NOTCH1;NFKB1;STAT3;TCF7L2;BRCA1;IRF3;KAT2A;CTNNB1;SIN3A;TP53;E2F1;SMAD3;STAT5A;FOXM1;ESR1;RBPJ;SUZ12;TAF7;SMAD2;TAF1
Diseases of signal transduction by growth factor receptors and second messengers R-HSA-5663202	R-HSA-5663202	Fibrosis	4.42995894770331	19/459	5.36549668915519e-07	4.45000881656809e-05	4.35163912857343	STAT1;CEBPB;NOTCH1;CREB1;TP53;SMAD3;SMAD4;STAT3;JUN;TCF7L2;STAT5A;FOXM1;IRF4;MYC;ESR1;KAT2A;CTNNB1;RBPJ;SMAD2
Downregulation of SMAD2/3:SMAD4 transcriptional activity R-HSA-2173795	R-HSA-2173795	Fibrosis	13.7922466498856	4/31	0.000342417549262008	0.00639983222353077	2.19383141122703	SMAD2;SMAD4;STAT1;SMAD3
Downstream signal transduction R-HSA-186763	R-HSA-186763	Fibrosis	14.8943204912359	4/29	0.00026287479102148	0.00516792366941487	2.28668390952472	STAT5A;STAT6;STAT3;STAT1
Downstream signaling events of B Cell Receptor (BCR) R-HSA-1168372	R-HSA-1168372	Fibrosis	6.15032373888716	5/81	0.00191291043793798	0.0263049963849088	1.57996175355184	REL;NFATC1;NFKB1;NFATC2;RELA
ESR-mediated signaling R-HSA-8939211	R-HSA-8939211	Fibrosis	7.99172551336828	16/220	2.01257755875949e-09	3.80501313068139e-07	6.41964384018838	PGR;SRF;RAD21;USF1;MYC;SP1;USF2;FOXA1;JUN;FOS;YY1;RUNX1;ESR1;CREB1;ATF2;CHD1
Estrogen-dependent gene expression R-HSA-9018519	R-HSA-9018519	Fibrosis	10.4343408930947	14/149	7.86221430513254e-10	1.73885973048515e-07	6.75973545004633	PGR;RAD21;USF1;MYC;SP1;USF2;FOXA1;JUN;FOS;YY1;RUNX1;ESR1;ATF2;CHD1
Estrogen-dependent nuclear events downstream of ESR-membrane signaling R-HSA-9634638	R-HSA-9634638	Fibrosis	13.1910371740116	3/24	0.00219096040614711	0.0292201453161529	1.53431762858494	FOS;SRF;CREB1
FOXO-mediated transcription R-HSA-9614085	R-HSA-9614085	Fibrosis	17.4511035241669	10/66	2.15053492691111e-09	3.80501313068139e-07	6.41964384018838	SMAD2;SMAD4;NR3C1;BCL6;KLF4;NFYA;SIN3A;NFYB;SREBF1;SMAD3
FOXO-mediated transcription of cell cycle genes R-HSA-9617828	R-HSA-9617828	Fibrosis	28.633450453426	4/17	2.91587996073809e-05	0.000913480957401628	3.03930050160273	SMAD2;SMAD4;SMAD3;KLF4
FOXO-mediated transcription of cell death genes R-HSA-9614657	R-HSA-9614657	Fibrosis	21.3062801299725	3/16	0.000646164231050086	0.0108539232228287	1.96441325480554	NFYB;BCL6;NFYA
FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes R-HSA-9615017	R-HSA-9615017	Fibrosis	23.6669989832548	6/30	7.29523909365259e-07	5.22082869248373e-05	4.28226055676622	SMAD2;SMAD4;NR3C1;SIN3A;SREBF1;SMAD3
Formation of axial mesoderm R-HSA-9796292	R-HSA-9796292	Fibrosis	37.2345008884216	4/14	1.25800603786974e-05	0.000471089457856904	3.32689661439009	CTNNB1;SMAD2;FOXA1;SMAD3
