tf	module	database	p.value	adj_p.value	overlap	odds_ratio
E2F6	MEbrown	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.000155146152102336	0.000461005709104084	451/2026	1.25169670550802
YY1	MEbrown	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	3.32656599128588e-40	6.91925726187463e-39	554/1781	2.25173832943136
CHD1	MEbrown	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.00400407441915047	0.0094641758998102	105/427	1.37684351357759
SRF	MEbrown	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	3.11254709698454e-07	1.22192855622551e-06	67/193	2.25566416063
IRF3	MEbrown	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.00247200689442303	0.00597880737255803	98/389	1.42222113894259
MAX	MEbrown	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	4.01998901866682e-26	4.64532064379277e-25	427/1420	2.02379752968132
SP2	MEbrown	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	3.17231452097008e-07	1.22192855622551e-06	176/646	1.61506484327759
RCOR1	MEbrown	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.00577174973026073	0.0130491733031982	113/469	1.34019523454077
PML	MEbrown	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	2.10348506295276e-31	2.73453058183859e-30	335/978	2.42323619512765
CREB1	MEbrown	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	2.08007569031269e-25	1.96661701629563e-24	427/1430	2.00063423592384
TRIM28	MEbrown	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.0217200232878251	0.0451776484386762	21/70	1.79035091085017
ZBTB7A	MEbrown	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.0139665028307164	0.0302607561332189	296/1369	1.17469928039365
ELF1	MEbrown	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	2.19108787970296e-51	7.59577131630359e-50	549/1637	2.56069184681537
NR2C2	MEbrown	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	5.70626033216177e-11	3.12342670813065e-10	89/239	2.54011616207681
NFYB	MEbrown	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	2.21102788685976e-14	1.43716812645884e-13	585/2353	1.5491023516651
GABPA	MEbrown	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	3.64667217548825e-71	3.79253906250778e-69	538/1420	3.16526122050408
FLI1	MEbrown	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	1.07547803452498e-19	9.32080963254983e-19	170/459	2.59111503812959
BCL3	MEbrown	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	2.86965609742911e-05	9.32638231664461e-05	52/157	2.08910792744461
STAT3	MEbrown	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.00119984737637583	0.00311960317857716	112/444	1.42818856661804
MYC	MEbrown	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	8.67726591541559e-41	2.25608913800805e-39	363/998	2.71206079450179
NELFE	MEbrown	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	7.95889057835031e-05	0.000250825642469222	44/131	2.12900901069691
YY1	MEbrown	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	7.77782546245284e-11	4.04446924047548e-10	84/222	2.60273990332139
USF1	MEbrown	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.000175295473376372	0.000492722411652505	218/908	1.35515252584264
SPI1	MEbrown	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	2.49102988034558e-05	8.35700346954646e-05	247/1016	1.38678651926477
HNF4A	MEbrown	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.000477881066874794	0.00127434951166612	183/759	1.3558388049257
EGR1	MEbrown	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.000131548106647123	0.000402382443861788	95/346	1.60426582769946
NFYA	MEbrown	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	1.94132624768614e-08	8.77817085910255e-08	360/1451	1.46143323758964
TAF7	MEbrown	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	2.75931870118523e-14	1.68805379366626e-13	130/360	2.4512893244501
E2F1	MEbrown	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	3.57263632238294e-07	1.32697920545652e-06	165/599	1.63713213916134
CREB1	MEbrown	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	5.62065449053627e-10	2.78356222388463e-09	270/1004	1.61945990409272
SIN3A	MEbrown	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	4.62840723174909e-11	2.67419084501059e-10	215/744	1.78000965137207
BCLAF1	MEbrown	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	1.33622363802458e-18	9.92623273961117e-18	183/518	2.4100618087423
BRCA1	MEbrown	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	3.17578800844302e-34	5.50469921463457e-33	600/2060	2.04838173177045
KLF4	MEbrown	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.000168260728378115	0.000486086548647888	160/639	1.42525107590651
PBX3	MEbrown	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.0152027908219952	0.0322671478670919	182/814	1.21855533140125
ATF3	MEbrown	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.00630114367546685	0.0139429562180543	23/71	2.0042187004686
SIX5	MEbrown	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	3.92540082103213e-17	2.72161123591561e-16	228/711	2.09740623753108
ATF2	MEbrown	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	3.17406760333918e-33	4.71575758210392e-32	543/1823	2.08063967418838
ZMIZ1	MEbrown	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	2.99330102570886e-09	1.4150150303351e-08	165/562	1.7987861213215
TAF1	MEbrown	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	7.73989659764558e-63	4.0247462307757e-61	704/2172	2.60399267766838
MYC	MEbrown	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	9.35541145443587e-26	9.7296279126133e-25	169/408	3.13407164157205
ZBTB33	MEbrown	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	3.0035171510979e-08	1.30152409880909e-07	133/444	1.83776347793632
CTCF	MEbrown	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.000425630780285779	0.00116488424078213	271/1173	1.29160334417738
