"ensembl_gene_id"	"gene_symbol"	"module_label"	"module_color"
"1"	"ENSG00000001167"	"NFYA"	1	"MEturquoise"
"2"	"ENSG00000001497"	"LAS1L"	1	"MEturquoise"
"3"	"ENSG00000002016"	"RAD52"	1	"MEturquoise"
"4"	"ENSG00000002726"	"AOC1"	1	"MEturquoise"
"5"	"ENSG00000003400"	"CASP10"	1	"MEturquoise"
"6"	"ENSG00000003987"	"MTMR7"	1	"MEturquoise"
"7"	"ENSG00000003989"	"SLC7A2"	1	"MEturquoise"
"8"	"ENSG00000004139"	"SARM1"	1	"MEturquoise"
"9"	"ENSG00000004777"	"ARHGAP33"	1	"MEturquoise"
"10"	"ENSG00000004838"	"ZMYND10"	1	"MEturquoise"
"11"	"ENSG00000004975"	"DVL2"	1	"MEturquoise"
"12"	"ENSG00000005007"	"UPF1"	1	"MEturquoise"
"13"	"ENSG00000005156"	"LIG3"	1	"MEturquoise"
"14"	"ENSG00000005339"	"CREBBP"	1	"MEturquoise"
"15"	"ENSG00000005379"	"TSPOAP1"	1	"MEturquoise"
"16"	"ENSG00000005981"	"ASB4"	1	"MEturquoise"
"17"	"ENSG00000006047"	"YBX2"	1	"MEturquoise"
"18"	"ENSG00000006116"	"CACNG3"	1	"MEturquoise"
"19"	"ENSG00000006194"	"ZNF263"	1	"MEturquoise"
"20"	"ENSG00000006283"	"CACNA1G"	1	"MEturquoise"
"21"	"ENSG00000006377"	"DLX6"	1	"MEturquoise"
"22"	"ENSG00000006432"	"MAP3K9"	1	"MEturquoise"
"23"	"ENSG00000006607"	"FARP2"	1	"MEturquoise"
"24"	"ENSG00000006638"	"TBXA2R"	1	"MEturquoise"
"25"	"ENSG00000006756"	"ARSD"	1	"MEturquoise"
"26"	"ENSG00000007174"	"DNAH9"	1	"MEturquoise"
"27"	"ENSG00000007202"	"KIAA0100"	1	"MEturquoise"
"28"	"ENSG00000007516"	"BAIAP3"	1	"MEturquoise"
"29"	"ENSG00000007545"	"CRAMP1"	1	"MEturquoise"
"30"	"ENSG00000007923"	"DNAJC11"	1	"MEturquoise"
"31"	"ENSG00000008056"	"SYN1"	1	"MEturquoise"
"32"	"ENSG00000008226"	"DLEC1"	1	"MEturquoise"
"33"	"ENSG00000008323"	"PLEKHG6"	1	"MEturquoise"
"34"	"ENSG00000008405"	"CRY1"	1	"MEturquoise"
"35"	"ENSG00000008438"	"PGLYRP1"	1	"MEturquoise"
"36"	"ENSG00000008513"	"ST3GAL1"	1	"MEturquoise"
"37"	"ENSG00000008710"	"PKD1"	1	"MEturquoise"
"38"	"ENSG00000008735"	"MAPK8IP2"	1	"MEturquoise"
"39"	"ENSG00000009950"	"MLXIPL"	1	"MEturquoise"
"40"	"ENSG00000010292"	"NCAPD2"	1	"MEturquoise"
"41"	"ENSG00000010295"	"IFFO1"	1	"MEturquoise"
"42"	"ENSG00000010322"	"NISCH"	1	"MEturquoise"
"43"	"ENSG00000010379"	"SLC6A13"	1	"MEturquoise"
"44"	"ENSG00000010803"	"SCMH1"	1	"MEturquoise"
"45"	"ENSG00000011007"	"ELOA"	1	"MEturquoise"
"46"	"ENSG00000011021"	"CLCN6"	1	"MEturquoise"
"47"	"ENSG00000011143"	"MKS1"	1	"MEturquoise"
"48"	"ENSG00000011243"	"AKAP8L"	1	"MEturquoise"
"49"	"ENSG00000011275"	"RNF216"	1	"MEturquoise"
"50"	"ENSG00000011332"	"DPF1"	1	"MEturquoise"
"51"	"ENSG00000011478"	"QPCTL"	1	"MEturquoise"
"52"	"ENSG00000012124"	"CD22"	1	"MEturquoise"
"53"	"ENSG00000012232"	"EXTL3"	1	"MEturquoise"
"54"	"ENSG00000013288"	"MAN2B2"	1	"MEturquoise"
"55"	"ENSG00000013523"	"ANGEL1"	1	"MEturquoise"
"56"	"ENSG00000013573"	"DDX11"	1	"MEturquoise"
"57"	"ENSG00000013588"	"GPRC5A"	1	"MEturquoise"
"58"	"ENSG00000013619"	"MAMLD1"	1	"MEturquoise"
"59"	"ENSG00000015520"	"NPC1L1"	1	"MEturquoise"
"60"	"ENSG00000015532"	"XYLT2"	1	"MEturquoise"
"61"	"ENSG00000015592"	"STMN4"	1	"MEturquoise"
"62"	"ENSG00000015676"	"NUDCD3"	1	"MEturquoise"
"63"	"ENSG00000016391"	"CHDH"	1	"MEturquoise"
"64"	"ENSG00000018280"	"SLC11A1"	1	"MEturquoise"
"65"	"ENSG00000020256"	"ZFP64"	1	"MEturquoise"
"66"	"ENSG00000021645"	"NRXN3"	1	"MEturquoise"
"67"	"ENSG00000023839"	"ABCC2"	1	"MEturquoise"
"68"	"ENSG00000028310"	"BRD9"	1	"MEturquoise"
"69"	"ENSG00000028528"	"SNX1"	1	"MEturquoise"
"70"	"ENSG00000029639"	"TFB1M"	1	"MEturquoise"
"71"	"ENSG00000031823"	"RANBP3"	1	"MEturquoise"
"72"	"ENSG00000032742"	"IFT88"	1	"MEturquoise"
"73"	"ENSG00000036530"	"CYP46A1"	1	"MEturquoise"
"74"	"ENSG00000037280"	"FLT4"	1	"MEturquoise"
"75"	"ENSG00000037474"	"NSUN2"	1	"MEturquoise"
"76"	"ENSG00000037637"	"FBXO42"	1	"MEturquoise"
"77"	"ENSG00000037757"	"MRI1"	1	"MEturquoise"
"78"	"ENSG00000038382"	"TRIO"	1	"MEturquoise"
"79"	"ENSG00000038532"	"CLEC16A"	1	"MEturquoise"
"80"	"ENSG00000039560"	"RAI14"	1	"MEturquoise"
"81"	"ENSG00000039987"	"BEST2"	1	"MEturquoise"
"82"	"ENSG00000040731"	"CDH10"	1	"MEturquoise"
"83"	"ENSG00000041515"	"MYO16"	1	"MEturquoise"
"84"	"ENSG00000042062"	"RIPOR3"	1	"MEturquoise"
"85"	"ENSG00000042304"	"C2orf83"	1	"MEturquoise"
"86"	"ENSG00000043143"	"JADE2"	1	"MEturquoise"
"87"	"ENSG00000044090"	"CUL7"	1	"MEturquoise"
"88"	"ENSG00000044446"	"PHKA2"	1	"MEturquoise"
"89"	"ENSG00000046647"	"GEMIN8"	1	"MEturquoise"
"90"	"ENSG00000048471"	"SNX29"	1	"MEturquoise"
"91"	"ENSG00000048540"	"LMO3"	1	"MEturquoise"
"92"	"ENSG00000048828"	"FAM120A"	1	"MEturquoise"
"93"	"ENSG00000049239"	"H6PD"	1	"MEturquoise"
"94"	"ENSG00000049618"	"ARID1B"	1	"MEturquoise"
"95"	"ENSG00000049883"	"PTCD2"	1	"MEturquoise"
"96"	"ENSG00000051009"	"FHIP1B"	1	"MEturquoise"
"97"	"ENSG00000051341"	"POLQ"	1	"MEturquoise"
"98"	"ENSG00000052795"	"FNIP2"	1	"MEturquoise"
"99"	"ENSG00000052850"	"ALX4"	1	"MEturquoise"
"100"	"ENSG00000053108"	"FSTL4"	1	"MEturquoise"
"101"	"ENSG00000053254"	"FOXN3"	1	"MEturquoise"
"102"	"ENSG00000053372"	"MRTO4"	1	"MEturquoise"
"103"	"ENSG00000053438"	"NNAT"	1	"MEturquoise"
"104"	"ENSG00000053702"	"NRIP2"	1	"MEturquoise"
"105"	"ENSG00000054356"	"PTPRN"	1	"MEturquoise"
"106"	"ENSG00000054523"	"KIF1B"	1	"MEturquoise"
"107"	"ENSG00000054690"	"PLEKHH1"	1	"MEturquoise"
"108"	"ENSG00000054965"	"FAM168A"	1	"MEturquoise"
"109"	"ENSG00000055163"	"CYFIP2"	1	"MEturquoise"
"110"	"ENSG00000055955"	"ITIH4"	1	"MEturquoise"
"111"	"ENSG00000055957"	"ITIH1"	1	"MEturquoise"
"112"	"ENSG00000057294"	"PKP2"	1	"MEturquoise"
"113"	"ENSG00000057468"	"MSH4"	1	"MEturquoise"
"114"	"ENSG00000057593"	"F7"	1	"MEturquoise"
"115"	"ENSG00000058404"	"CAMK2B"	1	"MEturquoise"
"116"	"ENSG00000058453"	"CROCC"	1	"MEturquoise"
"117"	"ENSG00000058600"	"POLR3E"	1	"MEturquoise"
"118"	"ENSG00000058866"	"DGKG"	1	"MEturquoise"
"119"	"ENSG00000059122"	"FLYWCH1"	1	"MEturquoise"
"120"	"ENSG00000059145"	"UNKL"	1	"MEturquoise"
"121"	"ENSG00000061936"	"SFSWAP"	1	"MEturquoise"
"122"	"ENSG00000061938"	"TNK2"	1	"MEturquoise"
"123"	"ENSG00000062485"	"CS"	1	"MEturquoise"
"124"	"ENSG00000063015"	"SEZ6"	1	"MEturquoise"
"125"	"ENSG00000063127"	"SLC6A16"	1	"MEturquoise"
"126"	"ENSG00000063978"	"RNF4"	1	"MEturquoise"
"127"	"ENSG00000064225"	"ST3GAL6"	1	"MEturquoise"
"128"	"ENSG00000064309"	"CDON"	1	"MEturquoise"
"129"	"ENSG00000064419"	"TNPO3"	1	"MEturquoise"
"130"	"ENSG00000064607"	"SUGP2"	1	"MEturquoise"
"131"	"ENSG00000064692"	"SNCAIP"	1	"MEturquoise"
"132"	"ENSG00000064886"	"CHI3L2"	1	"MEturquoise"
"133"	"ENSG00000064999"	"ANKS1A"	1	"MEturquoise"
"134"	"ENSG00000065000"	"AP3D1"	1	"MEturquoise"
"135"	"ENSG00000065308"	"TRAM2"	1	"MEturquoise"
"136"	"ENSG00000065320"	"NTN1"	1	"MEturquoise"
"137"	"ENSG00000065361"	"ERBB3"	1	"MEturquoise"
