"ensembl_gene_id"	"gene_symbol"	"module_label"	"module_color"
"1"	"ENSG00000002016"	"RAD52"	1	"MEturquoise"
"2"	"ENSG00000003989"	"SLC7A2"	1	"MEturquoise"
"3"	"ENSG00000005007"	"UPF1"	1	"MEturquoise"
"4"	"ENSG00000005156"	"LIG3"	1	"MEturquoise"
"5"	"ENSG00000005339"	"CREBBP"	1	"MEturquoise"
"6"	"ENSG00000005379"	"TSPOAP1"	1	"MEturquoise"
"7"	"ENSG00000006432"	"MAP3K9"	1	"MEturquoise"
"8"	"ENSG00000006607"	"FARP2"	1	"MEturquoise"
"9"	"ENSG00000006756"	"ARSD"	1	"MEturquoise"
"10"	"ENSG00000007202"	"KIAA0100"	1	"MEturquoise"
"11"	"ENSG00000007545"	"CRAMP1"	1	"MEturquoise"
"12"	"ENSG00000007923"	"DNAJC11"	1	"MEturquoise"
"13"	"ENSG00000008226"	"DLEC1"	1	"MEturquoise"
"14"	"ENSG00000008513"	"ST3GAL1"	1	"MEturquoise"
"15"	"ENSG00000008710"	"PKD1"	1	"MEturquoise"
"16"	"ENSG00000009950"	"MLXIPL"	1	"MEturquoise"
"17"	"ENSG00000010295"	"IFFO1"	1	"MEturquoise"
"18"	"ENSG00000010322"	"NISCH"	1	"MEturquoise"
"19"	"ENSG00000010379"	"SLC6A13"	1	"MEturquoise"
"20"	"ENSG00000010803"	"SCMH1"	1	"MEturquoise"
"21"	"ENSG00000011021"	"CLCN6"	1	"MEturquoise"
"22"	"ENSG00000011243"	"AKAP8L"	1	"MEturquoise"
"23"	"ENSG00000011275"	"RNF216"	1	"MEturquoise"
"24"	"ENSG00000012232"	"EXTL3"	1	"MEturquoise"
"25"	"ENSG00000013523"	"ANGEL1"	1	"MEturquoise"
"26"	"ENSG00000013619"	"MAMLD1"	1	"MEturquoise"
"27"	"ENSG00000015676"	"NUDCD3"	1	"MEturquoise"
"28"	"ENSG00000018280"	"SLC11A1"	1	"MEturquoise"
"29"	"ENSG00000020256"	"ZFP64"	1	"MEturquoise"
"30"	"ENSG00000028310"	"BRD9"	1	"MEturquoise"
