term	estimate	std.error	statistic	p.value	conf.low	conf.high	variable	p.value_adjust
MEbrown	1.02836477120638	0.308071779378568	3.33806872307732	0.00121445179909352	0.416595272767669	1.64013426964508	Fibrosis	0.00523243382774336
MEgreen	-0.444066335761191	0.222397612910628	-1.99672258145883	0.0487787655495314	-0.885703918985296	-0.00242875253708508	Fibrosis	0.0687337150925215
MEmagenta	0.561353570696528	0.211512010445189	2.6540032857472	0.00935611170303697	0.141332636598538	0.981374504794517	Fibrosis	0.0241699552328455
MEpurple	0.267339447826352	0.119501160213758	2.23712847095499	0.027666954028148	0.0300338270574401	0.504645068595264	Fibrosis	0.044257604435403
MEred	0.751367616847682	0.178697773467729	4.20468370851509	6.00838841966284e-05	0.396509254075906	1.10622597961946	Fibrosis	0.000620866803365161
MEturquoise	0.664829912199945	0.338959941332863	1.9613819544153	0.0528253117545618	-0.00827735428940835	1.3379371786893	Fibrosis	0.0711993332344093
age	0.203595109562386	0.0740914679463581	2.74788872734696	0.0072042489986061	0.0564641380869628	0.350726081037809	Fibrosis	0.0203028835415263
inflammation	0.187754872443399	0.0825417238816611	2.27466623683048	0.0252242699950768	0.0238433673999642	0.351666377486833	Fibrosis	0.044257604435403
MEbrown	-0.847889542371687	0.364474524786004	-2.3263341734776	0.0221041704862298	-1.57136575602151	-0.124413328721867	Steatosis	0.0437018300009752
MEgreen	0.362120257938835	0.188460981272168	1.92146011070523	0.0576398973137339	-0.0119718332205449	0.736212349098216	Steatosis	0.0744515340302397
MEpink	-0.241329288748799	0.141461366969232	-1.70597311420926	0.0912464732942551	-0.522127882869245	0.0394693053716468	Steatosis	0.0975393335214451
MEsalmon	-0.59559003315835	0.156275534320745	-3.81115339484901	0.000244191314070367	-0.905794517059819	-0.285385549256882	Steatosis	0.00189248268404535
MEturquoise	-1.1859206723675	0.372630899563124	-3.18256127915822	0.00196750264908784	-1.9255871619888	-0.446254182746193	Steatosis	0.00677695356908032
MEblack	-0.677243762949751	0.204779434292716	-3.30718641395251	0.00135030550393377	-1.08401295292357	-0.270474572975931	Ballooning	0.00523243382774336
MEgreenyellow	-0.447862915833159	0.240861103579684	-1.85942399655656	0.0661982728301294	-0.9263039093719	0.0305780777055822	Ballooning	0.0789287099128466
MEmagenta	0.285704879994498	0.208954266502352	1.36730819033686	0.174896588774692	-0.129357101304074	0.700766861293069	Ballooning	0.174896588774692
MEpink	-0.505695120319721	0.277075038121644	-1.82511973560645	0.0712636735334791	-1.05607064610422	0.0446804054647795	Ballooning	0.0818212547976982
MEpurple	1.00234450200409	0.270135407068128	3.71052618715508	0.000355729748083005	0.465753700804383	1.53893530320379	Ballooning	0.00195399864048164
MEred	0.971977985313209	0.429330871894056	2.26393685836098	0.0259540909596997	0.11916494969623	1.82479102093019	Ballooning	0.044257604435403
MEsalmon	-0.830175700645366	0.346260817533767	-2.3975444480212	0.0185485472462022	-1.51798027806475	-0.142371123225977	Ballooning	0.0410717831880193
MEtan	0.217597573944868	0.13605268778584	1.59936255200917	0.11320647418253	-0.052654376870174	0.48784952475991	Ballooning	0.116980023321947
MEyellow	-0.591815819892988	0.274836007474785	-2.15334164300609	0.0339358616130052	-1.13774378635253	-0.0458878534334514	Ballooning	0.0500957957144362
age	0.148841875295378	0.0788357558276876	1.88799959780564	0.0622122765446721	-0.00775566903206557	0.305439419622821	Ballooning	0.0771432229153935
MEbrown	-0.644765347320108	0.289883226127827	-2.2242244090239	0.028553293184131	-1.22041598371317	-0.0691147109270484	NAS	0.044257604435403
MEgreen	0.256276655777614	0.149886230930436	1.70980786018	0.0906360034762022	-0.0413676935495019	0.55392100510473	NAS	0.0975393335214451
MEpink	-0.451030241958295	0.144528705068202	-3.1206966238676	0.00240354051889734	-0.738035606707784	-0.164024877208807	NAS	0.00745097560858175
MEred	0.594553168422034	0.256325785419476	2.31952149273258	0.0225557832263098	0.0855409586724207	1.10356537817165	NAS	0.0437018300009752
MEsalmon	-1.01151841819732	0.206881743904209	-4.88935562465907	4.21693955492124e-06	-1.42234456059733	-0.600692275797315	NAS	0.000130725126202558
MEturquoise	-1.17967180142319	0.31973129699169	-3.68957250204334	0.000378193285254511	-1.81459479109243	-0.54474881175395	NAS	0.00195399864048164
MEyellow	-0.529738576106969	0.204951283304363	-2.5847048506658	0.0113016560982724	-0.936731206345278	-0.12274594586866	NAS	0.0269501030035728
inflammation	0.319429964799405	0.072851584126757	4.38466738408348	3.05496753822674e-05	0.174761156862524	0.464098772736287	NAS	0.000473519968425145
