term	estimate	std.error	statistic	p.value	conf.low	conf.high	variable	p.value_adjust
MEblack	0.532380293942133	0.256813636389465	2.07302190579461	0.0402247376009573	0.0241142345349507	1.04064635334932	Fibrosis	0.054148685232058
MEbrown	0.747276237439118	0.252138498771484	2.96375302097909	0.00363991159239168	0.248262855606555	1.24628961927168	Fibrosis	0.00707760587409493
MEmagenta	0.387722082524944	0.186395157566798	2.08010812934342	0.0395586245221814	0.0188229323046493	0.75662123274524	Fibrosis	0.054148685232058
MEred	1.51328042190676	0.299742206946629	5.04860639187929	1.5336020413278e-06	0.920053393526791	2.10650745028672	Fibrosis	2.14474892443861e-05
MEsalmon	-0.823297803112762	0.252253728009134	-3.26376862538559	0.00141816556517577	-1.32253923790767	-0.324056368317856	Fibrosis	0.0038181380600886
MEtan	0.163281397471552	0.105043472349443	1.5544173647304	0.122613165728268	-0.0446126711928218	0.371175466135925	Fibrosis	0.126219435308511
MEyellow	-0.458332360444188	0.202907870930495	-2.25882001689913	0.0256273392765963	-0.85991221979458	-0.0567525010937949	Fibrosis	0.0426912567405259
age	0.197539350639301	0.0660843698349617	2.98919927862873	0.00336875044770414	0.0667501810428509	0.328328520235752	Fibrosis	0.0069356626864497
inflammation	0.149714550507367	0.0711153931839923	2.10523409636532	0.0372725742048222	0.00896836130577583	0.290460739708958	Fibrosis	0.054148685232058
MEblue	0.724868609621792	0.323582521235004	2.2401352423339	0.026834504236902	0.0845083127797147	1.36522890646387	Steatosis	0.0426912567405259
MEbrown	-0.689788669983241	0.337318251506838	-2.04491949932113	0.0429452760772812	-1.35733157323015	-0.0222457667363325	Steatosis	0.0556698023224016
MEgreen	0.359202503092598	0.246453531325654	1.45748572219873	0.147470192066013	-0.128521790157643	0.84692679634284	Steatosis	0.147470192066013
MEgreenyellow	0.430184203477468	0.264409555996139	1.62696163478959	0.106243539763885	-0.0930745347242828	0.95344294167922	Steatosis	0.112682542173818
MEpink	-0.382882180291082	0.227524803125038	-1.68281512622896	0.0948872655459933	-0.833147076899235	0.0673827163170715	Steatosis	0.10378294669093
MEpurple	-0.606561836768483	0.275585063805796	-2.20099677534021	0.0295580581370191	-1.15193657638786	-0.0611870971491046	Steatosis	0.0449796536867682
MEsalmon	-0.670364482688102	0.18044941875265	-3.71497169302052	0.000304128401263874	-1.02746857754589	-0.313260387830314	Steatosis	0.00106444940442356
MEturquoise	-1.79037603365627	0.409788723323169	-4.36902221012152	2.58066468299203e-05	-2.60133587014009	-0.979416197172452	Steatosis	0.000150538773174535
MEbrown	0.446186434499848	0.14760119540664	3.02291884066797	0.0030380764563981	0.154065350090795	0.7383075189089	Ballooning	0.00664579224837085
MEmagenta	0.419666390840886	0.133756321461972	3.13754435120437	0.00212513622426586	0.154946030247659	0.684386751434113	Ballooning	0.00495865118995367
MEpurple	0.636632926353428	0.15931108123756	3.99616223434013	0.000109282140543882	0.321336524577803	0.951929328129053	Ballooning	0.000478109364879485
MEred	1.51154831017125	0.330739515266371	4.57020779314463	1.15360448220763e-05	0.856973761568436	2.16612285877405	Ballooning	8.07523137545341e-05
MEsalmon	-1.11869451811041	0.278613737283889	-4.0152166544844	0.000101751419777484	-1.67010568278562	-0.567283353435203	Ballooning	0.000478109364879485
MEtan	0.472961779805279	0.094464109126304	5.00678812492585	1.83835622094738e-06	0.286005583958171	0.659917975652386	Ballooning	2.14474892443861e-05
MEyellow	-0.481384301818429	0.210205040963888	-2.29007020769367	0.0236932070375596	-0.897406166312474	-0.0653624373243834	Ballooning	0.0414631123157293
age	0.133207958355071	0.0668949575163077	1.99130044028501	0.0486282440588045	0.000814535135666372	0.265601381574475	Ballooning	0.0586892600709709
inflammation	-0.124262510520515	0.0738248353294546	-1.683207418831	0.0948309276762469	-0.270371021995279	0.0218460009542493	Ballooning	0.10378294669093
MEblue	0.708372432173939	0.211560786597885	3.34831630929954	0.00107479025403381	0.289667378809404	1.12707748553847	NAS	0.00313480490759862
MEgreen	0.390152825322912	0.205945079275198	1.89445082492873	0.0604755199403006	-0.0174380462878252	0.797743696933649	NAS	0.070554773263684
MEmagenta	0.27899908643985	0.138949004970421	2.0079243208632	0.0468071755696598	0.00400176072244474	0.553996412157256	NAS	0.0585089694620748
MEpink	-0.393409747673644	0.116282336017747	-3.3832287959334	0.000957128524199231	-0.623546922386484	-0.163272572960804	NAS	0.00304540894063392
MEred	0.877082877272498	0.273758228797057	3.20385940954746	0.00172073777687693	0.335281366507091	1.4188843880379	NAS	0.00430184444219232
MEsalmon	-0.953474055603544	0.189714871096412	-5.02582665287739	1.69293716866719e-06	-1.32894333090668	-0.57800478030041	NAS	2.14474892443861e-05
MEtan	0.296831829135695	0.106900600571182	2.77670871397998	0.00633675022708047	0.0852622732333863	0.508401385038003	NAS	0.0116729609446219
MEturquoise	-0.849275771231192	0.217153896206464	-3.91093959660629	0.00014997243144883	-1.27905028266871	-0.41950125979367	NAS	0.000583226122301004
inflammation	0.307117709575554	0.0623183566319978	4.92820616867585	2.57799965721098e-06	0.183781947505497	0.43045347164561	NAS	2.25574970005961e-05
