ensembl_gene_id	gene_symbol	module_label	module_color
ENSG00000001167	NFYA	1	MEturquoise
ENSG00000001497	LAS1L	1	MEturquoise
ENSG00000002016	RAD52	1	MEturquoise
ENSG00000002726	AOC1	1	MEturquoise
ENSG00000002745	WNT16	1	MEturquoise
ENSG00000003147	ICA1	1	MEturquoise
ENSG00000003400	CASP10	1	MEturquoise
ENSG00000003987	MTMR7	1	MEturquoise
ENSG00000003989	SLC7A2	1	MEturquoise
ENSG00000004139	SARM1	1	MEturquoise
ENSG00000004777	ARHGAP33	1	MEturquoise
ENSG00000004809	SLC22A16	1	MEturquoise
ENSG00000004838	ZMYND10	1	MEturquoise
ENSG00000004939	SLC4A1	1	MEturquoise
ENSG00000004975	DVL2	1	MEturquoise
ENSG00000005007	UPF1	1	MEturquoise
ENSG00000005156	LIG3	1	MEturquoise
ENSG00000005339	CREBBP	1	MEturquoise
ENSG00000005379	TSPOAP1	1	MEturquoise
ENSG00000005961	ITGA2B	1	MEturquoise
ENSG00000005981	ASB4	1	MEturquoise
ENSG00000006047	YBX2	1	MEturquoise
ENSG00000006116	CACNG3	1	MEturquoise
ENSG00000006194	ZNF263	1	MEturquoise
ENSG00000006210	CX3CL1	1	MEturquoise
ENSG00000006283	CACNA1G	1	MEturquoise
ENSG00000006377	DLX6	1	MEturquoise
ENSG00000006432	MAP3K9	1	MEturquoise
ENSG00000006453	BAIAP2L1	1	MEturquoise
ENSG00000006468	ETV1	1	MEturquoise
ENSG00000006607	FARP2	1	MEturquoise
ENSG00000006638	TBXA2R	1	MEturquoise
ENSG00000006756	ARSD	1	MEturquoise
ENSG00000007174	DNAH9	1	MEturquoise
ENSG00000007202	KIAA0100	1	MEturquoise
ENSG00000007372	PAX6	1	MEturquoise
ENSG00000007402	CACNA2D2	1	MEturquoise
ENSG00000007516	BAIAP3	1	MEturquoise
ENSG00000007545	CRAMP1	1	MEturquoise
ENSG00000007923	DNAJC11	1	MEturquoise
ENSG00000007952	NOX1	1	MEturquoise
ENSG00000008056	SYN1	1	MEturquoise
ENSG00000008226	DLEC1	1	MEturquoise
ENSG00000008300	CELSR3	1	MEturquoise
ENSG00000008323	PLEKHG6	1	MEturquoise
ENSG00000008405	CRY1	1	MEturquoise
ENSG00000008438	PGLYRP1	1	MEturquoise
ENSG00000008513	ST3GAL1	1	MEturquoise
ENSG00000008710	PKD1	1	MEturquoise
ENSG00000008735	MAPK8IP2	1	MEturquoise
ENSG00000009950	MLXIPL	1	MEturquoise
ENSG00000010292	NCAPD2	1	MEturquoise
ENSG00000010295	IFFO1	1	MEturquoise
ENSG00000010322	NISCH	1	MEturquoise
ENSG00000010361	FUZ	1	MEturquoise
ENSG00000010379	SLC6A13	1	MEturquoise
ENSG00000010404	IDS	1	MEturquoise
ENSG00000010803	SCMH1	1	MEturquoise
ENSG00000011007	ELOA	1	MEturquoise
ENSG00000011021	CLCN6	1	MEturquoise
ENSG00000011083	SLC6A7	1	MEturquoise
ENSG00000011143	MKS1	1	MEturquoise
ENSG00000011243	AKAP8L	1	MEturquoise
ENSG00000011275	RNF216	1	MEturquoise
ENSG00000011332	DPF1	1	MEturquoise
ENSG00000011478	QPCTL	1	MEturquoise
ENSG00000011677	GABRA3	1	MEturquoise
ENSG00000012124	CD22	1	MEturquoise
ENSG00000012171	SEMA3B	1	MEturquoise
ENSG00000012232	EXTL3	1	MEturquoise
ENSG00000012963	UBR7	1	MEturquoise
ENSG00000013288	MAN2B2	1	MEturquoise
ENSG00000013392	RWDD2A	1	MEturquoise
ENSG00000013523	ANGEL1	1	MEturquoise
ENSG00000013573	DDX11	1	MEturquoise
ENSG00000013588	GPRC5A	1	MEturquoise
ENSG00000013619	MAMLD1	1	MEturquoise
ENSG00000013810	TACC3	1	MEturquoise
ENSG00000014138	POLA2	1	MEturquoise
ENSG00000015520	NPC1L1	1	MEturquoise
ENSG00000015532	XYLT2	1	MEturquoise
ENSG00000015592	STMN4	1	MEturquoise
ENSG00000015676	NUDCD3	1	MEturquoise
ENSG00000016391	CHDH	1	MEturquoise
ENSG00000017483	SLC38A5	1	MEturquoise
ENSG00000018280	SLC11A1	1	MEturquoise
ENSG00000019485	PRDM11	1	MEturquoise
ENSG00000020256	ZFP64	1	MEturquoise
ENSG00000021645	NRXN3	1	MEturquoise
ENSG00000023839	ABCC2	1	MEturquoise
ENSG00000028310	BRD9	1	MEturquoise
ENSG00000028528	SNX1	1	MEturquoise
ENSG00000029639	TFB1M	1	MEturquoise
ENSG00000031823	RANBP3	1	MEturquoise
ENSG00000032742	IFT88	1	MEturquoise
ENSG00000036530	CYP46A1	1	MEturquoise
ENSG00000037280	FLT4	1	MEturquoise
ENSG00000037474	NSUN2	1	MEturquoise
ENSG00000037637	FBXO42	1	MEturquoise
ENSG00000037757	MRI1	1	MEturquoise
ENSG00000038382	TRIO	1	MEturquoise
ENSG00000038532	CLEC16A	1	MEturquoise
ENSG00000039560	RAI14	1	MEturquoise
ENSG00000039600	SOX30	1	MEturquoise
ENSG00000039987	BEST2	1	MEturquoise
ENSG00000040275	SPDL1	1	MEturquoise
ENSG00000040731	CDH10	1	MEturquoise
ENSG00000041515	MYO16	1	MEturquoise
ENSG00000042062	RIPOR3	1	MEturquoise
ENSG00000042304	C2orf83	1	MEturquoise
ENSG00000042445	RETSAT	1	MEturquoise
ENSG00000042813	ZPBP	1	MEturquoise
ENSG00000043143	JADE2	1	MEturquoise
ENSG00000044090	CUL7	1	MEturquoise
ENSG00000044446	PHKA2	1	MEturquoise
ENSG00000046647	GEMIN8	1	MEturquoise
ENSG00000048471	SNX29	1	MEturquoise
ENSG00000048540	LMO3	1	MEturquoise
ENSG00000048828	FAM120A	1	MEturquoise
ENSG00000049239	H6PD	1	MEturquoise
ENSG00000049618	ARID1B	1	MEturquoise
ENSG00000049883	PTCD2	1	MEturquoise
ENSG00000051009	FHIP1B	1	MEturquoise
ENSG00000051341	POLQ	1	MEturquoise
ENSG00000051382	PIK3CB	1	MEturquoise
ENSG00000052795	FNIP2	1	MEturquoise
ENSG00000052850	ALX4	1	MEturquoise
ENSG00000053108	FSTL4	1	MEturquoise
ENSG00000053254	FOXN3	1	MEturquoise
ENSG00000053372	MRTO4	1	MEturquoise
ENSG00000053438	NNAT	1	MEturquoise
ENSG00000053702	NRIP2	1	MEturquoise
ENSG00000054356	PTPRN	1	MEturquoise
ENSG00000054523	KIF1B	1	MEturquoise
ENSG00000054690	PLEKHH1	1	MEturquoise
ENSG00000054965	FAM168A	1	MEturquoise
ENSG00000055163	CYFIP2	1	MEturquoise
ENSG00000055917	PUM2	1	MEturquoise
ENSG00000055955	ITIH4	1	MEturquoise
ENSG00000055957	ITIH1	1	MEturquoise
ENSG00000056277	ZNF280C	1	MEturquoise
ENSG00000057294	PKP2	1	MEturquoise
ENSG00000057468	MSH4	1	MEturquoise
ENSG00000057593	F7	1	MEturquoise
ENSG00000058404	CAMK2B	1	MEturquoise
ENSG00000058453	CROCC	1	MEturquoise
ENSG00000058600	POLR3E	1	MEturquoise
ENSG00000058866	DGKG	1	MEturquoise
ENSG00000059122	FLYWCH1	1	MEturquoise
ENSG00000059145	UNKL	1	MEturquoise
ENSG00000060140	STYK1	1	MEturquoise
ENSG00000060709	RIMBP2	1	MEturquoise
ENSG00000061273	HDAC7	1	MEturquoise
ENSG00000061936	SFSWAP	1	MEturquoise
ENSG00000061938	TNK2	1	MEturquoise
ENSG00000062485	CS	1	MEturquoise
ENSG00000063015	SEZ6	1	MEturquoise
ENSG00000063127	SLC6A16	1	MEturquoise
ENSG00000063978	RNF4	1	MEturquoise
ENSG00000064225	ST3GAL6	1	MEturquoise
ENSG00000064309	CDON	1	MEturquoise
ENSG00000064419	TNPO3	1	MEturquoise
ENSG00000064607	SUGP2	1	MEturquoise
ENSG00000064687	ABCA7	1	MEturquoise
ENSG00000064692	SNCAIP	1	MEturquoise
ENSG00000064886	CHI3L2	1	MEturquoise
ENSG00000064999	ANKS1A	1	MEturquoise
ENSG00000065000	AP3D1	1	MEturquoise
ENSG00000065308	TRAM2	1	MEturquoise
ENSG00000065320	NTN1	1	MEturquoise
ENSG00000065361	ERBB3	1	MEturquoise
ENSG00000065371	ROPN1	1	MEturquoise
ENSG00000065485	PDIA5	1	MEturquoise
ENSG00000065526	SPEN	1	MEturquoise
ENSG00000065534	MYLK	1	MEturquoise
ENSG00000065618	COL17A1	1	MEturquoise
ENSG00000065621	GSTO2	1	MEturquoise
ENSG00000065665	SEC61A2	1	MEturquoise
ENSG00000065802	ASB1	1	MEturquoise
ENSG00000065883	CDK13	1	MEturquoise
ENSG00000065970	FOXJ2	1	MEturquoise
ENSG00000066044	ELAVL1	1	MEturquoise
ENSG00000066117	SMARCD1	1	MEturquoise
ENSG00000066135	KDM4A	1	MEturquoise
ENSG00000066136	NFYC	1	MEturquoise
ENSG00000066230	SLC9A3	1	MEturquoise
ENSG00000066248	NGEF	1	MEturquoise
ENSG00000066813	ACSM2B	1	MEturquoise
ENSG00000066827	ZFAT	1	MEturquoise
ENSG00000066855	MTFR1	1	MEturquoise
ENSG00000067365	METTL22	1	MEturquoise
ENSG00000067606	PRKCZ	1	MEturquoise
ENSG00000067842	ATP2B3	1	MEturquoise
ENSG00000068024	HDAC4	1	MEturquoise
ENSG00000068078	FGFR3	1	MEturquoise
ENSG00000068137	PLEKHH3	1	MEturquoise
ENSG00000068308	OTUD5	1	MEturquoise
ENSG00000068354	TBC1D25	1	MEturquoise
ENSG00000068400	GRIPAP1	1	MEturquoise
ENSG00000068489	PRR11	1	MEturquoise
ENSG00000068650	ATP11A	1	MEturquoise
ENSG00000068654	POLR1A	1	MEturquoise
ENSG00000068724	TTC7A	1	MEturquoise
ENSG00000069018	TRPC7	1	MEturquoise
ENSG00000069188	SDK2	1	MEturquoise
ENSG00000069696	DRD4	1	MEturquoise
ENSG00000069812	HES2	1	MEturquoise
ENSG00000069966	GNB5	1	MEturquoise
ENSG00000069974	RAB27A	1	MEturquoise
ENSG00000070019	GUCY2C	1	MEturquoise
ENSG00000070047	PHRF1	1	MEturquoise
ENSG00000070159	PTPN3	1	MEturquoise
ENSG00000070366	SMG6	1	MEturquoise
ENSG00000070413	DGCR2	1	MEturquoise
ENSG00000070476	ZXDC	1	MEturquoise
ENSG00000070601	FRMPD1	1	MEturquoise
ENSG00000070610	GBA2	1	MEturquoise
ENSG00000070770	CSNK2A2	1	MEturquoise
ENSG00000070778	PTPN21	1	MEturquoise
ENSG00000070785	EIF2B3	1	MEturquoise
ENSG00000070808	CAMK2A	1	MEturquoise
ENSG00000070814	TCOF1	1	MEturquoise
ENSG00000071539	TRIP13	1	MEturquoise
ENSG00000071626	DAZAP1	1	MEturquoise
ENSG00000071909	MYO3B	1	MEturquoise
ENSG00000072071	ADGRL1	1	MEturquoise
ENSG00000072134	EPN2	1	MEturquoise
ENSG00000072135	PTPN18	1	MEturquoise
ENSG00000072415	PALS1	1	MEturquoise
ENSG00000072501	SMC1A	1	MEturquoise
ENSG00000072609	CHFR	1	MEturquoise
ENSG00000072736	NFATC3	1	MEturquoise
ENSG00000072818	ACAP1	1	MEturquoise
ENSG00000072864	NDE1	1	MEturquoise
ENSG00000073050	XRCC1	1	MEturquoise
ENSG00000073067	CYP2W1	1	MEturquoise
ENSG00000073146	MOV10L1	1	MEturquoise
ENSG00000073350	LLGL2	1	MEturquoise
ENSG00000073464	CLCN4	1	MEturquoise
ENSG00000073578	SDHA	1	MEturquoise
ENSG00000073605	GSDMB	1	MEturquoise
ENSG00000073670	ADAM11	1	MEturquoise
ENSG00000073734	ABCB11	1	MEturquoise
ENSG00000073792	IGF2BP2	1	MEturquoise
ENSG00000073849	ST6GAL1	1	MEturquoise
ENSG00000073910	FRY	1	MEturquoise
ENSG00000074590	NUAK1	1	MEturquoise
ENSG00000074621	SLC24A1	1	MEturquoise
ENSG00000074755	ZZEF1	1	MEturquoise
ENSG00000074964	ARHGEF10L	1	MEturquoise
ENSG00000075131	TIPIN	1	MEturquoise
ENSG00000075234	TTC38	1	MEturquoise
ENSG00000075275	CELSR1	1	MEturquoise
ENSG00000075290	WNT8B	1	MEturquoise
ENSG00000075399	VPS9D1	1	MEturquoise
ENSG00000075426	FOSL2	1	MEturquoise
ENSG00000075461	CACNG4	1	MEturquoise
ENSG00000075826	SEC31B	1	MEturquoise
ENSG00000075914	EXOSC7	1	MEturquoise
ENSG00000076108	BAZ2A	1	MEturquoise
ENSG00000076344	RGS11	1	MEturquoise
ENSG00000076356	PLXNA2	1	MEturquoise
ENSG00000076382	SPAG5	1	MEturquoise
ENSG00000076555	ACACB	1	MEturquoise
ENSG00000076650	GPATCH1	1	MEturquoise
ENSG00000076826	CAMSAP3	1	MEturquoise
ENSG00000076864	RAP1GAP	1	MEturquoise
ENSG00000076924	XAB2	1	MEturquoise
ENSG00000076928	ARHGEF1	1	MEturquoise
ENSG00000076944	STXBP2	1	MEturquoise
ENSG00000077044	DGKD	1	MEturquoise
ENSG00000077080	ACTL6B	1	MEturquoise
ENSG00000077235	GTF3C1	1	MEturquoise
ENSG00000077238	IL4R	1	MEturquoise
ENSG00000077327	SPAG6	1	MEturquoise
ENSG00000077420	APBB1IP	1	MEturquoise
ENSG00000077800	FKBP6	1	MEturquoise
ENSG00000078246	TULP3	1	MEturquoise
ENSG00000078549	ADCYAP1R1	1	MEturquoise
ENSG00000078814	MYH7B	1	MEturquoise
ENSG00000078900	TP73	1	MEturquoise
ENSG00000078967	UBE2D4	1	MEturquoise
ENSG00000079112	CDH17	1	MEturquoise
ENSG00000079308	TNS1	1	MEturquoise
ENSG00000079337	RAPGEF3	1	MEturquoise
ENSG00000079385	CEACAM1	1	MEturquoise
ENSG00000079435	LIPE	1	MEturquoise
ENSG00000079739	PGM1	1	MEturquoise
ENSG00000079805	DNM2	1	MEturquoise
ENSG00000080166	DCT	1	MEturquoise
ENSG00000080293	SCTR	1	MEturquoise
ENSG00000080511	RDH8	1	MEturquoise
ENSG00000080572	DNAAF6	1	MEturquoise
ENSG00000080644	CHRNA3	1	MEturquoise
ENSG00000080819	CPOX	1	MEturquoise
ENSG00000080854	IGSF9B	1	MEturquoise
ENSG00000080947	CROCCP3	1	MEturquoise
ENSG00000080986	NDC80	1	MEturquoise
ENSG00000081041	CXCL2	1	MEturquoise
ENSG00000081059	TCF7	1	MEturquoise
ENSG00000081377	CDC14B	1	MEturquoise
ENSG00000081760	AACS	1	MEturquoise
ENSG00000081842	PCDHA6	1	MEturquoise
ENSG00000081853	PCDHGA2	1	MEturquoise
ENSG00000081985	IL12RB2	1	MEturquoise
ENSG00000082293	COL19A1	1	MEturquoise
ENSG00000082516	GEMIN5	1	MEturquoise
ENSG00000082556	OPRK1	1	MEturquoise
ENSG00000082641	NFE2L1	1	MEturquoise
ENSG00000082701	GSK3B	1	MEturquoise
ENSG00000083635	NUFIP1	1	MEturquoise
ENSG00000083812	ZNF324	1	MEturquoise
ENSG00000083838	ZNF446	1	MEturquoise
ENSG00000084070	SMAP2	1	MEturquoise
ENSG00000084110	HAL	1	MEturquoise
ENSG00000084112	SSH1	1	MEturquoise
ENSG00000084444	FAM234B	1	MEturquoise
ENSG00000084674	APOB	1	MEturquoise
ENSG00000084693	AGBL5	1	MEturquoise
ENSG00000084734	GCKR	1	MEturquoise
ENSG00000084764	MAPRE3	1	MEturquoise
ENSG00000084774	CAD	1	MEturquoise
ENSG00000085415	SEH1L	1	MEturquoise
ENSG00000085644	ZNF213	1	MEturquoise
ENSG00000085978	ATG16L1	1	MEturquoise
ENSG00000085982	USP40	1	MEturquoise
ENSG00000086015	MAST2	1	MEturquoise
ENSG00000086102	NFX1	1	MEturquoise
ENSG00000086159	AQP6	1	MEturquoise
ENSG00000086205	FOLH1	1	MEturquoise
ENSG00000086570	FAT2	1	MEturquoise
ENSG00000086717	PPEF1	1	MEturquoise
ENSG00000086758	HUWE1	1	MEturquoise
ENSG00000087128	TMPRSS11E	1	MEturquoise
ENSG00000087157	PGS1	1	MEturquoise
ENSG00000087269	NOP14	1	MEturquoise
ENSG00000087299	L2HGDH	1	MEturquoise
ENSG00000087365	SF3B2	1	MEturquoise
ENSG00000087495	PHACTR3	1	MEturquoise
ENSG00000087510	TFAP2C	1	MEturquoise
ENSG00000087903	RFX2	1	MEturquoise
ENSG00000087995	METTL2A	1	MEturquoise
ENSG00000088053	GP6	1	MEturquoise
ENSG00000088280	ASAP3	1	MEturquoise
ENSG00000088305	DNMT3B	1	MEturquoise
ENSG00000088367	EPB41L1	1	MEturquoise
ENSG00000088386	SLC15A1	1	MEturquoise
ENSG00000088726	TMEM40	1	MEturquoise
ENSG00000088876	ZNF343	1	MEturquoise
ENSG00000088888	MAVS	1	MEturquoise
ENSG00000089057	SLC23A2	1	MEturquoise
ENSG00000089060	SLC8B1	1	MEturquoise
ENSG00000089154	GCN1	1	MEturquoise
ENSG00000089169	RPH3A	1	MEturquoise
ENSG00000089199	CHGB	1	MEturquoise
ENSG00000089280	FUS	1	MEturquoise
ENSG00000089351	GRAMD1A	1	MEturquoise
ENSG00000089505	CMTM1	1	MEturquoise
ENSG00000089685	BIRC5	1	MEturquoise
ENSG00000089847	ANKRD24	1	MEturquoise
ENSG00000090372	STRN4	1	MEturquoise
ENSG00000090447	TFAP4	1	MEturquoise
ENSG00000090470	PDCD7	1	MEturquoise
ENSG00000090539	CHRD	1	MEturquoise
ENSG00000090554	FLT3LG	1	MEturquoise
ENSG00000090565	RAB11FIP3	1	MEturquoise
ENSG00000090615	GOLGA3	1	MEturquoise
ENSG00000090674	MCOLN1	1	MEturquoise
ENSG00000090857	PDPR	1	MEturquoise
ENSG00000090889	KIF4A	1	MEturquoise
ENSG00000090924	PLEKHG2	1	MEturquoise
ENSG00000090975	PITPNM2	1	MEturquoise
ENSG00000091073	DTX2	1	MEturquoise
ENSG00000091127	PUS7	1	MEturquoise
ENSG00000091262	ABCC6	1	MEturquoise
ENSG00000091428	RAPGEF4	1	MEturquoise
ENSG00000091536	MYO15A	1	MEturquoise
ENSG00000091622	PITPNM3	1	MEturquoise
ENSG00000091656	ZFHX4	1	MEturquoise
ENSG00000092098	RNF31	1	MEturquoise
ENSG00000092295	TGM1	1	MEturquoise
ENSG00000092377	TBL1Y	1	MEturquoise
